blind_id,call_yes_no_uncertain,confidence_low_med_high,brief_visual_rationale
SBP1_001,no,med,"Top sign line lacks a clear adjacent fork/Y-form plus short vertical-stroke packet."
SBP1_002,no,med,"Visible line has diamond, verticals, and crossed forms, but no confident same-line 032-002 packet."
SBP1_003,yes,high,"Clear fork/Y-like sign sits directly beside a vertical-stroke group on the same line."
SBP1_004,uncertain,low,"Crop is dominated by animal/body area; upper inscription is too cut off to identify confidently."
SBP1_005,no,med,"Visible signs include verticals, crossed forms, and a diamond; target adjacent packet is not clear."
SBP1_006,yes,high,"Left fork/Y-like sign is directly adjacent to short vertical strokes in the same sign band."
SBP1_007,no,high,"Tablet line has leaf, repeated small groups, diamond, and box forms, not the target adjacent pair."
SBP1_008,uncertain,med,"There may be a fork-like form near vertical strokes, but the adjacency/identity is not clean enough."
SBP1_009,no,high,"Referenced image shows catalog/table text rather than a visible artifact sign packet."
SBP1_010,uncertain,med,"Full plate contains several sign rows; a possible adjacent packet is visible, but not isolated confidently."
SBP1_011,no,med,"Fork/Y-like sign is present, but it is not directly adjacent to the short vertical-stroke sign."
SBP1_012,uncertain,low,"Only the upper edge of signs is visible; packet cannot be identified confidently."
SBP1_013,no,med,"Fork/Y-like sign appears in the row, but adjacent signs are box/arrow-like rather than the target stroke packet."
SBP1_014,no,med,"Fragment shows diamond and vertical strokes, but no clear fork/Y-form adjacent packet."
SBP1_015,no,high,"Clean seal line shows diamond, verticals, crossed and box-like forms, with no target adjacent packet."
SBP1_016,uncertain,low,"Poor high-contrast crop obscures the sign line; possible forms are not separable enough."
SBP1_017,no,med,"Small tablet has a V/wedge and vertical strokes, but no clear fork/Y-form packet."
SBP1_018,yes,med,"Vertical-stroke group is directly adjacent to a fork/Y-like sign on the same line."
SBP1_019,no,high,"Referenced image is a text page, not a visible sign-bearing artifact."
SBP1_020,yes,high,"Fork/Y-like sign is clearly adjacent to short vertical strokes in the same sign band."
