"evidence_id","kind","local_path","source_locator","sha256","bytes","dimensions","use","status"
"parpola2019_pdf","primary_pdf","evidence/tmp/pdfs/parpola_2019_bone_rods.pdf","Parpola 2019, Inscriptions Incised on Harappan Ivory/Bone Rods, PDF pages 2, 3, and 5","E22312306A7CE0E2CD54BA77251D65B01254F91E35F5F0A2CFE8F0FC545AFFCC","343086","6 pages","Figure 1 text no. 7; recurrence clause; conclusion seal reference","source"
"parpola1994_pdf","primary_pdf","evidence/tmp/parpola_1994_signlist/parpola_1994_deciphering_sindhilanguagelibrary.pdf","Parpola 1994, Fig. 5.1 printed pages 71, 72, 74 and Fig. 6.6 printed page 94","FD133822F9999C86178A32208465E847C5288B578AD14CA2CD643EFE57F0E0B6","18998517","392 pages","Article sign-list convention for 60, 107, and 189","source"
"cisi1_pdf","primary_pdf","","Corpus of Indus Seals and Inscriptions local source PDF; CISI 1 PDF pages 55 and 69 / printed pages 19 and 33","47A4DA4227CFB7BAA56D6A561E25797225499D0EC54F5A702A82C67AB4746D4D","31508998","862 pages","M-35, M-37, and M-77 source panels","external_hash_bound_source_with_durable_derived_pages"
"parpola_text7_crop","derived_panel","research/data/sign_crosswalk/source_panels/m77_text7_concordance/parpola2019_fig1_text7_m2109_m2111.png","Parpola 2019 Figure 1 row 7","499E8C9BE501380693030BB9ACF0C8EB0678F8F01D8892E52159A75E04C6BBD6","7149","720x115","Standardized full text no. 7","derived_source_bound"
"cisi_m35_m37_page","derived_page","research/data/sign_crosswalk/source_panels/m77_text7_concordance/cisi1_pdf55_print19_m35_m37.jpg","CISI 1 PDF page 55 / printed page 19","2509A7EEE911D0A0099F2AD165F38D287E6B251D92909ADC6575C453386E7491","424054","1999x2882","Reject M-35 and identify M-37 graphic match","derived_source_bound"
"cisi_m77_page","derived_page","research/data/sign_crosswalk/source_panels/m77_text7_concordance/cisi1_pdf69_print33_m75_m79.jpg","CISI 1 PDF page 69 / printed page 33","DC5A4412E78B7BCBB0A5B99BE125FCF2913C3CAEC6422B45BA03922D51C9D01B","304924","1599x2284","Reject M-77 exact three-sign identity","derived_source_bound"
"lipi_metadata","machine_corpus","research/data/open_prototype/lipi/metadata_filtered.csv","Target object rows listed in object concordance","B3E2A94EFDF70EAA893BBBBD35FD057B53F766C82823A3EFB8EE37F9365311FE","1473157","5679 rows","Local stored strings and object metadata","source"
"mayig_index","machine_corpus","research/data/open_prototype/mayig/records_index.csv","Pinned Mayig commit ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","695587D7BE8597316B3F0BF82030840270913F6F39D798073979A189C3E87A67","17634","record index","M-35, M-37, M-77 grapheme sequences","source"
"mayig_m35","machine_record","evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/corpus/m001_m099/m035.json","M-35A","6FB0A979BA4B489DB59BBA141B891A25BBD778F5D84184B31CA30F22D0831D3F","1637","7 graphemes","Seven-sign conflict control","source"
"mayig_m37","machine_record","evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/corpus/m001_m099/m037.json","M-37A","095796A876437386C6441496F191272212D55A0476243F9F0BB73024126F8E58","684","3 graphemes","Three-sign correction candidate","source"
"mayig_m77","machine_record","evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/corpus/m001_m099/m077.json","M-77A","CE6CDF533501E19CD159990A903EA009C0EE93EFA0E5A8D07A905339DC8584EE","1171","5 graphemes","Five-sign conflict control","source"
"mayig_P217","machine_feature","evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P217.json","M-37 position 1","5508BD2E645091AC49F820BD083D1576303FC1182AF219DB37A729260DC1FCB3","421","feature JSON","Object-bound spear/arrow graphic position","source"
"mayig_P050","machine_feature","evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P050.json","M-37 position 2","A3FDEA36408B3D287B5822C0BBE95EA82117B541F3C3F159682DF752B29BBD11","255","feature JSON","Object-bound plain-fish graphic position","source"
"mayig_P092","machine_feature","evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P092.json","M-37 position 3","3D46C8ED689E0F8BA1BC44796D05AC06C93A15742A6F6214B4D0B4152197A949","365","feature JSON","Object-bound unnumbered first-reading-position graphic","source"
