checked_date,object,row_id,site,type,condition,complete,prefix_signs,frame,head,x,tail,lane,parse,provisional_gloss,tier,next_break,text
2026-05-31,H-1993,744.2,Harappa,TAB:B,Poor,N,740-000-220-004,002,390,095,<END>,terminal_classifier,FRAME(002) STATUS_HEAD(390) CLASSIFIER_095 CLOSE,status/title closed by class-095,wild shot,source image must preserve terminal 095,+740-000-220-004-002-390-095+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,Fair,Y,090-740-220-003,002,390,072,<END>,terminal_or_underpowered_classifier,FRAME(002) STATUS_HEAD(390) CLASSIFIER_OR_RESIDUE_072 CLOSE,status/title closed by underpowered class-072,wild shot,needs repetition/source evidence before use,+090-740-220-003-002-390-072+
2026-05-31,H-773,1665.1,Harappa,TAB:B,Fair,Y,740-798-803,002,390,530,741,open_linker_underpowered,FRAME(002) STATUS_HEAD(390) OPEN_530 TAIL(741),status/title with unresolved open tail 741,wild shot,more 530 rows must repeat a complement,+740-798-803-002-390-530-741+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,Good,Y,740-690-435-255-220-032-240-235,002,390,125,632-032,linker_complement,FRAME(002) STATUS_HEAD(390) LINKER_125 COMPLEMENT(632-032),status/title linked to complement 632-032,candidate,125 complement lane must survive source/site collapse,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,Poor,Y,226-032,002,390,692,<END>,global_edge_close,FRAME(002) STATUS_HEAD(390) EDGE_692 CLOSE,status/title closed by global edge sign 692,wild shot,source controls must show this is not generic edge transfer,+226-032-002-390-692+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,Good,Y,151-279-142,002,390,095,<END>,terminal_classifier,FRAME(002) STATUS_HEAD(390) CLASSIFIER_095 CLOSE,status/title closed by class-095,wild shot,source image must preserve terminal 095,+151-279-142-002-390-095+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,Good,Y,151-337-484,002,390,125,632-032-900-563,linker_complement,FRAME(002) STATUS_HEAD(390) LINKER_125 COMPLEMENT(632-032-900-563),status/title linked to complement 632-032-900-563,candidate,125 complement lane must survive source/site collapse,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,2737.1,Mohenjo-daro,SEAL:S,Fair,Y,740-384,002,390,346,<END>,terminal_or_underpowered_classifier,FRAME(002) STATUS_HEAD(390) CLASSIFIER_OR_RESIDUE_346 CLOSE,status/title closed by underpowered class-346,wild shot,needs repetition/source evidence before use,+740-384-002-390-346+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,Good,Y,236,002,390,707,<END>,terminal_or_underpowered_classifier,FRAME(002) STATUS_HEAD(390) CLASSIFIER_OR_RESIDUE_707 CLOSE,status/title closed by underpowered class-707,wild shot,needs repetition/source evidence before use,+236-002-390-707+
2026-05-31,M-708,3134.1,Mohenjo-daro,SEAL:S,Fair,Y,740-061,002,390,140,<END>,terminal_or_underpowered_classifier,FRAME(002) STATUS_HEAD(390) CLASSIFIER_OR_RESIDUE_140 CLOSE,status/title closed by underpowered class-140,wild shot,needs repetition/source evidence before use,+740-061-002-390-140+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,Poor,Y,740-760-235,002,390,125,195,linker_complement,FRAME(002) STATUS_HEAD(390) LINKER_125 COMPLEMENT(195),status/title linked to complement 195,candidate,125 complement lane must survive source/site collapse,+740-760-235-002-390-125-195+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,Good,Y,740-205-032,002,390,590,032,mixed_open_tail,FRAME(002) STATUS_HEAD(390) MIXED_590 TAIL(032),status/title with mixed tail 032,wild shot,590 must choose terminal or linker behavior under controls,+740-205-032-002-390-590-032+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,Poor,Y,390-004,002,390,125,820,linker_complement,FRAME(002) STATUS_HEAD(390) LINKER_125 COMPLEMENT(820),status/title linked to complement 820,candidate,125 complement lane must survive source/site collapse,+390-004-002-390-125-820+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,Fair,Y,157-031,002,390,705,<END>,terminal_classifier,FRAME(002) STATUS_HEAD(390) CLASSIFIER_705 CLOSE,status/title closed by class-705,wild shot,source image must preserve 705 terminality or explain 705-tail exception,+157-031-002-390-705+
2026-05-31,-:4237.1,4237.1,Dholavira,SEAL:S,Fair,Y,151-032-388,002,390,705,<END>,terminal_classifier,FRAME(002) STATUS_HEAD(390) CLASSIFIER_705 CLOSE,status/title closed by class-705,wild shot,source image must preserve 705 terminality or explain 705-tail exception,+151-032-388-002-390-705+
