cisi,id,site,type,symbol,cult,shape,material,condition,text,text_len,index_002,prev_before_002,next_after_390,tail_after_next,is_125_branch,branch_family,source_tier,source_note,source_path_or_url
H-1993,744.2,Harappa,TAB:B,None,None,rectangular,Clay,Poor,+740-000-220-004-002-390-095+,7,4,004,095,<END>,False,002-390-095,unrouted,not in current local source index,
H-68,1127.1,Harappa,SEAL:S,Bull1:I,RAN,square,Steatite,Fair,+090-740-220-003-002-390-072+,7,4,003,072,<END>,False,002-390-072,negative_control_index_hint,from source_box_negative_control_candidates,
H-773,1665.1,Harappa,TAB:B,None,None,plano-convex,Faience,Fair,+740-798-803-002-390-530-741+,7,3,803,530,741,False,002-390-530,negative_control_index_hint,from source_box_negative_control_candidates,
M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,Good,+740-690-435-255-220-032-240-235-002-390-125-632-032+,13,8,235,125,632 032,True,002-390-125,public_cisi_plate_context_crop_not_token_boxed,Broad source-context crop around OCR label; not token-boxed evidence.,tmp/source_box_negative_control_v2/crops/M-38_cisi_india_n55_plate_context_crop.jpg
M-70,2598.1,Mohenjo-daro,SEAL:S,Bull1:T,SAF,square,Steatite,Poor,+226-032-002-390-692+,5,2,032,692,<END>,False,002-390-692,source_visible_order_window_candidate,"CISI India n66 / printed p.31 crop already stored; source-visible 002-390-692 non-125 control, not token-value evidence.",C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M70_impression_a_signband_from_cisi_india_n066.png
M-71,2599.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,Good,+151-279-142-002-390-095+,6,3,142,095,<END>,False,002-390-095,negative_control_index_hint,from source_box_negative_control_candidates,
M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,Good,+151-337-484-002-390-125-632-032-900-563+,10,3,484,125,632 032 900 563,True,002-390-125,mayig_overlap_only,"Mayig JSON witness exists, but no public CISI/source-panel route in current local source index.",C:\Users\Acer\OneDrive\Documents\ivc\tmp\mayig_feature_namespace_probe\repo\indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb\corpus\m100_m199\m119.json
M-213,2737.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,square,Steatite,Fair,+740-384-002-390-346+,5,2,384,346,<END>,False,002-390-346,negative_control_index_hint,from source_box_negative_control_candidates,
M-232,2756.1,Mohenjo-daro,SEAL:S,Bull2,SAF,square,Steatite,Good,+236-002-390-707+,4,1,236,707,<END>,False,002-390-707,negative_control_index_hint,from source_box_negative_control_candidates,
M-708,3134.1,Mohenjo-daro,SEAL:S,Bull1:W,S,square,Steatite,Fair,+740-061-002-390-140+,5,2,061,140,<END>,False,002-390-140,negative_control_index_hint,from source_box_negative_control_candidates,
M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,square,Steatite,Poor,+740-760-235-002-390-125-195+,7,3,235,125,195,True,002-390-125,negative_control_index_hint,from source_box_negative_control_candidates,
-,3335.1,Unknown,SEAL:S,Bull1:J,RAF,square,-,Good,+740-205-032-002-390-590-032+,7,3,032,590,032,False,002-390-590,unresolved_non_cisi_object,No stable CISI label in local row; object/source route must begin from local id and site metadata.,
Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,square,-,Poor,+390-004-002-390-125-820+,6,2,004,125,820,True,002-390-125,public_plate_route_candidate_not_panel_bound,"CISI India has Surkotada 1-2 source plate route at India_0397/0828, but Sktd-1 is not cleanly panel-bound in this pass.",https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n397/mode/1up
M-1825,3992.1,Mohenjo-daro,SEAL:S,Bull1,S,square,-,Fair,+157-031-002-390-705+,5,2,031,705,<END>,False,002-390-705,negative_control_index_hint,from source_box_negative_control_candidates,
-,4237.1,Dholavira,SEAL:S,Bull1:I,RB,square,-,Fair,+151-032-388-002-390-705+,6,3,388,705,<END>,False,002-390-705,unresolved_non_cisi_object,No stable CISI label in local row; object/source route must begin from local id and site metadata.,
