rank,frame_or_model,status,strict_rows,dedup_units,evidence,next_action
1,240-220-032,primary productive survivor,9,9,"three sites; two seal types; no exact-family collapse; all rows no companion side","source-grade visual/context pass for C-65 H-1678 M-1728 M-49 M-240 M-319 M-631 M-722 M-1265"
2,520-220-X,productive broad frame,55,38,"dedup terminal profile 415:10 240:5 016:4 002:3 235:3 003:2; broad sites and types","contrast 520-220-415 vs 520-220-016 vs 520-220-240 as branch markers"
3,740-220-003,dedupe-surviving 740 branch,10,6,"raw 740-220-055 collapses to one Lothal tag family; 740-220-003 survives across three sites and three types","source-check H-68 K-9 M-294 M-725 M-1429 M-1439 M-1441 M-1442 M-1443"
4,520-220-016,small companion-side branch clue,5,4,"700_033 companion branch in 3 of 5 strict rows; cases H-1121 H-789 H-942","all-side panel check for H-1121 H-789 H-942 and validate 033-700 / 700-033 normalization"
5,520-220-415,major duplicate-inflated branch,26,10,"exact +520-220-415+ contributes 17 rows; companion profile mixed","source panels and side labels for H-319 H-938 H-939 H-940 H-941 H-1284 H-2148 H-2240 M-37"
6,002-220-455,secondary compact candidate,5,5,"survives exact dedupe; two sites; mostly no companion side","hold for secondary frame expansion after primary three-frame contrast"
7,233/235/904-220-032,secondary 032 pressure,11,11,"multiple smaller A signs also select 032 in compact frames","test whether 032 is a broader closure class after 240-220-032 is source-checked"
8,590-220-003,secondary 003 pressure,4,4,"survives exact dedupe across three sites and three types","compare with 740-220-003 after source visibility check"
9,318-220-415,excluded from general grammar for now,11,1,"all Harappa TAB:B; one repeated long text family","return only if source-family dedupe breaks it into independent families"
10,740-220-055,excluded from general grammar for now,11,1,"all Lothal tags; one repeated text family","quarantine as Lothal tag formula until object/source family is resolved"
11,176-220-235,excluded from general grammar for now,7,1,"all Harappa TAB:B; one repeated text family","quarantine as local tablet formula"
12,845-220-415,excluded from general grammar for now,4,1,"small Mohenjo-daro TAB:C family","quarantine as local tablet formula"
