"cisi","class","family","text","tokens","visual_status","source_status","source_image_abs"
"M-376","tailed","533-717","+740-100-176-002-861-533-717+","740 100 176 002 861 533 717","same_line_candidate_present","medium","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M376_impression_a_cisi_india_n129.png"
"M-391","tailed","533-717","+405-845-686-740-793-003-233-805-002-861-533-717+","405 845 686 740 793 003 233 805 002 861 533 717","same_line_candidate_present_long_row","medium_low","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M391_impression_a_cisi_india_n131.png"
"M-91","tailed","255-416","+740-100-798-220-032-002-861-255-416+","740 100 798 220 032 002 861 255 416","same_line_singleton_candidate_present","low_medium","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M91_impression_a_signband_from_cisi_india_n071.png"
"M-240","tailed","603","+520-240-220-032-002-861-603+","520 240 220 032 002 861 603","same_line_candidate_present","medium","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M240_impression_a_signband_from_cisi_india_n095.png"
"M-714","tailed","603","+740-585-017-033-705-233-798-803-002-861-603+","740 585 017 033 705 233 798 803 002 861 603","same_line_candidate_present_crowded","medium_low","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M714_impression_a_cisi_pakistan_n079.png"
"M-1273","tailed","603","+740-055-002-861-603+","740 055 002 861 603","same_line_candidate_present_strongest_603","high","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M1273_impression_a_cisi_pakistan_n195.png"
"H-444","bare","220-032-002-861","+241-220-032-002-861+","241 220 032 002 861","bare_terminal_edge_visible","source_visible_existing","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H444_non240_861_signband_closeup.png"
"M-723","bare","220-032-002-861","+740-460-510-235-220-032-002-861+","740 460 510 235 220 032 002 861","bare_terminal_edge_visible","source_visible_this_campaign","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M723_signband_cisi_pakistan_n082.png"
"M-77","bare","803-002-861","+832-390-803-002-861+","832 390 803 002 861","bare_terminal_edge_visible","source_visible_existing","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\derived\M77_impression_a_signband_v3_from_cisi_india_n68.png"
"M-15","bare","176-002-861","+090-740-176-002-861+","090 740 176 002 861","bare_terminal_edge_visible","source_visible_this_campaign","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M15_signband_cisi_india_n046.png"
"M-118","bare","803-002-861","+740-772-033-705-233-803-002-861+","740 772 033 705 233 803 002 861","bare_terminal_edge_visible","source_visible_this_campaign","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M118_signband_cisi_india_n076.png"
"M-1044","bare","220-032-002-861","+520-220-032-002-861+","520 220 032 002 861","bare_terminal_edge_visible","source_visible_this_campaign","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M1044_signband_cisi_pakistan_n138.png"
