date,route_id,source,url,status,evidence,supports,does_not_support,accepted_decipherment_claim
2026-05-25,local_lipi_row,yajnadevam/lipi filtered metadata local copy,data/open_prototype/lipi/metadata_filtered.csv,local_row_positive,Local row M-315 / 2833.1 / Mohenjo-daro / SEAL:S / no iconography / complete good / dir R/L / +390-034-002-374-228-741+.,Target definition and local planning transcription.,"Independent source-image validation, sign value, function, phonetic reading, or translation.",0
2026-05-25,kenoyer_meadow_2010_route,"Kenoyer and Meadow 2010, Inscribed Objects from Harappa Excavations 1986-2007",https://www.harappa.com/sites/default/files/pdf/KenoyerMeadow%202010%20Inscribed%20Objects%20from%20Harappa.pdf,secondary_route_corrobated_by_cisi_page,"Public prior work routes similar no-animal Mohenjo-daro seals M-313, M-316, and M-315 to CISI 1 p.78.",Bibliographic route and typological context.,"Sign segmentation, 034 identity, order, or reading.",0
2026-05-25,ia_cisi1_page78_reader,Internet Archive CISI Vol. 1 reader leaf n113 / printed p.78,https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n113/mode/1up,source_page_visible_positive,Downloaded page n113_w2000.jpg. Printed header reads p.78 MOHENJO-DARO 313-317 SEALS no iconography; silver. The page visibly labels M-315 A and M-315 a.,Object-level visual binding for M-315 in CISI 1 p.78 and no-animal context.,"Fresh object photography, token-level sign code mapping, or translation.",0
2026-05-25,ia_cisi1_page78_image,Internet Archive direct page raster,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n113_w2000.jpg,downloaded_positive,Stored tmp/m315_cisi1/n113_w2000.jpg (2438 x 3458); derived M-315 face/impression crops stored under tmp/m315_cisi1/derived/.,Local visual evidence for M-315 A/a inspection.,Higher-resolution diagnostic certainty beyond the IA scan.,0
2026-05-25,ia_cisi1_data_page_reader,Internet Archive CISI Vol. 1 reader leaf n403 / printed p.368,https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n403/mode/1up,data_page_visible_positive,Downloaded page n403_w2000.jpg. Printed header reads DATA M-273 to M-438. Row visible as M-315 1395 VS 1190 ASI 63.10.117 HU 318.,Source catalogue-data row for M-315 and a reconciliation target for local excavation-idno VS 1190395.,The six-sign transcription or 034 segmentation directly.,0
2026-05-25,ia_cisi1_data_page_image,Internet Archive direct data-page raster,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n403_w2000.jpg,downloaded_positive,Stored tmp/m315_cisi1/n403_w2000.jpg (2448 x 3423) and row crop tmp/m315_cisi1/derived/m315_data_page_row_context.png.,Local source-data evidence capture.,Object-side image validation.,0
2026-05-25,ia_cisi1_djvu_xml_page78,Internet Archive DjVu XML OCR,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India_djvu.xml,ocr_locator_positive,"OBJECT 113 / India_0113.djvu has OCR hits for M-315 at coords 1886,973,1986,943,973 and 1887,1866,1987,1835,1864.",Machine-locatable page labels for the two M-315 panels.,OCR as a substitute for visual inspection.,0
2026-05-25,ia_cisi1_djvu_xml_data,Internet Archive DjVu XML OCR,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India_djvu.xml,ocr_locator_positive,"OBJECT 403 / India_0403.djvu has OCR hit M-315 at coords 190,1784,262,1762,1783 and page text M-315 1395 VS 1190.",Machine-locatable data-row route.,Full-row transcription without visual crop verification.,0
2026-05-25,local_390_slot_contrast,Local filtered lipi contrast extraction,data/open_prototype/reports/lipi_034_m315_390_slot_contrasts.csv,contrast_positive_singleton,"37 rows match prefix 390-X-002; only M-315 has 390-034-002. Only three rows have prefix 390-034: Ai-7, H-335, M-315.",M-315 is a high-value singleton second-slot 034 test outside FRAME700 and outside terminal 520-220.,Any value/function/translation for 034.,0
2026-05-25,harappa_highres_request,Gmail sent source request to Harappa,gmail:[redacted-msgid],sent_request,"Requested higher-resolution M-315 A/a source image, direction basis, sign-list convention, VS 1190/1395 vs VS1190395 reconciliation, and permission/citation terms.",Live acquisition path for source-grade token validation.,No reply yet; no new mapping or reading accepted.,0
