checked_date,branch,target_rows,strict_rows,terminal_rows,continuing_rows,sites,types,symbols,cults,source_tiers,syntax_tier,semantic_tier,decision,rows
2026-05-31,125,4,2,0,4,Mohenjo-daro:3;Surkotada:1,SEAL:S:4,Bull1:1;Bull1:J:1;Bull1:S:1;Bull1:U:1,SAN:2;HAF:1;RAN:1,strict:2;metadata_unbound:1;permissive_public_panel:1,candidate_open_continuing,candidate_narrow_rank_title_selector,keep continuing-selector syntax; rank/title semantics only in final235/P086 lane,M-38:235->125->632 032:metadata_unbound | M-119:484->125->632 032 900 563:strict | M-735:235->125->195:strict | Sktd-1:004->125->820:permissive_public_panel
2026-05-31,095,2,1,2,0,Harappa:1;Mohenjo-daro:1,SEAL:S:1;TAB:B:1,Bull1:J:1;None:1,None:1;SAN:1,route_or_secondary:1;strict:1,candidate_terminal_closure,wild,demote status/admin semantics; strict M-71 seal and route H-1993 tablet are context-heterogeneous,H-1993:004->095-><END>:route_or_secondary | M-71:142->095-><END>:strict
2026-05-31,705,2,0,2,0,Dholavira:1;Mohenjo-daro:1,SEAL:S:2,Bull1:1;Bull1:I:1,RB:1;S:1,metadata_unbound:1;route_or_secondary:1,candidate_terminal_closure,wild_to_candidate_edge,keep terminal ecology; no semantic promotion until repeated strict M-1825/Dholavira pair,M-1825:031->705-><END>:route_or_secondary | -:4237.1:388->705-><END>:metadata_unbound
2026-05-31,072,1,0,1,0,Harappa:1,SEAL:S:1,Bull1:I:1,RAN:1,metadata_unbound:1,form_only_terminal_wild,wild,singleton form-only branch; do not semanticize,H-68:003->072-><END>:metadata_unbound
2026-05-31,140,1,0,1,0,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,S:1,metadata_unbound:1,form_only_terminal_wild,wild,singleton form-only branch; do not semanticize,M-708:061->140-><END>:metadata_unbound
2026-05-31,346,1,0,1,0,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,RAF:1,metadata_unbound:1,form_only_terminal_wild,wild,singleton form-only branch; do not semanticize,M-213:384->346-><END>:metadata_unbound
2026-05-31,530,1,0,0,1,Harappa:1,TAB:B:1,None:1,None:1,panel_compatible_not_strict:1,candidate_one_complement_linker,wild,keep one-complement syntax; do not assign semantic value until token-strict H-773,H-773:803->530->741:panel_compatible_not_strict
2026-05-31,590,1,0,0,1,Unknown:1,SEAL:S:1,Bull1:J:1,RAF:1,metadata_unbound:1,local_candidate_formula_bridge,wild,keep local bridge only if 3335.1 source-binds; global 390-590 rule is killed,-:3335.1:032->590->032:metadata_unbound
2026-05-31,692,1,1,1,0,Mohenjo-daro:1,SEAL:S:1,Bull1:T:1,SAF:1,strict:1,candidate_terminal_closure,candidate_edge_result_lane,keep result/suffix semantics only as 032-lane singleton pressure from strict M-70,M-70:032->692-><END>:strict
2026-05-31,707,1,0,1,0,Mohenjo-daro:1,SEAL:S:1,Bull2:1,SAF:1,metadata_unbound:1,form_only_terminal_wild,wild,singleton form-only branch; do not semanticize,M-232:236->707-><END>:metadata_unbound
