"row_id","cisi","subtype","target_label","is_h_series","priority","type","site","sides","direction","short_side_index","order","short_text","context_class","side_relation","longer_row_count","longer_texts","sequence_family_key","horizontal_mm","vertical_mm","thickness_mm","h_bin","v_bin","area_bin","aspect_bin","th_bin","long_family","long_token_set","long_edge_frames","long_first_tokens","long_last_tokens","long_length_bin"
"3959.2","H-1100","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","2","700_first","+700-032+","single_longer_text","short_after_all_longer","1","+740-904-240-002-817+","1:+740-904-240-002-817+|2:+700-032+","26","16","","h_ge_16","v_ge_10","area_ge_180","aspect_1p5_1p9","th_missing","+740-904-240-002-817+","002;240;740;817;904","740...817","740","817","long_len_4_5"
"273.2","H-1102","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","2","700_first","+700-032+","single_longer_text","short_after_all_longer","1","+400-740-382+","1:+400-740-382+|2:+700-032+","21.6","10.2","","h_ge_16","v_ge_10","area_ge_180","aspect_ge_1p9","th_missing","+400-740-382+","382;400;740","400...382","400","382","long_len_1_3"
"290.1","H-1112","033","FRAME700_SUBTYPE033","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","1","700_last","+033-700+","single_short_no_longer_text","no_longer_text","0","","1:+033-700+|2:+520-000-255+","11.4","","","h_10_13","v_missing","area_missing","aspect_missing","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"3968.2","H-1120","034","FRAME700_SUBTYPE034","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","2","700_first","+700-034+","single_short_no_longer_text","no_longer_text","0","","1:+740-000-000-705+|2:+700-034+","16","8","","h_ge_16","v_7_8p5","area_120_180","aspect_ge_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"313.2","H-1123","032","FRAME700_SUBTYPE032","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","2","700_first","+700-032+","single_longer_text","short_after_all_longer","1","+525-550-220+","1:+525-550-220+|2:+700-032+","19.1","8.4","","h_ge_16","v_7_8p5","area_120_180","aspect_ge_1p9","th_missing","+525-550-220+","220;525;550","525...220","525","220","long_len_1_3"
"3969.2","H-1124","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+400-236-220+","1:+400-236-220+|2:+700-033+","14","9","","h_13_16","v_8p5_10","area_120_180","aspect_1p5_1p9","th_missing","+400-236-220+","220;236;400","400...220","400","220","long_len_1_3"
"249.2","H-1133","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","2","700_first","+700-032+","single_longer_text","short_after_all_longer","1","+400-892-831+","1:+400-892-831+|2:+700-032+","15.2","7.6","","h_13_16","v_7_8p5","area_80_120","aspect_ge_1p9","th_missing","+400-892-831+","400;831;892","400...831","400","831","long_len_1_3"
"3973.2","H-1134","032","FRAME700_SUBTYPE032","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","2","700_first","+700-032+","single_short_no_longer_text","no_longer_text","0","","1:+400-892-000+|2:+700-032+","16","7","","h_ge_16","v_7_8p5","area_80_120","aspect_ge_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"198.2","H-1138","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","2","700_first","+700-034+","single_longer_text","short_after_all_longer","1","+740-603-240-060-692+","1:+740-603-240-060-692+|2:+700-034+","21.6","11.4","","h_ge_16","v_ge_10","area_ge_180","aspect_1p5_1p9","th_missing","+740-603-240-060-692+","060;240;603;692;740","740...692","740","692","long_len_4_5"
"682.1","H-1146","032","FRAME700_SUBTYPE032","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","1","700_first","+700-032+","single_longer_text","short_before_all_longer","1","+526-554-002-820+","1:+700-032+|2:+526-554-002-820+","","","","h_missing","v_missing","area_missing","aspect_missing","th_missing","+526-554-002-820+","002;526;554;820","526...820","526","820","long_len_4_5"
"3982.2","H-1153","032","FRAME700_SUBTYPE032","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","2","700_first","+700-032+","single_short_no_longer_text","no_longer_text","0","","1:+740-000-000-000-000+|2:+700-032+","17.8","6.4","","h_ge_16","v_lt_7","area_80_120","aspect_ge_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"270.2","H-1156","032","FRAME700_SUBTYPE032","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","2","700_first","+700-032+","single_short_no_longer_text","no_longer_text","0","","1:+200-705-380+|2:+700-032+","12.2","6.9","","h_10_13","v_lt_7","area_80_120","aspect_1p5_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"268.1","H-1188","033","FRAME700_SUBTYPE033","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","R/L","1","700_first","+700-033+","single_short_no_longer_text","no_longer_text","0","","1:+700-033+|2:+869-000+","16.5","8","","h_ge_16","v_7_8p5","area_120_180","aspect_ge_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"4059.2","H-1198","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+740-061-001-031-820+","1:+740-061-001-031-820+|2:+700-033+","15","9.5","","h_13_16","v_8p5_10","area_120_180","aspect_1p5_1p9","th_missing","+740-061-001-031-820+","001;031;061;740;820","740...820","740","820","long_len_4_5"
