sign,rows,circular_rows,circular_share,examples
000,929,32,0.03444564047362755,C-33:Chanhu-daro:MISC:circular:+220-000-740/741-255+ | -:147.1:Failaka:SEAL:C:circular:+317-817-000-090+ | H-1725:Harappa:TAG:P:circular:]000-590-832-741-003+ | H-1921:Harappa:TAB:B:circular:]000-740-233-240+ | H-242:Harappa:TAB:B:circular:+400-740-392-000-000-000-000-255-000+ | H-246:Harappa:TAB:B:circular:+400-804-000-233-240+ | H-247:Harappa:TAB:B:circular:+400-740-335-000+ | H-837:Harappa:TAB:B:circular:+000-480-176+
740,1302,27,0.020737327188940093,C-87:Chanhu-daro:TAG:P:circular:+740-405+ | C-33:Chanhu-daro:MISC:circular:+220-000-740/741-255+ | -:225.1:Harappa:TAB:B:circular:+804-740-219+ | H-1921:Harappa:TAB:B:circular:]000-740-233-240+ | H-1923:Harappa:TAB:B:circular:+400-740-032-840+ | H-248:Harappa:TAB:B:circular:+400-740-920-320-233-240-798+ | H-2197:Harappa:TAB:I:circular:+400-090-740-100-390-231+ | H-2198:Harappa:TAB:I:circular:+740-255-032+
400,287,17,0.059233449477351915,C-32:Chanhu-daro:SEAL:C:circular:+375-400-390-632+ | H-1147:Harappa:TAB:B:circular:+400-142[ | H-1332:Harappa:TAB:I:circular:+400-098+ | H-1923:Harappa:TAB:B:circular:+400-740-032-840+ | H-248:Harappa:TAB:B:circular:+400-740-920-320-233-240-798+ | H-2197:Harappa:TAB:I:circular:+400-090-740-100-390-231+ | H-242:Harappa:TAB:B:circular:+400-740-392-000-000-000-000-255-000+ | H-245:Harappa:TAB:B:circular:+400-807-740-219+
090,148,13,0.08783783783783784,-:147.1:Failaka:SEAL:C:circular:+317-817-000-090+ | -:148.1:Failaka:SEAL:C:circular:]090-001-350-716+ | H-2197:Harappa:TAB:I:circular:+400-090-740-100-390-231+ | H-345:Harappa:TAB:I:circular:+090-740-362+ | M-428:Mohenjo-daro:TAB:B:circular:+090-740-176-000-000+ | -:3863.1:Qala'at al-Bahrain:SEAL:C:circular:+160-090-055-060-190+ | -:3881.1:Susa:SEAL:C:circular:+700-604-407-090-365-000+ | -:3888.1:Unknown:SEAL:CY:cylindrical:+090-055-000-132-032+
001,187,13,0.06951871657754011,-:148.1:Failaka:SEAL:C:circular:]090-001-350-716+ | H-241:Harappa:TAB:B:circular:+001-142+ | M-2039:Mohenjo-daro:SEAL:C:circular:+140-001-000-000+ | M-416:Mohenjo-daro:SEAL:C:circular:+324-255-001-405-016+ | -:3882.1:Susa:SEAL:CY:cylindrical:+416-150-002-055-031-319-001-924+ | -:3889.1:Unknown:SEAL:C:circular:+740-740-001-550-467+ | -:3898.1:Ur:SEAL:C:circular:+002-004-328-001-803-415+ | -:4247.1:Dholavira:SEAL:C:circular:+806-091-001-368-255-000+
002,723,11,0.015214384508990318,H-833:Harappa:TAB:B:circular:+526-554-002-820+ | H-244:Harappa:TAB:B:circular:+104-002-820+ | H-838:Harappa:TAB:B:circular:+740-615-495-002-817+ | M-1369:Mohenjo-daro:SEAL:C:circular:]000-055-592-140-832-002-060-820[ | M-1385:Mohenjo-daro:TAG:P:circular:+740-760-032-002-817+ | -:3882.1:Susa:SEAL:CY:cylindrical:+416-150-002-055-031-319-001-924+ | -:3898.1:Ur:SEAL:C:circular:+002-004-328-001-803-415+ | M-2012:Mohenjo-daro:TAB:B:circular:+740-900-005-002-570+
031,216,8,0.037037037037037035,H-368:Harappa:SEAL:CY:cylindrical:+400-156-384-031+ | H-369:Harappa:SEAL:CY:cylindrical:+368-033-705-031-741-390-741+ | -:3882.1:Susa:SEAL:CY:cylindrical:+416-150-002-055-031-319-001-924+ | -:3902.1:Kanmer:IMPL:circular:+136-031+ | -:3900.2:Kanmer:IMPL:circular:+413-933-031+ | -:5227.1:Karzakan:SEAL:C:circular:+220-455-031-091+ | -:5229.1:Saar:SEAL:C:circular:+031-093-001-091-220-055+ | -:5232.1:Janabiyah:SEAL:C:circular:+055-099-121-055-831-031-071+
032,339,8,0.02359882005899705,H-1923:Harappa:TAB:B:circular:+400-740-032-840+ | H-2198:Harappa:TAB:I:circular:+740-255-032+ | H-240:Harappa:TAG:P:circular:+740-904-032-233-803+ | H-247:Harappa:TAB:B:circular:+116-032+ | M-1385:Mohenjo-daro:TAG:P:circular:+740-760-032-002-817+ | -:3888.1:Unknown:SEAL:CY:cylindrical:+090-055-000-132-032+ | -:5224.1:Unknown:SEAL:C:circular:+000-061-032-001-220-033-000+ | -:5228.1:Karzakan:SEAL:C:circular:+033-001-032-091+
091,16,7,0.4375,-:5551.1:Kalba:SEAL:C:-:+091+ | -:2153.1:Luristan:SEAL:C:circular:+831-413-840-091+ | -:3887.1:Unknown:SEAL:C:circular:+000-603-091-190+ | -:4247.1:Dholavira:SEAL:C:circular:+806-091-001-368-255-000+ | -:5227.1:Karzakan:SEAL:C:circular:+220-455-031-091+ | -:5228.1:Karzakan:SEAL:C:circular:+033-001-032-091+ | -:5229.1:Saar:SEAL:C:circular:+031-093-001-091-220-055+
033,234,7,0.029914529914529916,H-246:Harappa:TAB:B:circular:+125-700-033+ | H-369:Harappa:SEAL:CY:cylindrical:+368-033-705-031-741-390-741+ | M-433:Mohenjo-daro:TAB:B:circular:+740-390-590-033-705-000+ | M-432:Mohenjo-daro:TAB:B:circular:+740-390-590-033-705+ | -:4301.1:Dholavira:TAG:circular:+136-033+ | -:5224.1:Unknown:SEAL:C:circular:+000-061-032-001-220-033-000+ | -:5228.1:Karzakan:SEAL:C:circular:+033-001-032-091+
055,51,6,0.11764705882352941,M-1369:Mohenjo-daro:SEAL:C:circular:]000-055-592-140-832-002-060-820[ | -:3863.1:Qala'at al-Bahrain:SEAL:C:circular:+160-090-055-060-190+ | -:3882.1:Susa:SEAL:CY:cylindrical:+416-150-002-055-031-319-001-924+ | -:3888.1:Unknown:SEAL:CY:cylindrical:+090-055-000-132-032+ | -:5229.1:Saar:SEAL:C:circular:+031-093-001-091-220-055+ | -:5232.1:Janabiyah:SEAL:C:circular:+055-099-121-055-831-031-071+
255,101,6,0.0594059405940594,C-33:Chanhu-daro:MISC:circular:+220-000-740/741-255+ | H-2198:Harappa:TAB:I:circular:+740-255-032+ | H-242:Harappa:TAB:B:circular:+400-740-392-000-000-000-000-255-000+ | M-416:Mohenjo-daro:SEAL:C:circular:+324-255-001-405-016+ | -:4247.1:Dholavira:SEAL:C:circular:+806-091-001-368-255-000+ | -:5222.1:Girsu:SEAL:C:circular:+740-000-744-013-255+
390,218,6,0.027522935779816515,C-32:Chanhu-daro:SEAL:C:circular:+375-400-390-632+ | H-2197:Harappa:TAB:I:circular:+400-090-740-100-390-231+ | H-369:Harappa:SEAL:CY:cylindrical:+368-033-705-031-741-390-741+ | M-433:Mohenjo-daro:TAB:B:circular:+740-390-590-033-705-000+ | M-432:Mohenjo-daro:TAB:B:circular:+740-390-590-033-705+ | M-436:Mohenjo-daro:TAB:B:circular:+390-370+
220,356,6,0.016853932584269662,C-33:Chanhu-daro:MISC:circular:+220-000-740/741-255+ | M-434:Mohenjo-daro:MDLN:circular:+400-000-000-220+ | -:3897.1:Ur:SEAL:C:circular:+093-340-924-220-528+ | -:5224.1:Unknown:SEAL:C:circular:+000-061-032-001-220-033-000+ | -:5227.1:Karzakan:SEAL:C:circular:+220-455-031-091+ | -:5229.1:Saar:SEAL:C:circular:+031-093-001-091-220-055+
140,102,5,0.049019607843137254,H-839:Harappa:TAB:B:circular:+400-140+ | M-2039:Mohenjo-daro:SEAL:C:circular:+140-001-000-000+ | M-417:Mohenjo-daro:SEAL:C:circular:]000-140+ | M-500:Mohenjo-daro:SEAL:C:circular:+400-592-140-003-900-692-003-700+ | M-1369:Mohenjo-daro:SEAL:C:circular:]000-055-592-140-832-002-060-820[
003,154,5,0.032467532467532464,H-1924:Harappa:TAB:B:circular:+550-003-435+ | H-1725:Harappa:TAG:P:circular:]000-590-832-741-003+ | M-1388:Mohenjo-daro:TAG:L:circular:+156-003+ | M-2039:Mohenjo-daro:SEAL:C:circular:+003-000-000-003+ | M-500:Mohenjo-daro:SEAL:C:circular:+400-592-140-003-900-692-003-700+
741,198,5,0.025252525252525252,C-33:Chanhu-daro:MISC:circular:+220-000-740/741-255+ | H-1725:Harappa:TAG:P:circular:]000-590-832-741-003+ | H-369:Harappa:SEAL:CY:cylindrical:+368-033-705-031-741-390-741+ | M-427:Mohenjo-daro:TAG:P:circular:+740-100-415-741-060-920+ | -:5560.1:Rakhigarhi:TAG:circular:]000-100-415-240-741-060-920+
590,169,4,0.023668639053254437,H-1725:Harappa:TAG:P:circular:]000-590-832-741-003+ | M-433:Mohenjo-daro:TAB:B:circular:+740-390-590-033-705-000+ | M-432:Mohenjo-daro:TAB:B:circular:+740-390-590-033-705+ | H-1144:Harappa:TAB:B:circular:+000-000-590-000-000+
233,172,4,0.023255813953488372,H-1921:Harappa:TAB:B:circular:]000-740-233-240+ | H-248:Harappa:TAB:B:circular:+400-740-920-320-233-240-798+ | H-240:Harappa:TAG:P:circular:+740-904-032-233-803+ | H-246:Harappa:TAB:B:circular:+400-804-000-233-240+
060,208,4,0.019230769230769232,M-427:Mohenjo-daro:TAG:P:circular:+740-100-415-741-060-920+ | M-1369:Mohenjo-daro:SEAL:C:circular:]000-055-592-140-832-002-060-820[ | -:3863.1:Qala'at al-Bahrain:SEAL:C:circular:+160-090-055-060-190+ | -:5560.1:Rakhigarhi:TAG:circular:]000-100-415-240-741-060-920+
820,210,4,0.01904761904761905,H-833:Harappa:TAB:B:circular:+526-554-002-820+ | H-244:Harappa:TAB:B:circular:+104-002-820+ | M-1369:Mohenjo-daro:SEAL:C:circular:]000-055-592-140-832-002-060-820[ | -:5420.1:Kanmer:TAG:circular:]000-049-002-820+
240,258,4,0.015503875968992248,H-1921:Harappa:TAB:B:circular:]000-740-233-240+ | H-248:Harappa:TAB:B:circular:+400-740-920-320-233-240-798+ | H-246:Harappa:TAB:B:circular:+400-804-000-233-240+ | -:5560.1:Rakhigarhi:TAG:circular:]000-100-415-240-741-060-920+
