scope,contrast_field,contrast_key,terminal_rows,continuing_rows,terminal_examples,continuing_examples
all_002_strict_dedup,prefix_before_002,390 004,1,1,M-1750 +390-004-002-861+,H-55 125 +390-004-002-861-125+
after_032_strict_dedup,prefix_last2,220 032,4,2,H-444 +241-220-032-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-723 +740-460-510-235-220-032-002-861+;M-1044 +520-220-032-002-861+,M-91 255 416 +740-100-798-220-032-002-861-255-416+;M-240 603 +520-240-220-032-002-861-603+
all_002_strict_dedup,prefix_last2,220 032,4,2,H-444 +241-220-032-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-723 +740-460-510-235-220-032-002-861+;M-1044 +520-220-032-002-861+,M-91 255 416 +740-100-798-220-032-002-861-255-416+;M-240 603 +520-240-220-032-002-861-603+
all_002_strict_dedup,prefix_last2,390 004,1,1,M-1750 +390-004-002-861+,H-55 125 +390-004-002-861-125+
all_002_strict_dedup,prefix_last2,740 176,3,1,M-2060 +740-176-002-861+;M-1755 +740-176-002-861+;M-15 +090-740-176-002-861+,L-46 392 +527-388-233-740-176-002-861-392+
after_032_strict_dedup,prefix_last1,032,7,2,C-60 +740-176-032-002-861+;H-444 +241-220-032-002-861+;H-597 +740-390-590-070-032-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-21 +350-001-740-362-692-032-002-861+;M-723 +740-460-510-235-220-032-002-861+,M-91 255 416 +740-100-798-220-032-002-861-255-416+;M-240 603 +520-240-220-032-002-861-603+
all_002_strict_dedup,prefix_last1,004,4,1,H-1785 +407-004-002-861+;H-719 +405-004-002-861+;M-1750 +390-004-002-861+;M-1063 +407-004-002-861+,H-55 125 +390-004-002-861-125+
all_002_strict_dedup,prefix_last1,031,3,2,Dlv-1 +151-382-031-002-861+;H-1851 +740-803-892-031-002-861+;M-1161 +520-233-031-002-861+,H-129 244 165 +409-061-740-235-220-031-002-861-244-165+;K-40 791 440 717 +760-031-002-861-791-440-717+
all_002_strict_dedup,prefix_last1,032,7,2,C-60 +740-176-032-002-861+;H-444 +241-220-032-002-861+;H-597 +740-390-590-070-032-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-21 +350-001-740-362-692-032-002-861+;M-723 +740-460-510-235-220-032-002-861+,M-91 255 416 +740-100-798-220-032-002-861-255-416+;M-240 603 +520-240-220-032-002-861-603+
all_002_strict_dedup,prefix_last1,176,4,2,M-2060 +740-176-002-861+;M-1880 +151-176-002-861+;M-1755 +740-176-002-861+;M-15 +090-740-176-002-861+,L-46 392 +527-388-233-740-176-002-861-392+;M-376 533 717 +740-100-176-002-861-533-717+
all_002_strict_dedup,prefix_last1,231,1,1,M-794 +804-231-002-861+,M-1674 683 +090-740-222-231-002-861-683+
all_002_strict_dedup,prefix_last1,233,2,1,M-1115 +740-335-233-002-861+;M-1670 +740-760-001-233-002-861+,H-688 831 165 +520-233-002-861-831-165+
all_002_strict_dedup,prefix_last1,235,6,1,L-89 +527-555-235-002-861+;M-47 +740-760-235-002-861+;M-653 +679-740-235-002-861+;M-934 +526-555-235-002-861+;M-1152 +740-032-840-235-002-861+;M-1343 +740-390-590-235-002-861+,M-355 360 520 919 140 +740-877-032-033-705-231-235-002-861-360-520-919-140+
all_002_strict_dedup,prefix_last1,240,8,1,H-2010 +740-482-240-002-861+;H-51 +740-643-240-002-861+;M-1753 +740-760-519-240-002-861+;M-1726 +740-615-495-240-002-861+;- +740-637-240-002-861+;M-7 +407-845-140-740-101-923-240-002-861+,M-706 031 +740-773-240-002-861-031+
all_002_strict_dedup,prefix_last1,705,2,1,M-100 +090-740-255-705-002-861+;M-785 +740-255-705-002-861+,M-1698 803 +740-482-033-705-002-861-803+
all_002_strict_dedup,prefix_last1,798,6,2,H-1051 +400-740-575-017-920-320-798-002-861+;M-1954 +740-407-590-031-752-033-705-220-415-798-002-861+;M-629 +679-740-176-240-798-002-861+;M-793 +740-388-235-240-798-002-861+;M-815 +520-070-233-798-002-861+;M-1426 +740-760-036-220-415-798-002-861+,H-446 216 +740-585-798-002-861-216+;M-1681 832 +520-072-233-740-798-002-861-832+
all_002_strict_dedup,prefix_last1,803,2,1,M-77 +832-390-803-002-861+;M-118 +740-772-033-705-233-803-002-861+,M-714 603 +740-585-017-033-705-233-798-803-002-861-603+
