"date","object","source_layer","path_or_url","evidence","supports","blocks_or_limits","status"
"2026-05-25","M-1206","local_lipi_rows","data/open_prototype/lipi/metadata_filtered.csv","Rows 3556.1 and 3556.2 share DK8186229; +520-220-034+ and +740-690-435-255-002-861+","Defines local two-side M-1206 target and companion gate","Local planning layer only; source side binding unverified","local_planning"
"2026-05-25","M-1206","Bhaskar_2022_fig3_caption","tmp/m1206_bhaskar/Bhaskar2022_IJHS_57_3_1.txt","Fig. 3 caption says from left M-635, M-1206; images from CISI","External secondary public image lead for M-1206","Caption lacks CISI plate/subentry and sign transcription","external_secondary_image_lead"
"2026-05-25","M-1206","Bhaskar_2022_fig3_running_text_conflict","tmp/m1206_bhaskar/Bhaskar2022_IJHS_57_3_1.txt","Running text says M-2016 (Fig. 3) while caption says M-1206","Adversarial identity check","If Fig.3 is M-2016, M-1206 loses this image route","active_conflict"
"2026-05-25","M-1206","Bhaskar_S1_catalogue","tmp/m1206_bhaskar/S1-IndusZoomorphicIconCatalogue.txt","S1 row has M-1206 with text marker, P8, F0, Bison","Independent catalogue presence in Bhaskar dataset","Icon label differs from local Gaur; no sign transcription","external_secondary_catalogue"
"2026-05-25","M-1206","visual_crop","tmp/m1206_bhaskar/derived/m1206_fig3_signs_close_gray_autocontrast.png","Close crop shows three visible sign groups and a separable angular rightmost displayed group","Compatible with a three-token local face","Does not prove visible terminal equals local 034; direction and side binding unresolved","visual_lead_not_mapping"
"2026-05-25","M-1912","local_lipi_row","data/open_prototype/lipi/metadata_filtered.csv","Row 2441.1 gives M-1912 +520-220-003+, Mohenjo-daro SEAL:S steatite square, Elep","Defines terminal 003 comparator in same local stratum","Local planning only","local_planning"
"2026-05-25","M-1912","RMRL_2025_bulletin","tmp/m1206_bhaskar/bulletin_No_6_June_2025.pdf","Figure 3 page labels representative drawing of M-1912 as an elephant seal with related inscriptions","Secondary visual/source lead for M-1912 terminal comparator","Interpretive paper and drawing; not source-grade CISI/HARP image","secondary_visual_lead"
"2026-05-25","M-1912","RMRL_2025_page_render","tmp/m1206_bhaskar/bulletin_page15-15.png","Rendered page showing M-1912 figure and caption","Makes the lead auditable locally","Still not a primary image source","local_derivative"
"2026-05-25","M-37","local_lipi_row","data/open_prototype/lipi/metadata_filtered.csv","Row 2565.1 gives M-37 +520-220-415+, Mohenjo-daro SEAL:S steatite square, Bull1:S","Defines terminal 415 comparator in same local stratum","Local planning only","local_planning"
"2026-05-25","M-37","Mayig_overlap","data/open_prototype/reports/overlap_probe.csv","M-37A has Mayig graphemes P217 P050 P092 and count matches +520-220-415+","Crosswalk shadow for 520-220-415","Mayig description says unicorn III seal while local says Bull1:S; no image in packet","overlap_shadow"
