"frame","id","cisi","site","type","text","position_1","tail_after_x","terminal","companion_classes"
"240-220-032","62.1","C-65","Chanhu-daro","SEAL:S","+000-100-240-220-032-002-861+","4","2","false","no_companion_side"
"240-220-032","920.1","H-1678","Harappa","SEAL:S","+520-233-240-220-032+","4","0","true","no_companion_side"
"240-220-002","2277.1","M-1990","Mohenjo-daro","SEAL","+740-760-440-240-220-002-861+","5","1","false","no_companion_side"
"240-220-032","2417.1","M-1728","Mohenjo-daro","SEAL:S","+161-055-240-220-032-002-820+","4","2","false","no_companion_side"
"240-220-032","2577.1","M-49","Mohenjo-daro","SEAL:S","+527-550-240-220-032-002-300-350-032-190+","4","5","false","no_companion_side"
"240-220-255","2660.1","M-133","Mohenjo-daro","SEAL:S","+527-550-240-220-255-812-906-388+","4","3","false","no_companion_side"
"240-220-032","2763.1","M-240","Mohenjo-daro","SEAL:S","+520-240-220-032-002-861-603+","3","3","false","no_companion_side"
"240-220-032","2837.1","M-319","Mohenjo-daro","SEAL:S","+740-812-033-240-220-032+","5","0","true","no_companion_side"
"240-220-415","2865.1","M-369","Mohenjo-daro","SEAL:R","+740-690-435-255-240-220-415-806-742-060-920+","6","4","false","no_companion_side"
"240-220-032","3081.1","M-631","Mohenjo-daro","SEAL:S","+520-033-706-240-220-032-368-263+","5","2","false","no_companion_side"
"240-220-032","3146.1","M-722","Mohenjo-daro","SEAL:S","+740-585-240-220-032-002-817+","4","2","false","no_companion_side"
"240-220-032","3572.1","M-1265","Mohenjo-daro","SEAL:R","+740-055-240-220-032-806+","4","1","false","no_companion_side"
