slice,iteration,shuffled_satisfied,shuffled_total,shuffled_share,share_ge_observed,satisfied_ge_observed
short_1_3,0,35,74,0.47297297297297297,false,false
short_1_3,1,37,74,0.5,false,false
short_1_3,2,42,74,0.5675675675675675,false,false
short_1_3,3,41,74,0.5540540540540541,false,false
short_1_3,4,41,74,0.5540540540540541,false,false
short_1_3,5,43,74,0.581081081081081,false,false
short_1_3,6,33,74,0.44594594594594594,false,false
short_1_3,7,38,74,0.5135135135135135,false,false
short_1_3,8,37,74,0.5,false,false
short_1_3,9,45,74,0.6081081081081081,false,false
short_1_3,10,30,74,0.40540540540540543,false,false
short_1_3,11,43,74,0.581081081081081,false,false
short_1_3,12,38,74,0.5135135135135135,false,false
short_1_3,13,34,74,0.4594594594594595,false,false
short_1_3,14,37,74,0.5,false,false
short_1_3,15,47,74,0.6351351351351351,false,false
short_1_3,16,35,74,0.47297297297297297,false,false
short_1_3,17,34,74,0.4594594594594595,false,false
short_1_3,18,47,74,0.6351351351351351,false,false
short_1_3,19,36,74,0.4864864864864865,false,false
short_1_3,20,31,74,0.4189189189189189,false,false
short_1_3,21,41,74,0.5540540540540541,false,false
short_1_3,22,36,74,0.4864864864864865,false,false
short_1_3,23,36,74,0.4864864864864865,false,false
short_1_3,24,38,74,0.5135135135135135,false,false
short_1_3,25,41,74,0.5540540540540541,false,false
short_1_3,26,40,74,0.5405405405405406,false,false
short_1_3,27,38,74,0.5135135135135135,false,false
short_1_3,28,34,74,0.4594594594594595,false,false
short_1_3,29,39,74,0.527027027027027,false,false
short_1_3,30,39,74,0.527027027027027,false,false
short_1_3,31,29,74,0.3918918918918919,false,false
short_1_3,32,40,74,0.5405405405405406,false,false
short_1_3,33,35,74,0.47297297297297297,false,false
short_1_3,34,37,74,0.5,false,false
short_1_3,35,30,74,0.40540540540540543,false,false
short_1_3,36,35,74,0.47297297297297297,false,false
short_1_3,37,32,74,0.43243243243243246,false,false
short_1_3,38,38,74,0.5135135135135135,false,false
