"reviewer","blind_id","cisi","role_class","call","outcome","confidence","notes"
"avicenna_review","B001","M-70","target","yes","target_recovered","0.65","usable compact window in the middle despite soft image"
"avicenna_review","B002","M-70","target","yes","target_recovered","0.70","clean enough horizontal window for source boxing, though not crisp"
"avicenna_review","B003","M-91","positive_calibrator","yes","calibrator_recovered","0.88","one of the cleaner continuous windows"
"avicenna_review","B004","M-240","positive_calibrator","uncertain","calibrator_uncertain","0.48","possible window, but not strict enough to call clean"
"avicenna_review","B005","M-49","positive_calibrator","yes","calibrator_recovered","0.86","clean continuous band suitable for boxing"
"avicenna_review","B006","M-77","scoring_negative","yes","false_positive_scoring_negative","0.70","usable local window in the center-right"
"avicenna_review","B007","M-77","scoring_negative","yes","false_positive_scoring_negative","0.82","clean enough for a compact source-boxing window"
"avicenna_review","B008","M-17","scoring_negative","uncertain","uncertain_scoring_negative","0.43","visible clusters exist, but not a clean continuous signband"
"avicenna_review","B009","M-32","scoring_negative","no","true_negative_scoring_negative","0.70","does not clearly provide a compact four-plus-token continuous window"
"avicenna_review","B010","M-315","scoring_negative","no","true_negative_scoring_negative","0.86","too little continuous adjacent material for the target window"
"avicenna_review","B011","M-315","scoring_negative","uncertain","uncertain_scoring_negative","0.45","borderline four-cluster view but not clean enough for strict yes"
"avicenna_review","B012","M-1273","scoring_negative","yes","false_positive_scoring_negative","0.90","strong source-boxing candidate with clean local windows"
"avicenna_review","B013","M-376","scoring_negative","yes","false_positive_scoring_negative","0.72","usable but not pristine continuous band"
"avicenna_review","B014","M-683","quarantine_negative","yes","quarantine_yes","0.62","clean band exists, but page-context leakage lowers confidence for blind packet use"
"avicenna_review","B015","M-381","scoring_negative","yes","false_positive_scoring_negative","0.92","clean continuous source-boxing candidate"
"ohm_review","B001","M-70","target","uncertain","target_uncertain","0.46","possible target-like relation but not strict enough for recovery"
"ohm_review","B002","M-70","target","yes","target_recovered","0.64","relation appears present with moderate confidence"
"ohm_review","B003","M-91","positive_calibrator","yes","calibrator_recovered","0.72","positive-looking relation present"
"ohm_review","B004","M-240","positive_calibrator","uncertain","calibrator_uncertain","0.42","ambiguous positive-calibrator style hit"
"ohm_review","B005","M-49","positive_calibrator","uncertain","calibrator_uncertain","0.40","possible but too weak to count as recovered"
"ohm_review","B006","M-77","scoring_negative","yes","false_positive_scoring_negative","0.58","hard target-like hit on a scoring negative"
"ohm_review","B007","M-77","scoring_negative","yes","false_positive_scoring_negative","0.75","hard target-like hit on a scoring negative"
"ohm_review","B008","M-17","scoring_negative","no","true_negative_scoring_negative","0.68","no target-like relation"
"ohm_review","B009","M-32","scoring_negative","no","true_negative_scoring_negative","0.66","no target-like relation"
"ohm_review","B010","M-315","scoring_negative","no","true_negative_scoring_negative","0.86","no target-like relation"
"ohm_review","B011","M-315","scoring_negative","no","true_negative_scoring_negative","0.84","no target-like relation"
"ohm_review","B012","M-1273","scoring_negative","yes","false_positive_scoring_negative","0.70","hard target-like hit on a scoring negative"
"ohm_review","B013","M-376","scoring_negative","yes","false_positive_scoring_negative","0.66","hard target-like hit on a scoring negative"
"ohm_review","B014","M-683","quarantine_negative","no","quarantine_no","0.90","quarantine item rejected"
"ohm_review","B015","M-381","scoring_negative","yes","false_positive_scoring_negative","0.82","hard target-like hit on a scoring negative"
