"fig4_number","manufacturing_group","cisi","harp_object_full","local_signature_short","source_pdf_page_checked","fig4_tablet_panel_status","end_profile_marker_status","legibility_status","object_level_public_image_lead_status","admissible_use","non_admissible_use","interpretation_status"
"2","group_1","H-2221","H97-3304/8040-01","B_side_swap","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"3","group_1","H-2222","H97-3305/8040-02","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"4","group_1","H-2220","H97-3312/8040-05","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"5","group_1","H-2227","H97-3314/8040-07","B_side_swap","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"6","group_1","H-2229","H97-3290/8010-03","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"7","group_1","H-2225","H97-3315/8040-08","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"8","group_2","H-2224","H97-3318/8040-12","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"9","group_2","H-2235","H97-3333/8038-01","B_side_swap","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"10","group_2","H-2219","H97-3317/8040-11","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","object_level_public_A_B_C_lead_found_for_H-2219","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"11","group_2","H-2218","H97-3319/8040-13","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"12","group_2","H-2228","H97-3316/8040-09","B_side_swap","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"13","group_2","H-2226","H97-3313/8040-06","B_side_swap","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"14","group_2","H-2223","H97-3306/8040-03","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"15","group_2","H-2236","H97-3307/8040-04","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"16","group_2","H-2239","H96-3046/6951-04","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"17","group_3","H-2237","H96-3125/6937-16","154_variant","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"18","group_3","H-2238","H95-2613/6560-01","033_variant","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"19","group_3","H-2230","H97-3311/8040-10","B_side_swap","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"20","group_3","H-2233","H97-3341/8039-10","B_side_swap","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"21","group_3","H-2231","H97-3320/8040-14","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"22","group_3","H-2234","H97-3322/8040-16","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
"23","group_3","H-2232","H97-3321/8040-15","A","web_viewer_page_14","three_side_panels_visible_in_public_fig4","triangular_end_profile_marker_visible","coarse_not_segmentation_grade","no_object_level_public_A_B_C_lead_in_checked_RSS_blog_pages","series coverage, Fig. 4 item coverage, side-panel presence, plate-request targeting","sign segmentation, allography, stroke counts, side orientation, physical side function, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation","no_reading_admissible"
