date,group,id,cisi,site,type,symbol,cult,preservation,condition,complete,dir,text_length,signs,text,tokens,token_count,has_leading_break,has_trailing_break,contains_034,contains_204,adjacent_034_204,object_note,accepted_reading_claim
2026-05-25,fragment_034_context,172.1,H-1460,Harappa,POT:T:g,None,None,fragment,Poor,N,-,2+?,1,]034-000+,034 000,2,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,200.1,H-1400,Harappa,POT:T:g,None,None,fragment,Poor,?,R/L,4+?,4,+031-034-060-692[,031 034 060 692,4,False,True,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,263.1,H-1293,Harappa,TAB:I,None,None,slightly chipped,Poor,?,R/L,2+?,2,+700-034[,700 034,2,False,True,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,307.2,H-1122,Harappa,TAB:B,None,None,fragment,Poor,?,-,1+?,1,]034+,034,1,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,380.1,H-1848,Harappa,TAB:B,None,None,fragment,Poor,N,-,2+?,1,]000-034+,000 034,2,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,451.1,H-1843,Harappa,TAB:B,None,None,fragment,Poor,?,R/L,2+?,2,]700-034+,700 034,2,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,462.1,H-1826,Harappa,TAB:B,None,None,fragment,Poor,?,-,1+?,1,]034[,034,1,True,True,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,475.1,H-1948,Harappa,TAB:B,None,None,fragment,Poor,?,-,1+?,1,]034[,034,1,True,True,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,641.1,H-2205,Harappa,TAB:I,Fish,None,fragment,Poor,?,R/L,1+?,1,]034+,034,1,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,648.1,H-2106,Harappa,TAB:I,None,None,chipped,Poor,?,-,1+?,1,]034+,034,1,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,token_204_context,652.2,H-1841,Harappa,TAB:B,None,None,chipped,Poor,Y,R/L,4,4,+740-540-204-255+,740 540 204 255,4,False,False,False,True,False,204_context_control,0
2026-05-25,fragment_034_context,696.1,H-2138,Harappa,TAB:I,None,None,fragment,Poor,?,-,1+?,1,]034+,034,1,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,738.1,H-2074,Harappa,TAB:I,None,None,fragment,Poor,?,R/L,4+?,4,+700-034-690-365[,700 034 690 365,4,False,True,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,791.1,H-1807,Harappa,TAB:B,None,None,fragment,Poor,?,-,1+?,1,]034+,034,1,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,803.1,H-1911,Harappa,TAB:B,None,None,fragment,Poor,?,-,1+?,1,+034[,034,1,False,True,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,818.1,H-2285,Harappa,POT:T:g,None,None,fragment,Poor,?,-,2+?,2,]034-031[,034 031,2,True,True,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,946.1,H-1886,Harappa,TAB:B,None,None,fragment,Poor,?,-,1+?,1,]034+,034,1,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,1030.1,H-1739,Harappa,POT:T:s,None,None,fragment,Poor,?,R/L,3+?,3,]034-002-817[,034 002 817,3,True,True,True,False,False,fragmentary_034_control,0
2026-05-25,token_204_context,1072.1,H-11,Harappa,SEAL:S,Bull1:W,SAN,partly damaged,Poor,N,R/L,3,2,+000-125-204+,000 125 204,3,False,False,False,True,False,204_context_control,0
2026-05-25,token_204_context,1237.1,H-206,Harappa,TAB:B,None,None,complete,Good,Y,R/L,6,6,+740-642-240-204-705-621+,740 642 240 204 705 621,6,False,False,False,True,False,204_context_control,0
2026-05-25,fragment_034_context,1609.2,H-704,Harappa,TAB:B,None,None,fragment,Poor,N,-,3+?,1,]000-000-034[,000 000 034,3,True,True,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,1841.1,H-964,Harappa,TAB:I,None,None,fragment,Poor,N,R/L,2+?,1,]000-034+,000 034,2,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,1854.2,H-977,Harappa,TAB:I,Fish,None,fragment,Poor,N,R/L,2+?,1,]000-034+,000 034,2,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,token_204_context,2227.1,M-1975,Mohenjo-daro,SEAL:R,None,None,complete,Good,Y,R/L,6,6,+740-752-001-595-204-920+,740 752 001 595 204 920,6,False,False,False,True,False,204_context_control,0
2026-05-25,token_204_context,2567.1,M-39,Mohenjo-daro,SEAL:S,Bull1:S,HAN,chipped,Poor,?,R/L,6+?,6,]705-240-235-013-204-346+,705 240 235 013 204 346,6,True,False,False,True,False,204_context_control,0
2026-05-25,token_204_context,2892.1,M-396,Mohenjo-daro,SEAL:R,None,None,complete,Good,Y,R/L,10,10,+204-630-233-832-904-794-630-235-060-550+,204 630 233 832 904 794 630 235 060 550,10,False,False,False,True,False,204_context_control,0
2026-05-25,target_m685,3121.1,M-685,Mohenjo-daro,SEAL:S,Bull1,-,fragment,Poor,?,R/L,2+?,2,]034-204+,034 204,2,True,False,True,True,True,target_fragment_exact,0
2026-05-25,token_204_context,3590.1,M-1285,Mohenjo-daro,SEAL:R,None,None,fragment,Fair,N,R/L,4+?,3,]000-204-140-840+,000 204 140 840,4,True,False,False,True,False,204_context_control,0
2026-05-25,fragment_034_context,4075.1,H-1296,Harappa,TAB:I,None,None,fragment,Fair,?,-,1+?,1,]034[,034,1,True,True,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,4133.1,H-1493,Harappa,POT:T:g,-,None,fragment,Poor,?,-,1+?,1,]034+,034,1,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,5293.1,K-168,Kalibangan,POT:T:g,-,-,fragment,Poor,?,-,1+?,1,]034+,034,1,True,False,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,5294.1,K-169,Kalibangan,POT:T:g,-,-,fragment,Fair,?,-,1+?,1,+034[,034,1,False,True,True,False,False,fragmentary_034_control,0
2026-05-25,fragment_034_context,5301.1,K-176,Kalibangan,POT:T:g,-,-,fragment,Fair,?,-,2+?,2,]007-034[,007 034,2,True,True,True,False,False,fragmentary_034_control,0
