"class","id","cisi","type","site","complete","direction","text_length","signs","text"
"PN","1.1","Agr-1","POT:T:g","Alamgirpur","Y","L/R","2","2","+410-017+"
"PN","2.1","Agr-2","POT:T:g","Alamgirpur","Y","L/R","2","2","+410-017+"
"SC","3.1","Agr-3","POT:T:g","Alamgirpur","Y","L/R","2","2","+405-017+"
"??","4.1","-","POT:T:g","Allahdino","N","-","2","1","+220-000+"
"SS","5.1","-","TAG","Allahdino","Y","R/L","2","2","+740-235+"
"SS","6.1","Ad-1","SEAL:S","Allahdino","Y","R/L","3","3","+740-390-590+"
"SC","7.1","Ad-2","SEAL:S","Allahdino","Y","R/L","4","4","+368-390-125-033+"
"MT","8.1","Ad-3","SEAL:S","Allahdino","Y","R/L","5","5","+740-904-033-705-235+"
"LP","9.1","Ad-4","SEAL:S","Allahdino","Y","R/L","6","6","+740-017-495-235-741-066+"
"SS","10.1","Ad-5","SEAL:S","Allahdino","Y","R/L","3","3","+156-460-510+"
"SC","11.1","Ad-6","SEAL:S","Allahdino","Y","R/L","5","5","+072-170-740-840-013+"
"??","12.1","Ad-7","SEAL:S","Allahdino","N","R/L","6","3","+740-142-000/000-388-000+"
"??","13.1","Ad-8","MISC","Allahdino","N","R/L","6","5","+740-440-503-002-861-000+"
"??","14.1","Ad-9","POT:T:g","Allahdino","N","-","3+?","2","]000-004-455+"
"??","15.1","Ad-11","MISC","Allahdino","N","-","2+?","1","]000-415+"
"PN","16.1","Alt-90","SEAL:S","Altyn Depe","Y","L/R","2","2","+390-415+"
"PN","17.1","Ai-7","POT:T:g","Amri","Y","L/R","2","2","+390-034+"
"IM","18.1","-","POT:T:g","Bakkar Buthi","Y","R/L","6","6","+405-844-032-840-002-861+"
"LC","19.1","Blk-1","SEAL:S","Bala-kot","Y","R/L","7","7","+226-003-002-297-350-125-413+"
"LC","20.1","Blk-2","SEAL:S","Bala-kot","Y","R/L","6","6","+390-717-061-002-368-634+"
"SC","22.1","Blk-4","SEAL:S","Bala-kot","Y","R/L","5","5","+527-554-298-368-634+"
"SC","23.1","Blk-6","BNGL","Bala-kot","Y","R/L","2","2","+740-798+"
"NU","24.1","Blk-5","SEAL:S","Bala-kot","Y","NR","1","1","+415+"
"SS","26.1","-","SEAL:S","Banawali","Y","R/L","2","2","+520-001+"
"LP","27.1","B-1","SEAL:S","Banawali","Y","R/L","7","7","+090-740-220-002-368-550-821+"
"ZN","28.1","B-3","SEAL:S","Banawali","Y","R/L","2","2","+220-014+"
"SS","30.1","B-5","SEAL:S","Banawali","Y","R/L","2","2","+002-817+"
"PN","33.1","B-9","SEAL:S","Banawali","Y","R/L","2","2","+390-004+"
"NU","34.1","B-10","SEAL:S","Banawali","Y","NR","1","1","+007+"
"TS","35.1","B-12","SEAL:S","Banawali","Y","NR","1","1","+411+"
"SP","40.1","B-21","SEAL:R","Banawali","Y","R/L","4","4","+426-003-060-692+"
"UC","41.1","B-23","TAG","Banawali","?","T/B","3+?","3","+520-220-002["
"UC","45.1","B-29","POT:T:g","Banawali","?","-","1+?","1","+748["
"ZN","47.1","B-32","POT:T:g","Banawali","Y","NR","1","1","+234+"
"NU","51.1","-","SEAL:S","Bhirrana","Y","NR","1","1","+006+"
"SP","52.1","-","SEAL:S","Bhirrana","Y","R/L","3","3","+236-002-820+"
"TS","59.1","C-52","SEAL:S","Chanhu-daro","Y","NR","1","1","+679+"
"IM","61.1","C-66","SEAL:S","Chanhu-daro","Y","R/L","4","4","+390-003-002-817+"
"LC","64.1","C-54","SEAL:S","Chanhu-daro","Y","R/L","7","7","+842-032-031-592-031-060-920+"
"MT","65.1","C-59","SEAL:S","Chanhu-daro","Y","R/L","3","3","+740-482-235+"
"SP","66.1","C-69","SEAL:S","Chanhu-daro","Y","R/L","5","5","+390-844-060-575-717+"
"IT","67.1","C-75","SEAL:S","Chanhu-daro","Y","R/L","4","4","+740-531-060-692+"
"IT","68.1","C-55","SEAL:S","Chanhu-daro","Y","R/L","5","5","+740-067-741-647-892+"
"SP","69.1","C-60","SEAL:S","Chanhu-daro","Y","R/L","5","5","+740-176-032-002-861+"
"2L","70.1","C-70","SEAL:S","Chanhu-daro","Y","R/L","6","6","+032-031/151-740-240-235+"
"2L","71.1","C-53","SEAL:S","Chanhu-daro","Y","R/L","7","7","+032-031/740-222-235-002-861+"
"2L","72.1","C-76","SEAL:S","Chanhu-daro","Y","R/L","8","8","+032-031/850-032-530-740-741-456+"
"2L","73.1","C-68","SEAL:S","Chanhu-daro","Y","R/L","5","5","+032-031/740-791-713+"
"2L","74.1","C-58","SEAL:S","Chanhu-daro","Y","R/L","7","7","+032-031/740-222-235-002-861+"
"IM","76.1","C-74","SEAL:S","Chanhu-daro","Y","R/L","3","3","+125-002-861+"
"MT","77.1","C-51","SEAL:S","Chanhu-daro","Y","R/L","4","4","+151-740-100-240+"
"UC","83.1","C-62","SEAL:S","Chanhu-daro","?","R/L","5+?","5","]176-220-415-060-920+"
"UC","86.1","C-89","POT:T:g","Chanhu-daro","?","R/L","3+?","3","+790/740-055["
"SP","87.1","C-67","SEAL:S","Chanhu-daro","Y","R/L","5","5","+520-233-803-002-817+"
"LC","89.1","C-1","SEAL:S","Chanhu-daro","Y","R/L","9","9","+031-840-140-740-101-002-365-287-034+"
"IT","91.1","C-3","SEAL:S","Chanhu-daro","Y","R/L","5","5","+740-016-002-920-317+"
"LC","97.1","C-9","SEAL:S","Chanhu-daro","Y","R/L","6","6","+151-233-803-033-705-240+"
"LP","100.1","C-12","SEAL:S","Chanhu-daro","Y","R/L","7","7","+161-390-590-031-740-060-920+"
"UC","117.1","C-35","TAB:B","Chanhu-daro","?","-","3+?","3","+031-705-167["
"TS","122.1","Dmd-1","SEAL:C","Daimabad","Y","NR","1","1","+740+"
"LP","123.1","Dlp-1","SEAL:R","Desalpur","Y","R/L","7","7","+740-920-324-233-240-013-817+"
"IT","132.1","-","SEAL:S","Dholavira","Y","R/L","4","4","+740-416-002-861+"
"IM","136.1","-","SEAL:R","Dholavira","Y","R/L","4","4","+390-016-002-861+"
"MT","138.1","-","SEAL:R","Dholavira","Y","R/L","4","4","+520-033-706-233+"
"MT","150.1","-","TAG","Farmana","Y","R/L","3","3","+740-760-445+"
"ZN","151.1","-","SEAL:S","Farmana","Y","R/L","2","2","+220-032+"
"TS","159.1","G-8","POT:T:p","Gumla","Y","NR","1","1","+840+"
"ZN","162.2","H-1189","TAB:I","Harappa","Y","R/L","2","2","+033-255+"
"ZN","173.1","H-1086","POT:T:s","Harappa","Y","R/L","2","2","+220-016+"
"AN","179.1","H-1462","POT:T:g","Harappa","Y","NR","1","1","+090+"
"TS","182.1","H-1461","POT:T:g","Harappa","Y","NR","1","1","+156+"
"VN","198.2","H-1138","TAB:B","Harappa","Y","R/L","2","2","+700-034+"
"LP","199.1","H-423","SEAL:S","Harappa","Y","R/L","6","6","+520-220-240-798-060-692+"
"VN","212.1","-","TAB:B","Harappa","Y","R/L","2","2","+700-033+"
"VN","222.3","H-1354","TAB:I","Harappa","Y","R/L","2","2","+700-034+"
"VN","225.2","-","TAB:B","Harappa","Y","R/L","2","2","+700-033+"
"VN","229.2","H-1312","TAB:I","Harappa","Y","R/L","2","2","+700-032+"
"IT","233.1","H-1047","SEAL:S","Harappa","Y","R/L","4","4","+405-004-745-905+"
"NV","290.1","H-1112","TAB:B","Harappa","Y","R/L","2","2","+033-700+"
"LT","291.1","-","TAB:B","Harappa","Y","R/L","11","11","+740-407-590-690-436-255-920-318-220-415-803+"
"CT","294.1","H-161","SEAL:R","Harappa","Y","R/L","6","6","+740-760-070-921-315-233+"
"VX","311.2","H-1192","TAB:I","Harappa","Y","R/L","3","3","+700-220-004+"
"NU","312.1","H-1491","POT:T:g","Harappa","Y","NR","1","1","+039+"
"NV","316.2","-","TAB:B","Harappa","Y","R/L","2","2","+033-700+"
"NU","326.1","-","POT:T:g","Harappa","Y","NR","1","1","+032+"
"MS","370.2","H-2016","TAB:B","Harappa","Y","R/L","6","6","+700-032-740-335-575-413+"
"NV","373.1","H-1924","TAB:B","Harappa","Y","R/L","2","2","+033-700+"
"IM","374.2","H-1893","TAB:B","Harappa","Y","R/L","4","4","+390-003-060-550+"
"NV","377.1","H-1878","TAB:B","Harappa","Y","-","2","2","+033-700+"
"NV","392.1","H-1858","TAB:B","Harappa","Y","R/L","2","2","+033-700+"
"VX","463.1","H-1827","TAB:B","Harappa","Y","R/L","5","5","+700-032-690-368-817+"
"VX","485.1","H-1953","TAB:B","Harappa","Y","R/L","3","3","+700-032-220+"
"VX","498.1","H-1921","TAB:B","Harappa","Y","R/L","3","3","+125-700-033+"
"VX","499.1","H-1862","TAB:B","Harappa","Y","L/R","4","4","+700-033-368-091+"
"MS","519.2","H-2186","TAB:I","Harappa","Y","R/L","4","4","+390-004-155-390+"
"AN","542.1","-","POT:T:g","Harappa","Y","R/L","2","2","+111-033+"
"LT","569.2","H-1922","TAB:B","Harappa","Y","R/L","7","7","+400-740-920-320-233-240-798+"
"LT","631.2","H-1842","TAB:B","Harappa","Y","R/L","6","6","+740-690-435-176-233-803+"
"AN","658.2","H-1946","TAB:B","Harappa","Y","NR","1","1","+144+"
"AN","683.1","H-1769","TAB:B","Harappa","Y","NR","1","1","+144+"
"AN","727.1","-","POT:T:g","Harappa","Y","NR","1","1","+090+"
"LT","824.1","H-1775","TAB:B","Harappa","Y","R/L","6","6","+740-100-415-176-792-102+"
"MS","1011.1","H-1713","SEAL:R","Harappa","Y","R/L","4","4","+426-003-013-817+"
"MS","1083.1","H-23","SEAL:S","Harappa","Y","R/l","5","5","+740-100-176-405-019+"
"MS","1084.1","H-24","SEAL:S","Harappa","Y","R/L","6","6","+740-626-176-033-705-233+"
"3L","1169.1","H-103","SEAL:S","Harappa","Y","R/L","10","10","+159-097/520-033-705/740-717-220-415-806+"
"LT","1300.1","H-278","TAB:B","Harappa","Y","R/L","11","11","+740-407-590-690-436-255-920-318-220-415-803+"
"CT","2282.1","M-1879","SEAL:S","Mohenjo-daro","Y","R/L","5","5","+740-636-240-066-556+"
"IC","2350.1","M-1899","SEAL:S","Mohenjo-daro","Y","R/L","4","4","+924-132-002-861+"
"CT","2364.1","M-1893","SEAL:S","Mohenjo-daro","Y","R/L","4","4","+740-927-033-817+"
"3L","2369.1","M-2122","IMPL","Mohenjo-daro","Y","-","4","4","+832/006-740/090+"
"PA","2405.1","M-1767","SEAL:S","Mohenjo-daro","Y","R/L","7","7","+790/400-296-350-892-632-032+"
"IC","2455.1","M-1747","SEAL:S","Mohenjo-daro","Y","R/L","5","5","+165-741-031-060-692+"
"PA","2595.1","M-67","SEAL:S","Mohenjo-daro","Y","R/L","7","7","+457/740-165-900-060-111-575+"
"PA","2606.1","M-79","SEAL:S","Mohenjo-daro","Y","R/L","7","7","+688/740-100-240-233-002-861+"
"PA","2647.1","M-120","SEAL:S","Mohenjo-daro","Y","R/L","7","7","+858/740-100-585-741-840-346+"
"PA","2779.1","M-256","SEAL:S","Mohenjo-daro","Y","R/L","5","5","+930/804-220-060-550+"
"3L","2832.1","M-314","SEAL:S","Mohenjo-daro","Y","R/L","17","17","+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+"
"CT","3741.1","M-1475","TAB:C","Mohenjo-daro","Y","R/L","8","8","+424-003-001-900-740-690-435-255+"
"IC","3905.1","M-1664","SEAL:S","Mohenjo-daro","Y","R/L","4","4","+812-500-060-920+"
"IC","5355.1","Ns-53","SEAL:S","Nausharo","Y","R/L","5","5","+861-111-391-060-692+"
"IC","5358.1","Ns-57","SEAL:S","Nausharo","Y","R/L","5","5","+861-111-606-002-820+"
