"reviewer","blind_id","cisi","role_class","expected_token_count","review_token_count","review_count_uncertain","count_match_status","hard_branch_relation_note","notes"
"curie_review","BG001","M-12","primary_target","9","10","true","count_mismatch","false","blurred relief and overlap with animal head at right; one or two signs may be composite"
"curie_review","BG002","M-318","primary_target","5","5","false","exact_expected_count_match","false","low contrast and relief glare; middle signs partly merge with animal body"
"curie_review","BG003","M-29","primary_target","9","10","true","count_mismatch","false","top row is countable in outline but blurred; right-edge token boundary is weak"
"curie_review","BG004","M-678","backup_target","9","8","true","count_mismatch","false","cropped left and right edges; crack through center and blur affect segmentation"
"curie_review","BG005","M-655","backup_target","7","9","true","count_mismatch","false","image is pixelated; left break and central diagonal create token-boundary uncertainty"
"curie_review","BG006","M-311","backup_target","4","7","true","count_mismatch","false","tiny low-contrast marks are not individually separable; large right figure may be pictorial rather than script"
"curie_review","BG007","M-28","scoring_negative","8","8","true","uncertain_expected_count_match","false","top inscription is clipped by image edge; several signs only partially visible"
"curie_review","BG008","M-653","scoring_negative","5","6","true","count_mismatch","false","fragmentary piece with heavy blur; leftmost and rightmost signs may be incomplete"
"curie_review","BG009","M-654","scoring_negative","4","6","true","count_mismatch","false","surface is very eroded and low contrast; token boundaries are not feasible to box reliably"
"curie_review","BG010","M-381","scoring_negative","7","8","false","count_mismatch","false","overall count is clear, but middle-right signs touch slightly"
"curie_review","BG011","M-32","scoring_negative","4","4","false","exact_expected_count_match","false","small crop; right sign is cut off and bar groups may be stacked components"
"curie_review","BG012","M-17","scoring_negative","5","4","false","count_mismatch","false","cropped left/right edges and stacked bars make reading order uncertain"
"curie_review","BG013","H-449","quarantine","7","2","true","count_mismatch","false","no reliable full token boundary visible; likely partial enlarged strokes only"
"curie_review","BG014","M-1427","quarantine","8","0","false","count_mismatch","false","object relief dominates and no distinct incised or raised token boxes can be isolated"
"hypatia_review","BG001","M-12","primary_target","9","10","true","count_mismatch","false","blur and relief shadows merge adjacent signs; lower right mark may be sign or animal/head detail"
"hypatia_review","BG002","M-318","primary_target","5","6","false","count_mismatch","false","worn surface and animal overlap make the central upper/lower stroke groups hard to separate"
"hypatia_review","BG003","M-29","primary_target","9","9","true","uncertain_expected_count_match","false","top row is dense; central compound signs and left stacked strokes may split differently"
"hypatia_review","BG004","M-678","backup_target","9","9","true","uncertain_expected_count_match","false","left and right signs are partial; crack and animal relief obscure lower edges"
"hypatia_review","BG005","M-655","backup_target","7","11","true","count_mismatch","false","image is blurred and blocky; upper/lower short-stroke clusters may be separate tokens or parts of adjacent signs"
"hypatia_review","BG006","M-311","backup_target","4","12","true","count_mismatch","false","individual tokens are not feasibly boxable; apparent short strokes may be inscription, texture, or animal detailing"
"hypatia_review","BG007","M-28","scoring_negative","8","7","true","count_mismatch","false","upper portions are cut off; right-side animal horn overlaps the sign area and should not be counted as a token"
"hypatia_review","BG008","M-653","scoring_negative","5","7","true","count_mismatch","false","left side is broken and surface is noisy; several right-side verticals may be separate signs or one compound"
"hypatia_review","BG009","M-654","scoring_negative","4","6","true","count_mismatch","false","erosion is severe; boxes mark broad possible sign areas rather than confident token boundaries"
"hypatia_review","BG010","M-381","scoring_negative","7","10","false","count_mismatch","false","mostly legible, but central grid/dash and adjacent vertical groups could be tokenized at different granularity"
"hypatia_review","BG011","M-32","scoring_negative","4","4","false","exact_expected_count_match","false","rightmost sign is cropped; two short-stroke groups may combine differently depending on intended line order"
"hypatia_review","BG012","M-17","scoring_negative","5","5","false","exact_expected_count_match","false","small crop and blur; stroke clusters may be counted as grouped signs rather than individual strokes"
"hypatia_review","BG013","H-449","quarantine","7","3","true","count_mismatch","false","only partial thick vertical/curved fragments are visible; token boundaries are not feasible"
"hypatia_review","BG014","M-1427","quarantine","8","0","false","count_mismatch","false","side-view object is too blurred/dark and shows no countable inscription tokens"
"noether_review","BG001","M-12","primary_target","9","10","true","count_mismatch","false","blurred relief and animal/head overlap make several token boundaries uncertain"
"noether_review","BG002","M-318","primary_target","5","5","true","uncertain_expected_count_match","false","low contrast and strong relief shadows blur the central-right signs"
"noether_review","BG003","M-29","primary_target","9","14","true","count_mismatch","false","top row is crowded and blurred with possible composite signs"
"noether_review","BG004","M-678","backup_target","9","10","true","count_mismatch","false","crop cuts signs and heavy blur merges neighboring tokens"
"noether_review","BG005","M-655","backup_target","7","9","true","count_mismatch","false","top of inscription is cut/blurred and far-left edge is fragmentary"
"noether_review","BG006","M-311","backup_target","4","0","false","count_mismatch","false","image shows animal/body detail rather than separable script tokens"
"noether_review","BG007","M-28","scoring_negative","8","6","true","count_mismatch","false","upper row is truncated and the right candidate is partly isolated by crop/scene composition"
"noether_review","BG008","M-653","scoring_negative","5","5","true","uncertain_expected_count_match","false","fragment is broken and several forms merge with damage and edge texture"
"noether_review","BG009","M-654","scoring_negative","4","6","true","count_mismatch","false","surface damage dominates and sign/non-sign boundaries are highly uncertain"
"noether_review","BG010","M-381","scoring_negative","7","8","true","count_mismatch","false","clearer than most but stacked short strokes create token-count ambiguity"
"noether_review","BG011","M-32","scoring_negative","4","4","false","exact_expected_count_match","false","small crop and partial right sign limit ordering"
"noether_review","BG012","M-17","scoring_negative","5","4","false","count_mismatch","false","blur and stacked layout make reading order unclear"
"noether_review","BG013","H-449","quarantine","7","2","true","count_mismatch","false","close crop shows partial incisions/forms without enough context for tokenization"
"noether_review","BG014","M-1427","quarantine","8","3","true","count_mismatch","false","dark low-contrast object and possible non-script relief make token boundaries infeasible"
