checked_date,object,row_id,site,type,shape,material,sign,role,partner,tail_after_partner,open_after_partner,text
2026-05-31,C-57,82.1,Chanhu-daro,SEAL:S,square,Steatite,530,x_slot_after_head,296,000,true,+740-032-840-002-296-530-000+
2026-05-31,H-1993,744.2,Harappa,TAB:B,rectangular,Clay,095,x_slot_after_head,390,<END>,false,+740-000-220-004-002-390-095+
2026-05-31,H-55,1114.1,Harappa,SEAL:S,square,Steatite,125,x_slot_after_head,861,<END>,false,+390-004-002-861-125+
2026-05-31,H-74,1132.1,Harappa,SEAL:S,square,Steatite,125,x_slot_after_head,610,032,true,+002-610-125-032+
2026-05-31,H-468,1456.1,Harappa,SEAL:S,square,Steatite,705,x_slot_after_head,940,<END>,false,+740-900-003-002-940-705+
2026-05-31,H-611,1551.1,Harappa,SEAL:S,square,Steatite,125,head_slot_after_002,590,<END>,false,+527-550-002-125-590+
2026-05-31,H-773,1665.1,Harappa,TAB:B,plano-convex,Faience,530,x_slot_after_head,390,741,true,+740-798-803-002-390-530-741+
2026-05-31,L-1,1984.1,Lothal,SEAL:S,square,Steatite,095,x_slot_after_head,812,<END>,false,+527-550-233-002-812-095+
2026-05-31,M-1692,2226.1,Mohenjo-daro,SEAL:S,square,Steatite,125,x_slot_after_head,190,632 032,true,+390-600-617-002-190-125-632-032+
2026-05-31,M-1668,2270.1,Mohenjo-daro,SEAL:S,square,Steatite,705,x_slot_after_head,320,125,true,+740-773-233-803-002-320-705-125+
2026-05-31,M-1665,2473.1,Mohenjo-daro,SEAL:S,square,Steatite,125,x_slot_after_head,610,032,true,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,square,Steatite,125,x_slot_after_head,390,632 032,true,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,2569.1,Mohenjo-daro,SEAL:S,square,Steatite,125,x_slot_after_head,405,820,true,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,square,Steatite,095,x_slot_after_head,390,<END>,false,+151-279-142-002-390-095+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,square,Steatite,125,x_slot_after_head,390,632 032 900 563,true,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-248,2771.1,Mohenjo-daro,SEAL:S,square,Steatite,705,head_slot_after_002,590,<END>,false,+740-100-415-002-705-590+
2026-05-31,M-251,2774.1,Mohenjo-daro,SEAL:S,square,Steatite,125,head_slot_after_002,350,<END>,false,+390-003-002-125-350+
2026-05-31,M-354,2850.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,125,x_slot_after_head,906,<END>,false,+740-729-407-845-236-002-906-125+
2026-05-31,M-623,3074.1,Mohenjo-daro,SEAL:S,square,-,530,x_slot_after_head,299,820,true,+740-760-175-176-220-415-798-002-299-530-820+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,square,Steatite,125,x_slot_after_head,390,195,true,+740-760-235-002-390-125-195+
2026-05-31,M-1155,3516.1,Mohenjo-daro,SEAL:S,square,Steatite,705,x_slot_after_head,033,<END>,false,+740-760-335-002-033-705+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,square,-,125,x_slot_after_head,390,820,true,+390-004-002-390-125-820+
2026-05-31,-:3884.1,3884.1,Tell Umma,TAG:L,-,Clay,705,head_slot_after_002,127,<END>,false,+390-004-002-705-127+
2026-05-31,TY-106,3886.1,Tepe Yahya,POT:T:s,-,Clay,095,head_slot_after_002,000,<END>,false,+002-095-000[
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,square,-,705,x_slot_after_head,390,<END>,false,+157-031-002-390-705+
2026-05-31,M-2055,4030.1,Mohenjo-daro,TAB:C,rectangular,Copper,125,x_slot_after_head,407,590 831,true,+002-407-125-590-831+
2026-05-31,-:4182.1,4182.1,Dholavira,SEAL:S,-,-,705,head_slot_after_002,530,904,true,+740-390-590-231-002-705-530-904+
2026-05-31,-:4182.1,4182.1,Dholavira,SEAL:S,-,-,530,x_slot_after_head,705,904,true,+740-390-590-231-002-705-530-904+
2026-05-31,-:4237.1,4237.1,Dholavira,SEAL:S,square,-,705,x_slot_after_head,390,<END>,false,+151-032-388-002-390-705+
