date,packet_id,blind_id,image_path,image_sha256,review_stage,review_task,required_output,accepted_claims_increment
2026-05-29,directionality_no_overlay_packet_v1,D001,tmp/effective_unicity_directionality_blind_packet/blind_images/D001.png,cf0fe1a89d22559d78941e956f500cd47dbc9efd84a4f22e1818f7a1117f5b34,stage1_blind_source_visibility_and_token_boxing,"Without catalogue text or object ID, count visible sign tokens, mark whether a single signband is confidently boxable, and note any label/metadata leak.",token_count; boxable_yes_no_uncertain; label_leak_yes_no; visual_order_note; uncertainty_notes,0
2026-05-29,directionality_no_overlay_packet_v1,D002,tmp/effective_unicity_directionality_blind_packet/blind_images/D002.png,23dbf286add695ed53040a939c16668bc209edbc878970e485713f3bb0f783e4,stage1_blind_source_visibility_and_token_boxing,"Without catalogue text or object ID, count visible sign tokens, mark whether a single signband is confidently boxable, and note any label/metadata leak.",token_count; boxable_yes_no_uncertain; label_leak_yes_no; visual_order_note; uncertainty_notes,0
2026-05-29,directionality_no_overlay_packet_v1,D003,tmp/effective_unicity_directionality_blind_packet/blind_images/D003.png,e95900943cf9f98704f33d2bf4454a3626f801b4e0d4c0f93c4507358d5ed202,stage1_blind_source_visibility_and_token_boxing,"Without catalogue text or object ID, count visible sign tokens, mark whether a single signband is confidently boxable, and note any label/metadata leak.",token_count; boxable_yes_no_uncertain; label_leak_yes_no; visual_order_note; uncertainty_notes,0
2026-05-29,directionality_no_overlay_packet_v1,D004,tmp/effective_unicity_directionality_blind_packet/blind_images/D004.png,3168b3d3de548de5ab8653e04f4370b8ebfadf32cd48f3e13a90a1a55d6fc65f,stage1_blind_source_visibility_and_token_boxing,"Without catalogue text or object ID, count visible sign tokens, mark whether a single signband is confidently boxable, and note any label/metadata leak.",token_count; boxable_yes_no_uncertain; label_leak_yes_no; visual_order_note; uncertainty_notes,0
2026-05-29,directionality_no_overlay_packet_v1,D005,tmp/effective_unicity_directionality_blind_packet/blind_images/D005.png,cf0fe1a89d22559d78941e956f500cd47dbc9efd84a4f22e1818f7a1117f5b34,stage1_blind_source_visibility_and_token_boxing,"Without catalogue text or object ID, count visible sign tokens, mark whether a single signband is confidently boxable, and note any label/metadata leak.",token_count; boxable_yes_no_uncertain; label_leak_yes_no; visual_order_note; uncertainty_notes,0
2026-05-29,directionality_no_overlay_packet_v1,D006,tmp/effective_unicity_directionality_blind_packet/blind_images/D006.png,ecd44e28f6cccb52cca3d9568dbd40dfeee0c14c4021893384341d5b8e40c862,stage1_blind_source_visibility_and_token_boxing,"Without catalogue text or object ID, count visible sign tokens, mark whether a single signband is confidently boxable, and note any label/metadata leak.",token_count; boxable_yes_no_uncertain; label_leak_yes_no; visual_order_note; uncertainty_notes,0
2026-05-29,directionality_no_overlay_packet_v1,D007,tmp/effective_unicity_directionality_blind_packet/blind_images/D007.png,634530e39b752372c5130f0d700a4d684b27237e79db078ef59bf1c8363f88f1,stage1_blind_source_visibility_and_token_boxing,"Without catalogue text or object ID, count visible sign tokens, mark whether a single signband is confidently boxable, and note any label/metadata leak.",token_count; boxable_yes_no_uncertain; label_leak_yes_no; visual_order_note; uncertainty_notes,0
2026-05-29,directionality_no_overlay_packet_v1,D008,tmp/effective_unicity_directionality_blind_packet/blind_images/D008.png,3d28670627edc95782ff4b4b0566a0048d8072881caa864aa52451768a005602,stage1_blind_source_visibility_and_token_boxing,"Without catalogue text or object ID, count visible sign tokens, mark whether a single signband is confidently boxable, and note any label/metadata leak.",token_count; boxable_yes_no_uncertain; label_leak_yes_no; visual_order_note; uncertainty_notes,0
2026-05-29,directionality_no_overlay_packet_v1,D009,tmp/effective_unicity_directionality_blind_packet/blind_images/D009.png,3974c59d13fbe6c76ab32a9a38a21800763f6d2ac58284395613fb6915a1fbeb,stage1_blind_source_visibility_and_token_boxing,"Without catalogue text or object ID, count visible sign tokens, mark whether a single signband is confidently boxable, and note any label/metadata leak.",token_count; boxable_yes_no_uncertain; label_leak_yes_no; visual_order_note; uncertainty_notes,0
2026-05-29,directionality_no_overlay_packet_v1,D010,tmp/effective_unicity_directionality_blind_packet/blind_images/D010.png,be1a6e0457c268e1a5b7754a7522b1d0ae4b8f271530d25851292666c1c7c70c,stage1_blind_source_visibility_and_token_boxing,"Without catalogue text or object ID, count visible sign tokens, mark whether a single signband is confidently boxable, and note any label/metadata leak.",token_count; boxable_yes_no_uncertain; label_leak_yes_no; visual_order_note; uncertainty_notes,0
