"id","cisi","site","region","area_section","material","shape","type","sides","condition","complete","dir","class","text_length","text","signs","second","third","fourth","length","exact_pair","exact_triplet","tail_after_second","tail_after_third","damaged_or_open"
"26.1","-","Banawali","Eastern Headwaters","--","Steatite","square","SEAL:S","1","Fair","Y","R/L","SS","2","+520-001+","520-001","001","<END>","<END>","2","True","False","","","False"
"41.1","B-23","Banawali","Eastern Headwaters","--","-","-","TAG","1","Poor","?","T/B","UC","3+?","+520-220-002[","520-220-002","220","002","<END>","3","False","False","002","","True"
"87.1","C-67","Chanhu-daro","Lower Indus","Mound I-","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-233-803-002-817+","520-233-803-002-817","233","803","002","5","False","False","803-002-817","002-817","False"
"92.1","C-4","Chanhu-daro","Lower Indus","Mound II-","Steatite","square","SEAL:S","1","Fair","Y","R/L","SP","5","+520-235-803-002-817+","520-235-803-002-817","235","803","002","5","False","False","803-002-817","002-817","False"
"95.1","C-7","Chanhu-daro","Lower Indus","Mound I-","Steatite","square","SEAL:S","1","Poor","N","R/L","??","7+?","+520-033-705-240-798-002-000[","520-033-705-240-798-002-000","033","705","240","7","False","False","705-240-798-002-000","240-798-002-000","True"
"118.1","C-37","Chanhu-daro","Lower Indus","Mound II-","Clay","-","POT:T:g","1","Poor","?","R/L","UC","3+?","+520-515-255[","520-515-255","515","255","<END>","3","False","False","255","","True"
"131.1","-","Dholavira","Gujarat/Kutch","--","Steatite","square","SEAL:S","1","Good","Y","R/L","SS","3","+520-460-495+","520-460-495","460","495","<END>","3","False","True","495","","False"
"133.1","-","Dholavira","Gujarat/Kutch","--","Steatite","square","SEAL:S","1","Poor","Y","R/L","SS","2","+520-460+","520-460","460","<END>","<END>","2","True","False","","","False"
"138.1","-","Dholavira","Gujarat/Kutch","Castle-","Steatite","cuboid-convex","SEAL:R","1","Fine","Y","R/L","MT","4","+520-033-706-233+","520-033-706-233","033","706","233","4","False","False","706-233","233","False"
"140.1","-","Dholavira","Gujarat/Kutch","--","Clay","-","TAG","1","Poor","?","R/L","UC","2+?","+520-033[","520-033","033","<END>","<END>","2","False","False","","","True"
"164.1","H-1507","Harappa","Inter-Riverine","FTrench VI","Brick","-","MISC","1","Poor","N","R/L","??","4+?","+520-001-090-000[","520-001-090-000","001","090","000","4","False","False","090-000","000","True"
"199.1","H-423","Harappa","Inter-Riverine","--","Steatite","square","SEAL:S","1","Poor","Y","R/L","LP","6","+520-220-240-798-060-692+","520-220-240-798-060-692","220","240","798","6","False","False","240-798-060-692","798-060-692","False"
"221.1","H-1326","Harappa","Inter-Riverine","FTrench VI","Steatite","rectangular-round","TAB:I","1","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"253.1","H-1165","Harappa","Inter-Riverine","FGranery","Steatite","rectangular","TAB:I","1","Poor","N","L/R","??","3","+520-400-000+","520-400-000","400","000","<END>","3","False","True","000","","False"
"277.2","H-1184","Harappa","Inter-Riverine","F-","Steatite","rectangular","TAB:I","2","Poor","?","R/L","UC","2+?","+520-220[","520-220","220","<END>","<END>","2","False","False","","","True"
"282.2","H-1330","Harappa","Inter-Riverine","FTrench I","Steatite","circular","TAB:I","2","Fair","Y","R/L","MT","2","+520-220+","520-220","220","<END>","<END>","2","True","False","","","False"
"290.2","H-1112","Harappa","Inter-Riverine","F-","Faience","cylindrical","TAB:B","2","Poor","N","R/L","??","3","+520-000-255+","520-000-255","000","255","<END>","3","False","True","255","","False"
"297.1","H-874","Harappa","Inter-Riverine","F-","Clay","cylindrical","TAB:B","2","Good","Y","R/L","SS","3","+520-233-240+","520-233-240","233","240","<END>","3","False","True","240","","False"
"322.1","H-1027","Harappa","Inter-Riverine","G-","Steatite","square","SEAL:S","1","Poor","Y","R/L","MT","6","+520-033-706-231-415-803+","520-033-706-231-415-803","033","706","231","6","False","False","706-231-415-803","231-415-803","False"
"402.2","H-2015","Harappa","Inter-Riverine","ETrench 54","Clay","rectangular-round","TAB:B","2","Poor","Y","L/R","LP","7","+520-033-705-235-832-002-817+","520-033-705-235-832-002-817","033","705","235","7","False","False","705-235-832-002-817","235-832-002-817","False"
"437.2","H-1912","Harappa","Inter-Riverine","ETrench 54","Faience","leaf","TAB:B","2","Good","Y","L/R","SS","2","+520-240+","520-240","240","<END>","<END>","2","True","False","","","False"
"479.1","H-1669","Harappa","Inter-Riverine","ETrench 11","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-220-415-060-920+","520-220-415-060-920","220","415","060","5","False","False","415-060-920","060-920","False"
"481.1","H-2148","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"485.2","H-1953","Harappa","Inter-Riverine","ETrench 11","Clay","rectangular","TAB:B","2","Fair","Y","R/L","MT","5","+520-220-415-240-803+","520-220-415-240-803","220","415","240","5","False","False","415-240-803","240-803","False"
"510.2","H-1916","Harappa","Inter-Riverine","EC","Faience","triangular","TAB:B","2","Fair","Y","R/L","MT","4","+520-070-255-832+","520-070-255-832","070","255","832","4","False","False","255-832","832","False"
"515.2","H-1908","Harappa","Inter-Riverine","EC","Faience","semi-circular","TAB:B","2","Good","Y","R/L","SS","2","+520-240+","520-240","240","<END>","<END>","2","True","False","","","False"
"517.1","H-1722","Harappa","Inter-Riverine","E-","-","-","TAG","2","Poor","N","R/L","??","4+?","+520-220-415-000[","520-220-415-000","220","415","000","4","False","False","415-000","000","True"
"613.1","-","Harappa","Inter-Riverine","--","Clay","-","POT:T:g","1","Poor","Y","R/L","SS","2","+520-235+","520-235","235","<END>","<END>","2","True","False","","","False"
"628.2","H-1899","Harappa","Inter-Riverine","ETrench 10W/11","Faience","rectangular-round","TAB:B","2","Good","Y","R/L","SS","3","+520-033-033+","520-033-033","033","033","<END>","3","False","True","033","","False"
"651.1","H-2151","Harappa","Inter-Riverine","ETrench 10W/11","Steatite","rectangular","TAB:I","2","Poor","?","R/L","UC","1+?","+520[","520","<END>","<END>","<END>","1","False","False","","","True"
"716.1","H-2337","Harappa","Inter-Riverine","E-ETTrench 10E","Clay","-","POT:T:g","1","Poor","?","R/L","UC","3+?","]520-460-495[","520-460-495","460","495","<END>","3","False","False","495","","True"
"739.1","H-1687","Harappa","Inter-Riverine","FTrench 37","Steatite","square","SEAL:S","1","Poor","?","R/L","UC","2+?","+520-220[","520-220","220","<END>","<END>","2","False","False","","","True"
"743.1","H-1907","Harappa","Inter-Riverine","ETrench 11","Faience","heart","TAB:B","2","Good","Y","R/L","SS","2","+520-240+","520-240","240","<END>","<END>","2","True","False","","","False"
"816.1","H-2240","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"831.2","H-1880","Harappa","Inter-Riverine","ETrench 11","Faience","rectangular","TAB:B","2","Good","Y","R/L","SS","3","+520-033-033+","520-033-033","033","033","<END>","3","False","True","033","","False"
"836.2","H-2107","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Poor","?","R/L","UC","3+?","+520-072-255[","520-072-255","072","255","<END>","3","False","False","255","","True"
"841.1","H-2146","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"848.1","H-2149","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"873.1","H-2144","Harappa","Inter-Riverine","ETrench 11","Steatite","-","TAB:I","2","Poor","?","-","UC","1+?","+520[","520","<END>","<END>","<END>","1","False","False","","","True"
"876.2","H-1879","Harappa","Inter-Riverine","ETrench 11","Faience","rectangular","TAB:B","2","Good","Y","R/L","SS","3","+520-033-033+","520-033-033","033","033","<END>","3","False","True","033","","False"
"913.1","H-1992","Harappa","Inter-Riverine","ETrench 11","Faience","cylindrical","TAB:B","2","Poor","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"913.2","H-1992","Harappa","Inter-Riverine","ETrench 11","Faience","cylindrical","TAB:B","2","Poor","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"920.1","H-1678","Harappa","Inter-Riverine","FTrench 41","Steatite","square","SEAL:S","1","Good","Y","R/L","MT","5","+520-233-240-220-032+","520-233-240-220-032","233","240","220","5","False","False","240-220-032","220-032","False"
"1004.1","H-1966","Harappa","Inter-Riverine","--","Clay","rectangular","TAB:B","1","Good","Y","R/L","SP","5","+520-233-049-002-861+","520-233-049-002-861","233","049","002","5","False","False","049-002-861","002-861","False"
"1077.1","H-17","Harappa","Inter-Riverine","F-","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-233-240-060-201+","520-233-240-060-201","233","240","060","5","False","False","240-060-201","060-201","False"
"1103.1","H-44","Harappa","Inter-Riverine","FTrench I","Steatite","square","SEAL:S","1","Good","Y","R/L","LP","9","+520-033-706-235-798-803-002-031-892+","520-033-706-235-798-803-002-031-892","033","706","235","9","False","False","706-235-798-803-002-031-892","235-798-803-002-031-892","False"
