"checked_date","contrast_class","id","cisi","region","site","type","material","preservation","condition","complete","direction","class","text","source_status","use_in_m1584_claim"
"2026-05-25","exact_plus034_singleton","334.1","-","Inter-Riverine","Harappa","POT:T:g","Clay","fragment","Poor","Y","NR","NU","+034+","not_checked_in_this_packet","local_comparandum_only"
"2026-05-25","exact_plus034_singleton","711.1","-","Inter-Riverine","Harappa","POT:T:g","Clay","fragment","Poor","Y","NR","NU","+034+","not_checked_in_this_packet","local_comparandum_only"
"2026-05-25","exact_plus034_singleton","728.2","-","Inter-Riverine","Harappa","POT:T:g","Clay","complete","Poor","Y","NR","NU","+034+","not_checked_in_this_packet","local_comparandum_only"
"2026-05-25","exact_plus034_singleton","879.1","H-1833","Inter-Riverine","Harappa","TAB:B","Faience","chipped","Poor","Y","NR","NU","+034+","not_checked_in_this_packet","local_comparandum_only"
"2026-05-25","exact_plus034_singleton","990.1","H-2286","Inter-Riverine","Harappa","POT:T:g","Clay","fragment","Poor","Y","NR","NU","+034+","not_checked_in_this_packet","local_comparandum_only"
"2026-05-25","exact_plus034_singleton","1269.2","H-244","Inter-Riverine","Harappa","TAB:B","Faience","complete","Fair","Y","NR","NU","+034+","not_checked_in_this_packet","local_comparandum_only"
"2026-05-25","exact_plus034_singleton","3807.1","M-1584","Lower Indus","Mohenjo-daro","POT:T:g","Clay","fragment","Poor","Y","NR","NU","+034+","CISI_2_plate_page_and_data_page_visible","target"
"2026-05-25","exact_plus034_singleton","3938.1","H-2263","Inter-Riverine","Harappa","POT:T:g","Clay","complete","Good","Y","NR","NU","+034+","not_checked_in_this_packet","local_comparandum_only"
"2026-05-25","exact_plus034_singleton","4134.1","H-1496","Inter-Riverine","Harappa","POT:T:g","Clay","fragment","Poor","Y","NR","NU","+034+","not_checked_in_this_packet","local_comparandum_only"
"2026-05-25","exact_plus034_singleton","5373.1","Ns-72","Lower Indus","Nausharo","POT:T:g","Clay","fragment","Poor","Y","NR","NU","+034+","not_checked_in_this_packet","local_comparandum_only"
"2026-05-25","exact_plus034_singleton","5419.1","-","Inter-Riverine","Derawar Ther","POT:T:g","Clay","fragment","Fair","Y","NR","NU","+034+","not_checked_in_this_packet","local_comparandum_only"
"2026-05-25","single_sign_summary","","","","","","","","","","","","","",""
"2026-05-25","single_sign_summary","","","","","","","","","","","","","",""
"2026-05-25","single_sign_summary","","","","","","","","","","","","","",""
"2026-05-25","single_sign_summary","","","","","","","","","","","","","",""
"2026-05-25","single_sign_summary","","","","","","","","","","","","","",""
"2026-05-25","single_sign_summary","","","","","","","","","","","","","",""
"2026-05-25","mohenjo_daro_034_context","2269.1","M-1963","","Mohenjo-daro","SEAL:R","Steatite","chipped","Poor","N","L/R","??","+000-034-104+","",""
"2026-05-25","mohenjo_daro_034_context","2527.1","M-2104","","Mohenjo-daro","ROD","Ivory","complete","Fair","Y","R/L","VX","+151-097-700-034+","",""
"2026-05-25","mohenjo_daro_034_context","2833.1","M-315","","Mohenjo-daro","SEAL:S","Steatite","slightly chipped","Good","Y","R/L","LC","+390-034-002-374-228-741+","",""
"2026-05-25","mohenjo_daro_034_context","3121.1","M-685","","Mohenjo-daro","SEAL:S","Steatite","fragment","Poor","?","R/L","UC","]034-204+","",""
"2026-05-25","mohenjo_daro_034_context","3556.1","M-1206","","Mohenjo-daro","SEAL:S","Steatite","complete","Good","Y","R/L","MT","+520-220-034+","",""
"2026-05-25","mohenjo_daro_034_context","3807.1","M-1584","","Mohenjo-daro","POT:T:g","Clay","fragment","Poor","Y","NR","NU","+034+","",""
