"prev","next","frame","text","count","sites","types","cisis","ids"
"520","415","520-220-415","+520-220-415+","17","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","H-1284;H-1326;H-1992;H-2146;H-2148;H-2149;H-2240;H-319;H-346;H-364;H-786;H-938;H-939;H-940;H-941;M-37","221.1;481.1;816.1;841.1;848.1;913.1;913.2;1341.1;1366.1;1383.1;1677.2;1818.1;1819.2;1820.1;1821.2;2565.1;4069.1"
"318","415","318-220-415","+740-407-590-690-436-255-920-318-220-415-803+","11","Harappa","TAB:B","-;H-278;H-279;H-280;H-281;H-282;H-283;H-284;H-871;H-872;H-873","291.1;1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1;1754.1;1755.1;1756.1"
"740","055","740-220-055","+090-740-220-055-001-741-500-705+","11","Lothal","TAG;TAG:L;TAG:W","L-124;L-125;L-126;L-127;L-128;L-129;L-190;L-191;L-193;L-197;L-206","2068.1;2069.1;2070.1;2071.1;2072.1;2112.1;2113.1;2115.1;2117.1;2125.1;5388.1"
"<START>","<END>","<START>-220-<END>","+220+","10","Harappa;Kalibangan;Kanmer;Lothal;Mohenjo-daro","MISC;POT:M;POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:I","-;H-1166;H-1387;H-884;H-973;K-447;L-66;M-410","250.1;553.2;984.1;1767.1;1850.1;2032.4;2906.1;4108.1;5351.1;5452.1"
"176","235","176-220-235","+740-176-220-235+","7","Harappa","TAB:B","H-1130;H-1131;H-2010;H-2011;H-806;H-807;H-808","729.1;937.1;1695.2;1696.2;1697.2;3970.2;3971.2"
"<START>","<END>","<START>-220-<END>","]220[","5","Guddal A;Harappa","POT:T:g;SEAL;SEAL:S;TAB:I","-;H-1174;H-1282;H-566;H-567","187.2;252.1;1519.1;1520.1;5418.1"
"<START>","415","<START>-220-415","]220-415+","5","Harappa;Mohenjo-daro","SEAL:R;TAB:I","H-2147;H-2150;H-2152;H-2178;M-1968","673.2;770.2;865.2;1025.2;4009.1"
"740","003","740-220-003","+740-220-003+","5","Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","M-1439;M-1441;M-1442;M-1443;M-294","2814.1;3720.1;3722.1;3723.1;3724.1"
"740","415","740-220-415","+400-740-220-415-798+","5","Harappa;Mohenjo-daro","TAB:B","H-203;H-748;H-767;M-468;M-469","1234.1;1641.1;1659.1;2953.1;2954.1"
"520","<END>","520-220-<END>","+520-220+","4","Harappa;Mohenjo-daro","SEAL:S;TAB:I","H-1330;H-329;M-185;M-978","282.2;1351.1;2710.1;3371.1"
"845","415","845-220-415","+407-845-220-415+","4","Mohenjo-daro","TAB:C","M-1456;M-1457;M-507;M-508","2983.1;2984.1;3733.1;3734.1"
"<START>","<END>","<START>-220-<END>","]220+","3","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:B","H-1486;H-1777;M-886","568.1;3292.1;4132.1"
"<START>","700","<START>-220-700","+220-700-004+","3","Harappa","TAB:I","H-1191;H-302;H-912","1324.1;1793.2;4056.2"
"000","<END>","000-220-<END>","]000-220+","3","Harappa;Kalibangan;Rakhigarhi","POT:T:g;TAB:I","-;H-2195;K-189","891.2;5309.1;5562.1"
"236","<END>","236-220-<END>","+400-236-220+","3","Harappa","TAB:B","H-1124;H-1872;H-1941","751.2;927.2;3969.1"
"520","<END>","520-220-<END>","+520-220[","3","Harappa","SEAL:S;TAB:I","H-1184;H-1687;H-525","277.2;739.1;1500.1"
"<START>","000","<START>-220-000","+220-000[","2","Dholavira;Harappa","POT:T:p;SEAL","-;H-1007","1159.1;4199.1"
"<START>","016","<START>-220-016","+220-016+","2","Harappa","POT:T:s;SEAL:S","H-1028;H-1086","173.1;318.1"
"<START>","032","<START>-220-032","+220-032+","2","Farmana;Harappa","POT:T:s;SEAL:S","-;H-1084","151.1;3950.1"
"<START>","033","<START>-220-033","+220-033+","2","Harappa","POT:T:s","H-1736;H-1737","1017.1;1032.1"
"000","<END>","000-220-<END>","]000-000-220+","2","Harappa","POT:T:g","-;H-1403","186.1;5397.1"
"000","415","000-220-415","+400-000-220-415+","2","Mohenjo-daro","ROD","M-2109;M-2111","4042.1;4044.1"
"032","<END>","032-220-<END>","+690-590-032-220+","2","Harappa","TAB:B","H-2019;H-2020","902.2;904.2"
"142","<END>","142-220-<END>","+455-590-142-220+","2","Harappa","TAB:I","H-2127;H-2128","491.1;589.1"
"176","<END>","176-220-<END>","+740-176-220[","2","Kalibangan;Mohenjo-daro","POT:T:g;SEAL:R","K-100;M-1294","1954.1;3599.1"
"176","032","176-220-032","+740-176-220-032+","2","Mohenjo-daro","TAB:C","M-511;M-512","2987.2;2988.2"
"440","<END>","440-220-<END>","+400-154-440-220+","2","Harappa","TAB:B","H-1142;H-761","220.1;1653.2"
"520","016","520-220-016","+400-520-220-016+","2","Harappa","TAB:B","H-1121;H-789","258.1;1680.1"
"550","<END>","550-220-<END>","+526-550-220+","2","Harappa","TAB:I","H-344;H-359","1364.1;1378.1"
"740","000","740-220-000","+090-740-220-000[","2","Harappa;Lothal","SEAL:S;TAG","H-401;L-189","1409.1;2111.1"
"760","416","760-220-416","+400-740-760-220-416+","2","Harappa","TAB:I","H-1191;H-912","1793.1;4056.1"
"892","920","892-220-920","+400-202-892-220-920+","2","Harappa","TAB:B","H-183;H-184","1216.1;1217.1"
