"date","evidence_unit","source_layer","target","observed_fact","admissible_use","blocked_use","decision","accepted_crosswalk"
"2026-05-26","parpola2019_recurrence_clause","tmp/parpola_2019_bone_rods.txt lines 104-107","H-940 / H-2147 / H-2148 / H-942 / H-2240 / H-2241 / M-77","Parpola places M-77 in the same recurrence sentence as the H-940/H-2147/H-2148 obverse text and the H-942/H-2240/H-2241 controls.","Prior-work lead requiring source-critical normalization.","Treating the sentence as exact local text identity or a closed companion-row crosswalk.","prior_work_clause_conflict_gated","false"
"2026-05-26","m77_local_row","data/open_prototype/lipi/metadata_filtered.csv row 2604.1","M-77","Local row is +832-390-803-002-861+, a complete five-sign Mohenjo-daro SEAL:S string recorded R/L.","Defines the local string that must be reconciled before M-77 can be used in the recurrence claim.","Mapping it to +520-220-415+ or +520-220-X by assertion.","five_sign_local_string_blocks_exact_match","false"
"2026-05-26","m77_mayig_overlap","data/open_prototype/reports/overlap_probe.csv row M-77; data/open_prototype/mayig/records_index.csv","M-77A","Mayig records M-77A as unicorn IV seal with five graphemes P366 P086 P364 P122 P385 and count_match true against local M-77.","Independent count/sequence pressure that M-77 is a five-grapheme seal text in the current overlap layer.","Using Mayig labels as a direct Parpola/local crosswalk without sign-list proof.","five_grapheme_overlap_confirms_mismatch_shape","false"
"2026-05-26","m77_source_page","CISI India IA leaf n68 / printed p. 33","M-77 A/a","The page labels M-77 A and M-77 a under Mohenjo-daro seals 75-79; both inscription zones are visible.","Admit M-77 as source-visible object evidence for a five-sign seal control.","Claiming exact Parpola sign-number identity from the photo alone.","source_visible_object_control","false"
"2026-05-26","m77_source_page_hash","tmp/m77_parpola_recurrence_gate/cisi_india_n68_w1200.jpg","M-77 source page","Stored page is 2398x3427 with SHA256 EB7A4356C5D76844301D4B1A672D76AF675D4CDBE23BA57594AD75C6E01BA027.","Locks the source page used for the gate.","Using the wrong n33 download or unstored visual memory as evidence.","source_page_locked","false"
"2026-05-26","m77_crop_hashes","tmp/m77_parpola_recurrence_gate/derived/*.png","M-77 crops","Face A panel 790x560 SHA256 9BE8D6598EA08B41EFA2B97629BD080AC441D681CC9D84D2DF43DB3A836C4442; face A signband 720x230 SHA256 308A212503B508CBB505507822FAE8E63BB2FF8DA547903D2962AE7C6F317CC2; impression a panel 820x650 SHA256 68EF996CF428C79EEFF46B7210FE679BB0D3D3D73BDE8800ECCFAE4B3718BE20; impression a signband 760x260 SHA256 E3ABB4E00CD3EA34AF1477F4903B7D5596DD47361E05A0C767FFD0450C5D0AA9.","Locks the crop evidence used to call the string source-visible and five-sign-like.","Using filename-collided early A/a crops as final evidence.","crop_manifest_locked_collision_safe","false"
"2026-05-26","local_control_matrix","data/open_prototype/lipi/metadata_filtered.csv; tmp/lipi_current_inscriptions_20260526.csv","H-2148 / H-940 / H-2147 / H-942 / H-2240 / H-2241 / M-77","H-2148 and H-940 have +520-220-415+ plus +110+; H-2147 is fragmentary ]110+ / ]220-415+; H-942 has +520-220-016+; H-2240 has +520-220-415+; H-2241 has ]415-240+; M-77 has +832-390-803-002-861+.","Shows the exact local conflict introduced by M-77.","Counting M-77 as another +520-220-415+ or +520-220-X control.","matrix_conflict_defined","false"
"2026-05-26","h2148_branch_impact","combined prior H-2148 gates plus M-77 conflict","H-2148","M-77 does not affect the reverse sign-no.-41 same-role chain directly, but it weakens the companion/obverse recurrence support from the same Parpola sentence.","Keep H-2148 same-side identity pending and separate it from the M-77 companion-text conflict.","Using M-77 either to prove or disprove local 110 equals Parpola sign no. 41.","h2148_same_role_preserved_companion_support_quarantined","false"
"2026-05-26","h2240_h2241_acquisition_unchanged","prior H-942/H-2240/H-2241 source-normalization gate","H-2240 / H-2241","H-2240 and H-2241 remain source-dark in the checked public layer; the Fuls/Harappa request [redacted-msgid] remains the active acquisition path.","Continue acquisition rather than source-free comparison.","Treating source-dark H-2240/H-2241 local rows as source-normalized recurrence evidence.","acquisition_still_required","false"
"2026-05-26","m77_crosswalk_blocker","combined local, Mayig, and CISI source layers","M-77 vs H-obverse recurrence","No source transcription currently bridges M-77 local 832/390/803/002/861 or Mayig P366/P086/P364/P122/P385 to Parpola text no. 7 or the local H companion row.","Marks the exact next missing bridge: source transcription/sign-number convention.","Accepting any token mapping, sign value, or formula identity from surface recurrence prose.","sign_system_bridge_missing","false"
"2026-05-26","gate_decision","combined evidence state","Parpola obverse recurrence claim","M-77 is source-visible and five-sign, but not a local +520-220-X recurrence; Parpola's obverse recurrence sentence is now conflict-gated.","Use M-77 as adversarial source-normalization evidence and acquire sign-number/source transcription bridges.","Closed recurrence support, 415=016, local-token mapping, sign value, phonetic value, or translation.","obverse_recurrence_quarantined_by_m77","false"
