scope,tail_full,rows,terminal,sites,types,symbols,prefix_last2,examples
after_032_strict_raw,<END>,8,true,Mohenjo-daro:4;Harappa:3;Chanhu-daro:1,SEAL:S:8,Bull1:W:4;Bull1:J:2;Bull1:1;Bull:1,220 032:4;070 032:2;176 032:1;692 032:1,C-60 +740-176-032-002-861+;H-444 +241-220-032-002-861+;H-597 +740-390-590-070-032-002-861+;H-597 +740-390-590-070-032-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-21 +350-001-740-362-692-032-002-861+;M-723 +740-460-510-235-220-032-002-861+;M-1044 +520-220-032-002-861+
after_032_strict_raw,255 416,1,false,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,220 032:1,M-91 +740-100-798-220-032-002-861-255-416+
after_032_strict_raw,603,1,false,Mohenjo-daro:1,SEAL:S:1,Gaur:1,220 032:1,M-240 +520-240-220-032-002-861-603+
all_002_strict_raw,<END>,106,true,Mohenjo-daro:63;Harappa:26;Dholavira:6;Lothal:4;Kalibangan:3;Chanhu-daro:2;Bakkar Buthi:1;Unknown:1,SEAL:S:72;TAB:B:17;SEAL:R:9;POT:T:g:2;TAG:L:2;TAG:2;SEAL:2,None:23;Bull1:W:22;Bull1:J:10;Bull1:S:10;Bull1:7;Elep:5;Gaur:4;Bull1:L:4;Phyt:3;-:3;Bull1:I:2;Bull1:II:2;Zebu:2;Bull1:V:2;Tigr:1;Bult:1;Gavi:1;Buff:1;Scene:1;Bull:1;Bull:i:J:1,482 240:7;220 032:4;390 590:3;390 003:3;740 176:3;390 016:2;220 003:2;407 004:2,- +405-844-032-840-002-861+;C-60 +740-176-032-002-861+;C-74 +125-002-861+;- +740-416-002-861+;- +390-016-002-861+;Dlv-1 +151-382-031-002-861+;H-1051 +400-740-575-017-920-320-798-002-861+;H-1030 +090-740-103-002-861+;H-1043 +151-760-220-003-002-861+;H-1942 +405-035-002-861+
all_002_strict_raw,416,6,false,Harappa:6,TAB:I:6,None:6,<START>:6,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+
all_002_strict_raw,603,3,false,Mohenjo-daro:3,SEAL:S:2;SEAL:R:1,Gaur:1;Bull1:W:1;None:1,220 032:1;798 803:1;740 055:1,M-240 +520-240-220-032-002-861-603+;M-714 +740-585-017-033-705-233-798-803-002-861-603+;M-1273 +740-055-002-861-603+
all_002_strict_raw,533 717,2,false,Mohenjo-daro:2,SEAL:R:2,None:2,100 176:1;233 805:1,M-376 +740-100-176-002-861-533-717+;M-391 +405-845-686-740-793-003-233-805-002-861-533-717+
all_002_strict_raw,698,2,false,Mohenjo-daro:2,SEAL:S:2,None:2,<START>:2,M-329 +002-861-698+;M-330 +002-861-698+
all_002_strict_raw,031,1,false,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,773 240:1,M-706 +740-773-240-002-861-031+
all_002_strict_raw,032 520 919 140,1,false,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,070 219:1,M-1661 +520-070-219-002-861-032-520-919-140+
all_002_strict_raw,036 460 513,1,false,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,390 005:1,M-20 +390-005-002-861-036-460-513+
all_002_strict_raw,096,1,false,Mohenjo-daro:1,ROD:1,None:1,<START>:1,M-2089 +002-861-096+
all_002_strict_raw,125,1,false,Harappa:1,SEAL:S:1,Bull1:X:1,390 004:1,H-55 +390-004-002-861-125+
all_002_strict_raw,216,1,false,Harappa:1,SEAL:S:1,Bull1:J:1,585 798:1,H-446 +740-585-798-002-861-216+
all_002_strict_raw,244 165,1,false,Harappa:1,SEAL:R:1,None:1,220 031:1,H-129 +409-061-740-235-220-031-002-861-244-165+
all_002_strict_raw,255 416,1,false,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,220 032:1,M-91 +740-100-798-220-032-002-861-255-416+
all_002_strict_raw,360 520 919 140,1,false,Mohenjo-daro:1,SEAL:R:1,None:1,231 235:1,M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+
all_002_strict_raw,392,1,false,Lothal:1,SEAL:S:1,Gaur:1,740 176:1,L-46 +527-388-233-740-176-002-861-392+
all_002_strict_raw,626,1,false,Lothal:1,SEAL:S:1,Bull1:1,520 315:1,L-39 +520-315-002-861-626+
all_002_strict_raw,683,1,false,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,222 231:1,M-1674 +090-740-222-231-002-861-683+
all_002_strict_raw,791 440 717,1,false,Kalibangan:1,SEAL:S:1,Elep:1,760 031:1,K-40 +760-031-002-861-791-440-717+
all_002_strict_raw,803,1,false,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,033 705:1,M-1698 +740-482-033-705-002-861-803+
all_002_strict_raw,831 165,1,false,Harappa:1,SEAL:1,None:1,520 233:1,H-688 +520-233-002-861-831-165+
all_002_strict_raw,832,1,false,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,740 798:1,M-1681 +520-072-233-740-798-002-861-832+
all_002_strict_raw,901,1,false,Mohenjo-daro:1,SEAL:S:1,Bull1:L:1,231 242:1,M-677 +740-923-070-032-033-706-231-242-002-861-901+
