"date","evidence_unit","source_layer","target","observed_fact","admissible_use","blocked_use","decision","accepted_crosswalk"
"2026-05-26","parpola2019_recurrence_statement","tmp/parpola_2019_bone_rods.txt lines 102-106","H-942 / H-2240 / H-2241","Parpola says the obverse text of H-940/H-2147/H-2148 occurs also on H-942, H-2240, and H-2241.","Prior-work acquisition and source-normalization pressure for the companion-text family.","Closed local sign crosswalk, value, or translation.","prior_work_control_set_preserved","false"
"2026-05-26","local_row_matrix","tmp/lipi_current_inscriptions_20260526.csv","H-2148 / H-940 / H-942 / H-2240 / H-2241","H-2148 and H-940 have +520-220-415+ companions; H-942 has +520-220-016+; H-2240 has +520-220-415+; H-2241 has ]415-240+.","Defines the exact local stress: H-942 differs at the terminal while H-2240 is exact and H-2241 fragmentary.","Treating recurrence as exact identity across all three controls.","local_stress_matrix_defined","false"
"2026-05-26","h942_source_panels","CISI Pakistan IA leaf n374 / printed p. 340; stored H-942 crops","H-942","Labeled H-942 A and H-942 B panels are source-visible; A is the longer side and B the shorter side.","Admit H-942 as source-visible full-signband stress/control for +520-220-X.","Terminal-isolated 016 proof or final-sign crosswalk.","source_visible_full_signband_control","false"
"2026-05-26","h942_hash_dimensions","tmp/m1206_singleton_controls/derived/h942/*.png","H-942 crops","A panel 660x440 SHA256 EF163DD3223EAFD0CAD47D5AEED8B660F197DCD247CFDF6EA037D14B7792EF01; A signband 520x190 SHA256 1A093A16F8E1D641736896512AB2F193C0E63B58205C6D48F3D21D52B8C37543; B panel 610x440 SHA256 D4867DDA67CCD4F5604B8C1055658DBAE07508A15F67B0B3FBF82CDF3192FE78; B signband 440x180 SHA256 732989B7EC1C739B78E3BE847B90FB1EDF65BEF787F7E0C46B125EDF4F41B7F5.","Locks the evidence object used for H-942 source status.","Using undocumented crops or unstored visual memory as evidence.","crop_manifest_locked","false"
"2026-05-26","h942_side_mapping_caution","visual/sign-count inference only","H-942 A/B","H-942 A likely maps to local 1822.1 +520-220-016+ because it is the longer three-sign side; H-942 B likely maps to 1822.2 +033-700+ because it is shorter.","Object-level side inference with caution.","Global rule that local .1 equals source A or that all A/B labels map to local row order.","object_level_side_inference_only","false"
"2026-05-26","h942_terminal_rejection","prior source-normalized component packet plus current visual check","H-942 A","Earlier blind packet already treated H-942 A as a different evidence kind: full signband, not terminal-comparable.","Use H-942 as negative/control signband pressure.","Using H-942 as isolated 016 terminal evidence against 415 without a separate terminal recut gate.","terminal_evidence_rejected_for_now","false"
"2026-05-26","h2240_local_control","tmp/lipi_current_inscriptions_20260526.csv lines 1130-1131","H-2240 / H96-3177Figure 20.03","Local rows are 816.1 +520-220-415+ and 816.2 +869-575+, complete/good TAB:I steatite rectangular/squarish.","Admit as exact local recurrence and high-priority source acquisition target.","Source-visible evidence, side identity, or sign-value evidence.","exact_local_recurrence_source_dark","false"
"2026-05-26","h2240_public_route_status","local rg plus fresh exact public web searches on 2026-05-26","H-2240 / H96-3177","No usable public object panel or source transcription was found in the checked layer.","Keep in acquisition lane and do not visually compare.","Treating local metadata as raw source panel evidence.","source_dark_in_checked_layer","false"
"2026-05-26","h2241_local_fragment","tmp/lipi_current_inscriptions_20260526.csv lines 849-850","H-2241 / H95-2425Figure 29.08","Local rows are 639.1 ]415-240+ and 639.2 ]000+, fragment/poor TAB:I steatite rectangular.","Admit as fragmentary local pressure and acquisition target.","Full-text recurrence or source-visible evidence.","fragmentary_local_pressure_source_dark","false"
"2026-05-26","h2241_public_route_status","local rg plus fresh exact public web searches on 2026-05-26","H-2241 / H95-2425","No usable public object panel or source transcription was found in the checked layer.","Keep in acquisition lane and do not visually compare.","Treating fragmentary local metadata as source-normalized evidence.","source_dark_in_checked_layer","false"
"2026-05-26","h2240_h2241_source_request","Gmail sent message [redacted-msgid] in thread [redacted-msgid]","H-2240 / H-2241","A targeted request was sent to Andreas Fuls, cc Harappa, asking for H-2240/H-2241 all-side panels, side labels/order, source transcription, recurrence exactness, and H-2241 fragment usability.","Creates the correct acquisition path for the source-dark controls.","Treating the sent request as source evidence before a reply or source material arrives.","acquisition_request_sent","false"
"2026-05-26","gate_decision","combined prior-work/local/source-visibility state","415 / 016 / H-2148 companion row","The branch separates into source-visible H-942 stress/control, source-dark exact H-2240 acquisition target, and source-dark fragmentary H-2241 acquisition target.","Use this as a linguistic source-normalization gate before any sign-inventory decision.","Accepting 415=016, accepting a Parpola final-sign mapping, or translating the row.","source_normalization_pending","false"
