"checked_date","cisi","lipi_id","mayig_side_id","lipi_sign","mayig_sign","position_class","position_1based","lipi_context","mayig_context","lipi_text","mayig_graphemes","comparison_status","evidence_status","pressure_interpretation","accepted_decipherment_claim"
"2026-05-25","M-3","2532.1","M-3A","032","P145","medial","2","717 <032> 521","P320 <P145> P094","+717-032-521+","P320 P145 P094","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-21","2549.1","M-21A","032","P145","medial","6","692 <032> 002","P256 <P145> P122","+350-001-740-362-692-032-002-861+","P091 P121 P324 P272 P256 P145 P122 P385","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-33","2561.1","M-33A","032","P145","medial","2","740 <032> 923","P324 <P145> P175","+740-032-923-382-233-002-112+","P324 P145 P175 P111 P058 P122 P041","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-36","2564.1","M-36A","032","P145","medial","5","220 <032> 002","P050 <P145> P122","+740-794-630-220-032-002-368-906-329+","P324 P358 P270 P050 P145 P122 P202 P174 P307","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-38","2566.1","M-38A","032","P145","medial","6","220 <032> 240","P050 <P145> P062","+740-690-435-255-220-032-240-235-002-390-125-632-032+","P324 P256 P188 P073 P050 P145 P062 P060 P122 P086 P035 P270 P145","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-38","2566.1","M-38A","032","P145","terminal","13","632 <032> </s>","P270 <P145> </s>","+740-690-435-255-220-032-240-235-002-390-125-632-032+","P324 P256 P188 P073 P050 P145 P062 P060 P122 P086 P035 P270 P145","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-52","2580.1","M-52A","032","P145","medial","3","904 <032> 220","P172 <P145> P050","+740-904-032-220-415-235-803-002-504-717+","P324 P172 P145 P050 P092 P060 P364 P122 P211 P320","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-56","2584.1","M-56A","032","P145","medial","3","877 <032> 235","P382 <P145> P060","+740-877-032-235-060-550-611-840+","P324 P382 P145 P060 P120 P230 P281 P349","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-57","2585.1","M-57A","032","P145","medial","2","226 <032> 231","P051 <P145> P056","+226-032-231-798-002-693+","P051 P145 P056 P230 P122 P258","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-70","2598.1","M-70A","032","P145","medial","2","226 <032> 002","P051 <P145> P122","+226-032-002-390-692+","P051 P145 P122 P086 P256","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-78","2605.1","M-78A","032","P145","medial","3","344 <032> 545","P043 <P145> P226","+740-344-032-545+","P324 P043 P145 P226","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-89","2616.1","M-89A","032","P145","medial","4","734 <032> 235","P313 <P145> P060","+740-794-734-032-235+","P324 P358 P313 P145 P060","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-91","2618.1","M-91A","032","P145","medial","5","220 <032> 002","P050 <P145> P122","+740-100-798-220-032-002-861-255-416+","P324 P009 P230 P050 P145 P122 P385 P073 P095","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-113","2640.1","M-113A","032","P145","medial","2","740 <032> 840","P324 <P145> P349","+740-032-840-741-060-920+","P324 P145 P349 P325 P120 P156","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-119","2646.1","M-119A","032","P145","medial","8","632 <032> 900","P270 <P145> P154","+151-337-484-002-390-125-632-032-900-563+","P001 P309 P195 P122 P086 P035 P270 P145 P154 P230","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-124","2651.1","M-124A","032","P145","terminal","4","220 <032> </s>","P050 <P145> </s>","+740-923-220-032+","P324 P175 P050 P145","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-130","2657.1","M-130A","032","P145","medial","4","220 <032> 002","P050 <P145> P122","+740-094-220-032-002-144+","P324 P003 P050 P145 P122 P032","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-134","2661.1","M-134A","032","P145","medial","2","872 <032> 692","P390 <P145> P256","+872-032-692+","P390 P145 P256","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-143","2670.1","M-143A","032","P122","medial","3","205 <032> 002","P082 <P122> P145","+740-205-032-002-252-840+","P324 P082 P122 P145 P170 P349","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-170","2695.1","M-170A","032","P145","medial","6","070 <032> 741","P114 <P145> P325","+740-923-406-061-070-032-741-861+","P324 P175 P086 P204 P114 P145 P325 P385","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-174","2699.1","M-174A","032","P145","medial","4","220 <032> 002","P050 <P145> P122","+740-923-220-032-002-820+","P324 P175 P050 P145 P122 P378","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-44","2572.1","M-44A","033","P147","medial","3","760 <033> 705","P332 <P147> P316","+740-760-033-705-803-002-920-317+","P324 P332 P147 P316 P364 P122 P154 P296","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-54","2582.1","M-54A","033","P147","medial","3","240 <033> 705","P062 <P147> P316","+236-240-033-705-798-002-820+","P051 P062 P147 P316 P230 P122 P378","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-64","2592.1","M-64A","033","P147","medial","2","520 <033> 706","P217 <P147> P316","+520-033-706-060-220-004+","P217 P147 P316 P120 P050 P124","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-86","2613.1","M-86A","033","P147","medial","2","520 <033> 705","P217 <P147> P316","+520-033-705-231-002-820-700+","P217 P147 P316 P056 P122 P378 P310","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-117","2644.1","M-117A","033","P147","medial","2","520 <033> 705","P217 <P147> P316","+520-033-705-220-803-055-002-820+","P217 P147 P316 P050 P364 P142 P122 P378","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-118","2645.1","M-118A","033","P147","medial","3","772 <033> 705","P096 <P147> P316","+740-772-033-705-233-803-002-861+","P324 P096 P147 P316 P058 P364 P122 P385","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-122","2649.1","M-122A","033","P147","medial","2","520 <033> 705","P217 <P147> P316","+520-033-705+","P217 P147 P316","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-135","2662.1","M-135A","033","P147","medial","2","520 <033> 705","P217 <P147> P316","+520-033-705-031+","P217 P147 P316 P144","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-139","2666.1","M-139A","033","P147","initial","1","<s> <033> 832","<s> <P147> P368","+033-832-236-741-361+","P147 P368 P061 P325 P294","sign_system_unmapped","provisional_position_alignment_only","FRAME700-family positional alignment for crosswalk differentiation pressure","0"
"2026-05-25","M-102","2629.1","M-102A","154","P004","initial","1","<s> <154> 003","<s> <P004> P123","+154-003-900-545+","P004 P123 P154 P226","sign_system_unmapped","provisional_position_alignment_only","15x target positional alignment for allograph/crosswalk-collapse pressure","0"
"2026-05-25","M-80","2607.1","M-80A","156","P004","initial","1","<s> <156> 003","<s> <P004> P123","+156-003-060-368-817+","P004 P123 P120 P202 P385","sign_system_unmapped","provisional_position_alignment_only","15x target positional alignment for allograph/crosswalk-collapse pressure","0"
"2026-05-25","M-93","2620.1","M-93A","156","P004","initial","1","<s> <156> 003","<s> <P004> P123","+156-003-240-741-345+","P004 P123 P062 P325 P043","sign_system_unmapped","provisional_position_alignment_only","15x target positional alignment for allograph/crosswalk-collapse pressure","0"
"2026-05-25","M-96","2623.1","M-96A","156","P004","initial","1","<s> <156> 004","<s> <P004> P124","+156-004+","P004 P124","sign_system_unmapped","provisional_position_alignment_only","15x target positional alignment for allograph/crosswalk-collapse pressure","0"
"2026-05-25","M-97","2624.1","M-97A","156","P004","initial","1","<s> <156> 435","<s> <P004> P188","+156-435-255+","P004 P188 P073","sign_system_unmapped","provisional_position_alignment_only","15x target positional alignment for allograph/crosswalk-collapse pressure","0"
"2026-05-25","M-132","2659.1","M-132A","156","P004","initial","1","<s> <156> 003","<s> <P004> P123","+156-003-545+","P004 P123 P226","sign_system_unmapped","provisional_position_alignment_only","15x target positional alignment for allograph/crosswalk-collapse pressure","0"
