date,packet_id,reviewer,blind_id,stage1_visual_token_count,stage1_boxable_yes_no_uncertain,stage1_label_leak_yes_no,stage1_visual_order_note,stage1_uncertainty_notes,stage1_token_boxes_json_optional,stage2_after_unblind_expected_count_match_yes_no_uncertain,stage2_after_unblind_promotable_yes_no,stage2_notes
2026-05-29,directionality_no_overlay_packet_v1,,D001,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D002,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D003,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D004,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D005,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D006,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D007,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D008,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D009,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D010,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D011,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D012,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D013,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D014,,,,,,,,,
2026-05-29,directionality_no_overlay_packet_v1,,D015,,,,,,,,,
