checked_date,template_bet,component,hit_type,hits,outside_full_template_hits,sites,prev,next,implication,examples
2026-05-31,610_head,610-125,motif,2,0,Harappa:1;Mohenjo-daro:1,002:2,032:2,supports_610_selects_125,H-74:+002-610-125-032+ | M-1665:+520-033-705-233-240-002-610-125-032+
2026-05-31,610_head,125-032,motif,3,1,Mohenjo-daro:2;Harappa:1,610:2;420:1,<END>:2;820:1,032_tail_leaks_outside_610_so_tail_is_not_610_specific,H-74:+002-610-125-032+ | M-1665:+520-033-705-233-240-002-610-125-032+ | M-356:+400-595-420-125-032-820-920-140+
2026-05-31,610_head,002-610-125-032,motif,2,0,Harappa:1;Mohenjo-daro:1,<START>:1;240:1,<END>:2,background_pressure,H-74:+002-610-125-032+ | M-1665:+520-033-705-233-240-002-610-125-032+
2026-05-31,610_head,610,sign,2,0,Harappa:1;Mohenjo-daro:1,002:2,125:2,supports_610_as_rare_governed_title_head,H-74:+002-610-125-032+ | M-1665:+520-033-705-233-240-002-610-125-032+
2026-05-31,610_head,125,sign,56,54,Mohenjo-daro:28;Harappa:13;Dholavira:4;Allahdino:1;Bala-kot:1;Chanhu-daro:1;Ganweriwala:1;Gola Dhoro (Bagasra):1,390:9;<START>:4;350:4;000:3;590:3;002:2;090:2;190:2,<END>:15;632:4;032:3;000:2;001:2;002:2;176:2;413:2,component_background,Ad-2:+368-390-125-033+ | Blk-1:+226-003-002-297-350-125-413+ | C-74:+125-002-861+ | H-246:+125-700-033+ | H-1178:+700-125+ | H-1710:+090-326-700-920-125-001-055-920-140+ | H-10:+820-302-596-018-125-381+ | H-11:+000-125-204+ | H-50:+740-406-590-741-406-125+ | H-52:+740-390-590-125-741-000-000+ | H-55:+390-004-002-861-125+ | H-74:+002-610-125-032+
2026-05-31,610_head,032,sign,360,358,Mohenjo-daro:159;Harappa:122;Chanhu-daro:20;Lothal:17;Dholavira:15;Kalibangan:8;Nausharo:4;Unknown:4,220:66;740:45;<START>:31;000:17;590:17;226:14;877:10;031:7,<END>:88;002:47;840:31;000:23;031:10;060:9;741:9;820:9,component_background,-:18.1:+405-844-032-840-002-861+ | C-65:+000-100-240-220-032-002-861+ | C-54:+842-032-031-592-031-060-920+ | C-60:+740-176-032-002-861+ | C-70:+032-031/151-740-240-235+ | C-58:+032-031/740-222-235-002-861+ | C-76:+032-031/850-032-530-740-741-456+ | C-76:+032-031/850-032-530-740-741-456+ | C-68:+032-031/740-791-713+ | C-57:+740-032-840-002-296-530-000+ | C-77:+151-690/032-031+ | C-10:+740-231-220-032-002-817+
2026-05-31,297_350_pair,297-350,motif,2,0,Bala-kot:1;Nausharo:1,002:2,125:2,supports_297_350_pair_specificity,Blk-1:+226-003-002-297-350-125-413+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,297_350_pair,350-125,motif,4,2,Bala-kot:1;Dholavira:1;Ganweriwala:1;Nausharo:1,297:2;000:1;299:1,413:2;176:1;812:1,kills_350_125_as_independent_unit,Blk-1:+226-003-002-297-350-125-413+ | -:3769.1:+740-400-061-299-350-125-176+ | -:4218.1:]000-350-125-812-033+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,297_350_pair,125-413,motif,2,0,Bala-kot:1;Nausharo:1,350:2,<END>:2,supports_413_as_exact_template_tail,Blk-1:+226-003-002-297-350-125-413+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,297_350_pair,002-297-350-125-413,motif,2,0,Bala-kot:1;Nausharo:1,003:1;798:1,<END>:2,background_pressure,Blk-1:+226-003-002-297-350-125-413+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
