"companion","type","order","context_class","side_relation","longer_side_texts","rows","sample_cisi","interpretation"
"034","TAB:I","700_first","all_short_or_no_longer_text","no_longer_text","","28","H-307;H-946;H-947;H-952;H-2102;H-2130;H-2155;H-2218;H-2219;H-2220;H-2221;H-2222","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-176+","15","H-309;H-316;H-353;H-355;H-357;H-935;H-978;H-1302;H-1303;H-1304;H-1344;H-1345","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_short_no_longer_text","no_longer_text","","11","H-768;H-802;H-837;H-877;H-969;H-1134;H-1153;H-1156;H-1804;H-1836;H-1865","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_short_no_longer_text","no_longer_text","","9","H-239;H-703;H-783;H-798;H-827;H-848;H-1768;H-1947;H-1993","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_short_no_longer_text","no_longer_text","","9","H-891;H-914;H-961;H-986;H-1188;H-1270;H-1295;H-1348;H-2215","companion_context_family_only_no_reading"
"034","TAB:B","700_first","all_short_or_no_longer_text","no_longer_text","","9","H-215;H-819;H-1828;H-1829;H-1830;H-1831;H-1860;H-1870;H-1907","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_short_no_longer_text","no_longer_text","","8","H-327;H-340;H-361;H-926;H-963;H-1281;H-1313;H-2129","companion_context_family_only_no_reading"
"033","TAB:I","700_first","all_short_or_no_longer_text","no_longer_text","","8","H-329;H-927;H-928;H-929;H-949;H-976;H-2131;H-2238","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-176+","7","H-308;H-312;H-313;H-314;H-317;H-936;H-1273","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_short_no_longer_text","no_longer_text","","6","H-785;H-788;H-1120;H-1874;H-1981;H-1982","companion_context_family_only_no_reading"
"033","TAB:B","700_last","all_short_or_no_longer_text","no_longer_text","","5","H-249;H-812;H-1858;H-1859;H-1912","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_short_no_longer_text","no_longer_text","","4","H-285;H-320;H-953;H-2105","companion_context_family_only_no_reading"
"032","TAB:B","700_first","all_short_or_no_longer_text","no_longer_text","","3","H-717;H-766;H-796","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-031-001-140+","3","H-1771;H-1772;H-1773","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_short_no_longer_text","no_longer_text","","3","H-779;H-813;H-1932","companion_context_family_only_no_reading"
"032","TAB:I","700_first","all_short_or_no_longer_text","no_longer_text","","3","H-1319;H-1320;H-1330","companion_context_family_only_no_reading"
"033","TAB:B","700_first","all_short_or_no_longer_text","no_longer_text","","3","H-1861;H-1905;H-1908","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-840-013+","3","H-326;H-924;H-925","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-740-176+","3","H-356;H-934;H-979","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+002-861-416+","3","H-2094;H-2095;H-2096","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-904-240-002-817+","2","H-697;H-1100","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_longer_text","short_after_all_longer","1:+400-740-892-617+","2","H-849;H-850","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-158-592+","2","H-943;H-944","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-176+","2","H-315;H-962","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-690-636-240+","2","H-965;H-966","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-390-590-240+","2","H-733;H-734","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-642-240-001-692+","2","H-821;H-822","companion_context_family_only_no_reading"
