checked_date,route_type,source,url,contact_or_identifier,status,stored_evidence,admissible_use,non_admissible_use,accepted_decipherment_claim
2026-05-25,bibliographic_route,Harappa CISI 3.1 page,https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31,OCLC 718357051,accessible,"Harappa identifies CISI 3.1 as the Mohenjo-daro and Harappa supplement, edited by Parpola, Pande, and Koskikallio in collaboration with Meadow and Kenoyer, with photographs, line drawings, and tablets.",Bibliographic identity and acquisition target for Harappa/Mohenjo-daro plates.,Object-level validation or any reading from the page alone.,0
2026-05-25,bibliographic_route,University of Helsinki research portal,https://researchportal.helsinki.fi/en/publications/corpus-of-indus-seals-and-inscriptions-volume-3-new-material-untr/,ISBN 978-951-41-1040-5,accessible,"University of Helsinki record gives peer-reviewed book identity, 2010 publication, 504 pages, series no. 359, and ISBN 978-951-41-1040-5.",Citation control and library/purchase request identity.,Object-level validation or sign reading.,0
2026-05-25,contents_route,Language Book Notices CISI review,https://journals.linguisticsociety.org/booknotices/?p=1785,ISBN 9789514110405,accessible,"Review says inscriptions are reproduced double-sized, sketches are included where photos are unavailable, and end matter includes basic object data such as owner/museum, excavation number, and photograph source.",Evidence that the volume can supply the source fields required for the H-series request.,Treating review text as plate inspection or source validation.,0
2026-05-25,contents_and_distributor_route,Finnish Academy CISI publication page,https://acadsci.fi/en/publications/the-corpus-of-indus-seals-and-inscriptions-3-2-humaniora-383-has-been-published/,Tiedekirja distributor route,accessible,"Finnish Academy page reports CISI 3.1 has 3761 b/w photographs, 125 colour photographs, 154 line drawings, and 2 tables, and lists Tiedekirja as distributor for available CISI volumes.",Supports purchase/distributor route and confirms image-rich source target.,Assuming target H-series plates have been inspected.,0
2026-05-25,library_holdings_route,Finna record,https://www.finna.fi/Record/luc.992964283806246?lng=en-gb,978-951-41-1040-5; 9 Finnish libraries,accessible,"Finna record gives physical description, publisher/distributor, ISBN, and material provided by 9 Finnish libraries.",Library/interlibrary-loan route and bibliographic confirmation.,Source validation without the physical/digital volume.,0
2026-05-25,bookseller_contact_route,Bookstore Tiedekirja homepage,https://tiedekirja.fi/en/,[tiedekirja-bookseller-email],accessible,"Tiedekirja homepage lists contact email [tiedekirja-bookseller-email], phone, Helsinki address, and describes the store as distributor of learned-society books and journals.","Direct inquiry route for availability, shipping to the United States, and legal access options.",Evidence that the volume has been acquired or inspected.,0
2026-05-25,bookseller_terms_route,Tiedekirja terms and conditions,https://tiedekirja.fi/en/tietoa-meista/tiedekirjan-tilaus-ja-toimitusehdot,[tiedekirja-bookseller-email] / +358 (9) 635 177,accessible,Terms page repeats Tiedekirja contact details and ordering/cancellation context.,Supports direct availability/shipping inquiry.,Any source-content claim.,0
2026-05-25,commercial_purchase_route,AbeBooks listing,https://www.abebooks.com/9789514110405/Corpus-Indus-Seals-Inscriptions-3.1-9514110404/plp,ISBN 9789514110405,accessible,"AbeBooks listing showed new copies, one at US$167.19 plus US shipping from a UK seller, and another listing from Ruslania.",Fallback purchase route if publisher/distributor route is unavailable.,Claim that purchased/accessed source images are already in hand.,0
2026-05-25,commercial_purchase_route,Adlibris listing,https://www.adlibris.com/sv/bok/corpus-of-indus-seals-and-inscriptions-31-new-material-untraced-objects-and-collections-outside-india-and-pakistan-9789514110405,ISBN 9789514110405,accessible,Adlibris listing provides product details for CISI 3.1 with ISBN and publisher metadata.,Fallback purchase/availability route.,Object-level validation or sign reading.,0
2026-05-25,gmail_sent_acquisition_request,Tiedekirja availability inquiry,gmail:[redacted-msgid],[tiedekirja-bookseller-email],sent,"Gmail sent request asks whether CISI 3.1 is available for purchase, whether it ships to the United States, what total cost/shipping options are, whether another distributor/library/Finnish Academy route is recommended, and whether legal digital access exists.",Concrete acquisition action for CISI 3.1 source access.,"Treating sent request as access, source validation, or permission.",0
2026-05-25,bookseller_reply_route,Tiedekirja availability reply,gmail:[redacted-msgid],Ari Juntunen / [tiedekirja-bookseller-email],available_for_purchase_no_digital,"Tiedekirja confirms CISI 3.1 is available as hardbound; EUR 70 plus EUR 48.25 UPS shipping to USA, total EUR 118.25; Visa/MC accepted through invoice link/password; no digital form available.",Concrete purchase route and no-digital-access status.,Evidence that the volume has been acquired or inspected.,0
2026-05-25,invoice_request_sent,Tiedekirja invoice/payment-link request,gmail:[redacted-msgid],[tiedekirja-bookseller-email],sent_invoice_request_no_payment_made,Reply sent asking Tiedekirja to create the invoice and payment link/password for the EUR 118.25 hardbound+UPS route.,Acquisition action log.,"Source validation, source mapping, or proof of receipt.",0
2026-05-25,secondary_range_route,Google Groups repost of S. Kalyanaraman 2010 CISI 3.1 review,https://groups.google.com/g/rec.arts.books/c/7A-x1qmOydU,m1660-m2132; h1020-h2590,accessible_secondary,"The review says CISI 3.1 contains Mohenjo-daro numbers m1660 to m2132 and Harappa h1020 to h2590, making M-2104 range-supported for this volume. Interpretive claims on the page are rejected.",Range support for CISI 3.1 lookup targets.,Object-level source validation or decipherment claims.,0
2026-05-25,bibliographic_no_ebook_route,Google Books CISI volume 3 record,https://books.google.com/books/about/Corpus_of_Indus_Seals_and_Inscriptions.html?id=EyUpzwEACAAJ,ISBN 9514110404 / 9789514110405,accessible_no_ebook,"Google Books lists no eBook available and confirms ISBN 9514110404 / 9789514110405 for Corpus of Indus Seals and Inscriptions, Volume 3.",Bibliographic and no-eBook corroboration.,Object-level source validation.,0
