"id","cisi","region","site","area_section","period","phase","material","shape","type","sides","condition","complete","dir","class","text_length","text","signs","third_slot","exact_three","longer_after_third","same_cisi_row_count","companion_texts","has_110_companion","has_700_034_companion","has_700_033_companion","has_700_032_companion","has_numeral_companion"
"3995.1","M-1843","Lower Indus","Mohenjo-daro","DK-","-","-","-","square","SEAL:S","1","Fair","Y","R/L","LP","7","+520-220-001-820-220-063-315+","7","001","False","-820-220-063-315+","1","","False","False","False","False","False"
"41.1","B-23","Eastern Headwaters","Banawali","--","-","-","-","-","TAG","1","Poor","?","T/B","UC","3+?","+520-220-002[","3","002","False","[","1","","False","False","False","False","False"
"3509.1","M-1148","Lower Indus","Mohenjo-daro","DKG. (S)","Intermediate","III","Steatite","square","SEAL:S","1","Good","Y","R/L","SP","4","+520-220-002-861+","4","002","False","-861+","1","","False","False","False","False","False"
"2827.1","M-308","Lower Indus","Mohenjo-daro","DKG. (N)","Late","II","Steatite","square","SEAL:S","1","Good","Y","R/L","SP","5","+520-220-002-727-317+","5","002","False","-727-317+","1","","False","False","False","False","False"
"2516.1","M-1672","Lower Indus","Mohenjo-daro","VSA","-","-","Steatite","square","SEAL:S","1","Good","Y","R/L","SP","6","+520-220-003-741-060-920+","6","003","False","-741-060-920+","1","","False","False","False","False","False"
"2441.1","M-1912","Lower Indus","Mohenjo-daro","HRA","-","-","Steatite","square","SEAL:S","1","Fair","Y","R/L","MT","3","+520-220-003+","3","003","True","","1","","False","False","False","False","False"
"2603.1","M-75","Lower Indus","Mohenjo-daro","VSA","-","-","Steatite","square","SEAL:S","1","Good","Y","R/L","SP","5","+520-220-004-002-817+","5","004","False","-002-817+","1","","False","False","False","False","False"
"5277.1","K-150","Inter-Riverine","Kalibangan","KLB-1-","2","-","Steatite","square","SEAL:S","1","Fine","Y","R/L","MT","3","+520-220-006+","3","006","True","","1","","False","False","False","False","False"
"1822.1","H-942","Inter-Riverine","Harappa","AB-","-","Stratum IV","Steatite","rectangular","TAB:I","2","Fair","Y","L/R","MT","3","+520-220-016+","3","016","True","","2","+033-700+","False","False","True","False","False"
"2510.1","M-1884","Lower Indus","Mohenjo-daro","DKA","-","-","Steatite","square","SEAL:S","1","Poor","N","R/L","??","6","+520-220-016-002-416-000+","5","016","False","-002-416-000+","1","","False","False","False","False","False"
"3140.1","M-715","Lower Indus","Mohenjo-daro","DKG. (S)","Early","I","Steatite","square","SEAL:S","1","Poor","N","R/L","??","6+?","+520-220-016-741-556-000[","5","016","False","-741-556-000[","1","","False","False","False","False","False"
"2593.1","M-65","Lower Indus","Mohenjo-daro","DKG. (S)","Intermediate","II","Steatite","square","SEAL:S","1","Good","Y","R/L","MS","6","+520-220-031-001-706-575+","6","031","False","-001-706-575+","1","","False","False","False","False","False"
