"id","cisi","region","site","area_section","period","phase","material","shape","type","sides","dir","class","text_length","text","signs","occurrence_position","at_start","at_end_after_220","before_520","after_220","after2","after_tail","exact_520_220","exact_520_220_x","damaged_or_open"
"277.2","H-1184","Inter-Riverine","Harappa","F-","-","-","Steatite","rectangular","TAB:I","2","R/L","UC","2+?","+520-220[","520-220","0","True","True","","","","","False","False","True"
"282.2","H-1330","Inter-Riverine","Harappa","FTrench I","-","Stratum IV","Steatite","circular","TAB:I","2","R/L","MT","2","+520-220+","520-220","0","True","True","","","","","True","False","False"
"739.1","H-1687","Inter-Riverine","Harappa","FTrench 37","3","B","Steatite","square","SEAL:S","1","R/L","UC","2+?","+520-220[","520-220","0","True","True","","","","","False","False","True"
"1351.1","H-329","Inter-Riverine","Harappa","--","-","-","-","fish","TAB:I","2","R/L","SS","2","+520-220+","520-220","0","True","True","","","","","True","False","False"
"1500.1","H-525","Inter-Riverine","Harappa","FTrench I","-","Stratum V","Steatite","square","SEAL:S","1","R/L","UC","2+?","+520-220[","520-220","0","True","True","","","","","False","False","True"
"2710.1","M-185","Lower Indus","Mohenjo-daro","DK-","-","-","Steatite","square","SEAL:S","1","R/L","MT","2","+520-220+","520-220","0","True","True","","","","","True","False","False"
"3371.1","M-978","Lower Indus","Mohenjo-daro","--","-","-","-","square","SEAL:S","1","R/L","MT","2","+520-220+","520-220","0","True","True","","","","","True","False","False"
"3995.1","M-1843","Lower Indus","Mohenjo-daro","DK-","-","-","-","square","SEAL:S","1","R/L","LP","7","+520-220-001-820-220-063-315+","520-220-001-820-220-063-315","0","True","False","","001","820","001-820-220-063-315","False","False","False"
"41.1","B-23","Eastern Headwaters","Banawali","--","-","-","-","-","TAG","1","T/B","UC","3+?","+520-220-002[","520-220-002","0","True","False","","002","","002","False","False","True"
"3509.1","M-1148","Lower Indus","Mohenjo-daro","DKG. (S)","Intermediate","III","Steatite","square","SEAL:S","1","R/L","SP","4","+520-220-002-861+","520-220-002-861","0","True","False","","002","861","002-861","False","False","False"
"2827.1","M-308","Lower Indus","Mohenjo-daro","DKG. (N)","Late","II","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-002-727-317+","520-220-002-727-317","0","True","False","","002","727","002-727-317","False","False","False"
"2516.1","M-1672","Lower Indus","Mohenjo-daro","VSA","-","-","Steatite","square","SEAL:S","1","R/L","SP","6","+520-220-003-741-060-920+","520-220-003-741-060-920","0","True","False","","003","741","003-741-060-920","False","False","False"
"2441.1","M-1912","Lower Indus","Mohenjo-daro","HRA","-","-","Steatite","square","SEAL:S","1","R/L","MT","3","+520-220-003+","520-220-003","0","True","False","","003","","003","False","True","False"
"2603.1","M-75","Lower Indus","Mohenjo-daro","VSA","-","-","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-004-002-817+","520-220-004-002-817","0","True","False","","004","002","004-002-817","False","False","False"
"5277.1","K-150","Inter-Riverine","Kalibangan","KLB-1-","2","-","Steatite","square","SEAL:S","1","R/L","MT","3","+520-220-006+","520-220-006","0","True","False","","006","","006","False","True","False"
"1822.1","H-942","Inter-Riverine","Harappa","AB-","-","Stratum IV","Steatite","rectangular","TAB:I","2","L/R","MT","3","+520-220-016+","520-220-016","0","True","False","","016","","016","False","True","False"
"2510.1","M-1884","Lower Indus","Mohenjo-daro","DKA","-","-","Steatite","square","SEAL:S","1","R/L","??","6","+520-220-016-002-416-000+","520-220-016-002-416-000","0","True","False","","016","002","016-002-416-000","False","False","False"
"3140.1","M-715","Lower Indus","Mohenjo-daro","DKG. (S)","Early","I","Steatite","square","SEAL:S","1","R/L","??","6+?","+520-220-016-741-556-000[","520-220-016-741-556-000","0","True","False","","016","741","016-741-556-000","False","False","True"
"2593.1","M-65","Lower Indus","Mohenjo-daro","DKG. (S)","Intermediate","II","Steatite","square","SEAL:S","1","R/L","MS","6","+520-220-031-001-706-575+","520-220-031-001-706-575","0","True","False","","031","001","031-001-706-575","False","False","False"
"3421.1","M-1044","Lower Indus","Mohenjo-daro","HRB","-","-","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-032-002-861+","520-220-032-002-861","0","True","False","","032","002","032-002-861","False","False","False"
"3556.1","M-1206","Lower Indus","Mohenjo-daro","DKG. (S)","Late","III","Steatite","square","SEAL:S","2","R/L","MT","3","+520-220-034+","520-220-034","0","True","False","","034","","034","False","True","False"
"3464.1","M-1090","Lower Indus","Mohenjo-daro","DKG","Early","I","Steatite","square","SEAL:S","1","R/L","??","6","+520-220-235-000-130-741+","520-220-235-000-130-741","0","True","False","","235","000","235-000-130-741","False","False","False"
"1258.1","H-231","Inter-Riverine","Harappa","FTrench VI","-","Stratum III","Faience","elliptical","TAB:B","2","R/L","SP","5","+520-220-240-002-820+","520-220-240-002-820","0","True","False","","240","002","240-002-820","False","False","False"
"199.1","H-423","Inter-Riverine","Harappa","--","-","-","Steatite","square","SEAL:S","1","R/L","LP","6","+520-220-240-798-060-692+","520-220-240-798-060-692","0","True","False","","240","798","240-798-060-692","False","False","False"
