"cluster_id","cisi","third_slot","cluster_text","companion_id","site","type","branch","companion_text"
"4069.1","H-1284","415","+520-220-415+","4069.2","Harappa","TAB:I","700-034","+700-034+"
"517.1","H-1722","415","+520-220-415-000[","517.2","Harappa","TAG","other","]000-220["
"485.2","H-1953","415","+520-220-415-240-803+","485.1","Harappa","TAB:B","700-032","+700-032-220+"
"913.1","H-1992","415","+520-220-415+","913.2","Harappa","TAB:B","other","+520-220-415+"
"913.2","H-1992","415","+520-220-415+","913.1","Harappa","TAB:B","other","+520-220-415+"
"841.1","H-2146","415","+520-220-415+","841.2","Harappa","TAB:I","700-032","+700-032+"
"481.1","H-2148","415","+520-220-415+","481.2","Harappa","TAB:I","110","+110+"
"848.1","H-2149","415","+520-220-415+","848.2","Harappa","TAB:I","other","+590-032-645-003+"
"816.1","H-2240","415","+520-220-415+","816.2","Harappa","TAB:I","other","+869-575+"
"1258.1","H-231","240","+520-220-240-002-820+","1258.2","Harappa","TAB:B","700-033","+700-033+"
"1341.1","H-319","415","+520-220-415+","1341.2","Harappa","TAB:I","700-034","+700-034+"
"1366.1","H-346","415","+520-220-415+","1366.2","Harappa","TAB:I","other","+700-090+"
"1677.2","H-786","415","+520-220-415+","1677.1","Harappa","TAB:B","other","+824-892-413+"
"1818.1","H-938","415","+520-220-415+","1818.2","Harappa","TAB:I","700-034","+034-700+"
"1819.2","H-939","415","+520-220-415+","1819.1","Harappa","TAB:I","700-034","+700-034+"
"1820.1","H-940","415","+520-220-415+","1820.2","Harappa","TAB:I","110","+110+"
"1821.2","H-941","415","+520-220-415+","1821.1","Harappa","TAB:I","other","+590-032-645-003+"
"1822.1","H-942","016","+520-220-016+","1822.2","Harappa","TAB:I","700-033","+033-700+"
"3556.1","M-1206","034","+520-220-034+","3556.2","Mohenjo-daro","SEAL:S","other","+740-690-435-255-002-861+"
