"checked_date","graph_scope","cisi","source_label","side_letter","panel_class","local_role_candidate","local_frame700_row","local_companion_row","ia_volume","ia_leafs","source_page_heading","source_state","mapping_grade","blocker","admissible_for_panel_graph","admissible_for_substitution_test","accepted_decipherment_claim"
"2026-05-25","FRAME700_034_source_panel_graph","H-930","H-930 A","A","base_A_side_label_under_cisi_convention","companion_candidate","+700-032+","+740-900-004+","CISI Collections in Pakistan","374","HARAPPA 927-942 TABLETS incised no iconography","clean_two_panel_calibration_control","object_identity_panel_count_and_short_vs_long_split_supported_not_subtype_or_direction","diagnostic_subtype_and_direction_not_secure_from_scan","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-930","H-930 B","B","base_B_side_label_under_cisi_convention","short_frame700_candidate","+700-032+","+740-900-004+","CISI Collections in Pakistan","374","HARAPPA 927-942 TABLETS incised no iconography","clean_two_panel_calibration_control","object_identity_panel_count_and_short_vs_long_split_supported_not_subtype_or_direction","diagnostic_subtype_and_direction_not_secure_from_scan","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-789","H-789 A","A","base_A_side_label_under_cisi_convention","companion_candidate","+033-700+","+400-520-220-016+","CISI Collections in Pakistan","359","HARAPPA 778-793 TABLETS in bas-relief no iconography","clean_two_panel_calibration_control","object_identity_panel_count_and_short_vs_long_split_supported_not_subtype_or_direction","diagnostic_subtype_and_direction_not_secure_from_scan","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-789","H-789 B","B","base_B_side_label_under_cisi_convention","short_frame700_candidate","+033-700+","+400-520-220-016+","CISI Collections in Pakistan","359","HARAPPA 778-793 TABLETS in bas-relief no iconography","clean_two_panel_calibration_control","object_identity_panel_count_and_short_vs_long_split_supported_not_subtype_or_direction","diagnostic_subtype_and_direction_not_secure_from_scan","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-771","H-771 A","A","base_A_side_label_under_cisi_convention","companion_candidate","+700-034+","+032-257-840+","CISI Collections in Pakistan","358","HARAPPA 768-777 TABLETS in bas-relief no iconography","blocked_source_panel_mapping","partial_short_candidate_visible_but_failed_clean_two_panel_standard","multiple_A_photographs_plus_B","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-771","H-771 A bis","A","same_side_later_photo_under_cisi_convention","companion_candidate","+700-034+","+032-257-840+","CISI Collections in Pakistan","358","HARAPPA 768-777 TABLETS in bas-relief no iconography","blocked_source_panel_mapping","partial_short_candidate_visible_but_failed_clean_two_panel_standard","multiple_A_photographs_plus_B","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-771","H-771 A ter","A","same_side_later_photo_under_cisi_convention","companion_candidate","+700-034+","+032-257-840+","CISI Collections in Pakistan","358","HARAPPA 768-777 TABLETS in bas-relief no iconography","blocked_source_panel_mapping","partial_short_candidate_visible_but_failed_clean_two_panel_standard","multiple_A_photographs_plus_B","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-771","H-771 A quater","A","same_side_later_photo_under_cisi_convention","companion_candidate","+700-034+","+032-257-840+","CISI Collections in Pakistan","358","HARAPPA 768-777 TABLETS in bas-relief no iconography","blocked_source_panel_mapping","partial_short_candidate_visible_but_failed_clean_two_panel_standard","multiple_A_photographs_plus_B","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-771","H-771 B","B","base_B_side_label_under_cisi_convention","short_frame700_candidate","+700-034+","+032-257-840+","CISI Collections in Pakistan","358","HARAPPA 768-777 TABLETS in bas-relief no iconography","blocked_source_panel_mapping","partial_short_candidate_visible_but_failed_clean_two_panel_standard","multiple_A_photographs_plus_B","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-893","H-893 A","A","base_A_side_label_under_cisi_convention","companion_candidate","+700-034+","+400-740-337+","CISI Collections in Pakistan","371","HARAPPA 886-898 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_numbered_variant_blocks_strict_local_target","base_AB_plus_numbered_variant_AB","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-893","H-893 B","B","base_B_side_label_under_cisi_convention","short_frame700_candidate","+700-034+","+400-740-337+","CISI Collections in Pakistan","371","HARAPPA 886-898 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_numbered_variant_blocks_strict_local_target","base_AB_plus_numbered_variant_AB","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-893","H-893 (1) A","A","unresolved_numbered_object_form","companion_candidate","+700-034+","+400-740-337+","CISI Collections in Pakistan","371","HARAPPA 886-898 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_numbered_variant_blocks_strict_local_target","base_AB_plus_numbered_variant_AB","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-893","H-893 (1) B","B","unresolved_numbered_object_form","short_frame700_candidate","+700-034+","+400-740-337+","CISI Collections in Pakistan","371","HARAPPA 886-898 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_numbered_variant_blocks_strict_local_target","base_AB_plus_numbered_variant_AB","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","H-925 A","A","base_A_side_label_under_cisi_convention","companion_candidate","+700-033+","+740-840-013+","CISI Collections in Pakistan","373","HARAPPA 912-920 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_shared_control_variant_soup","high_copy_variant_pressure_on_shared_control","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","H-925 B","B","base_B_side_label_under_cisi_convention","ambiguous_short_B_candidate","+700-033+","+740-840-013+","CISI Collections in Pakistan","373","HARAPPA 912-920 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_shared_control_variant_soup","high_copy_variant_pressure_on_shared_control","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","H-925 (1) A","A","unresolved_numbered_object_form","companion_candidate","+700-033+","+740-840-013+","CISI Collections in Pakistan","373","HARAPPA 912-920 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_shared_control_variant_soup","high_copy_variant_pressure_on_shared_control","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","H-925 (2) A","A","unresolved_numbered_object_form","companion_candidate","+700-033+","+740-840-013+","CISI Collections in Pakistan","373","HARAPPA 912-920 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_shared_control_variant_soup","high_copy_variant_pressure_on_shared_control","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","H-925 (2) B","B","unresolved_numbered_object_form","ambiguous_short_B_candidate","+700-033+","+740-840-013+","CISI Collections in Pakistan","373","HARAPPA 912-920 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_shared_control_variant_soup","high_copy_variant_pressure_on_shared_control","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","H-925 (1) B","B","unresolved_numbered_object_form","ambiguous_short_B_candidate","+700-033+","+740-840-013+","CISI Collections in Pakistan","373","HARAPPA 912-920 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_shared_control_variant_soup","high_copy_variant_pressure_on_shared_control","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","H-925 A bis","A","same_side_later_photo_under_cisi_convention","companion_candidate","+700-033+","+740-840-013+","CISI Collections in Pakistan","373","HARAPPA 912-920 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_shared_control_variant_soup","high_copy_variant_pressure_on_shared_control","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","H-925 B bis","B","same_side_later_photo_under_cisi_convention","ambiguous_short_B_candidate","+700-033+","+740-840-013+","CISI Collections in Pakistan","373","HARAPPA 912-920 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_shared_control_variant_soup","high_copy_variant_pressure_on_shared_control","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","H-925 A ter","A","same_side_later_photo_under_cisi_convention","companion_candidate","+700-033+","+740-840-013+","CISI Collections in Pakistan","373","HARAPPA 912-920 TABLETS incised no iconography","blocked_source_panel_mapping","failed_clean_standard_shared_control_variant_soup","high_copy_variant_pressure_on_shared_control","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-983","H-983 A","A","base_A_side_label_under_cisi_convention","companion_candidate","+700-034+","+400-740-637-240+","CISI Collections in Pakistan","377","HARAPPA 974-984 TABLETS incised gharial; fish; geom.","blocked_source_panel_mapping","failed_clean_standard_extra_C_and_B_variants","extra_C_side_plus_bis_ter_variants","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-983","H-983 A bis","A","same_side_later_photo_under_cisi_convention","companion_candidate","+700-034+","+400-740-637-240+","CISI Collections in Pakistan","377","HARAPPA 974-984 TABLETS incised gharial; fish; geom.","blocked_source_panel_mapping","failed_clean_standard_extra_C_and_B_variants","extra_C_side_plus_bis_ter_variants","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-983","H-983 B","B","base_B_side_label_under_cisi_convention","ambiguous_short_B_candidate","+700-034+","+400-740-637-240+","CISI Collections in Pakistan","377","HARAPPA 974-984 TABLETS incised gharial; fish; geom.","blocked_source_panel_mapping","failed_clean_standard_extra_C_and_B_variants","extra_C_side_plus_bis_ter_variants","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-983","H-983 B bis","B","same_side_later_photo_under_cisi_convention","ambiguous_short_B_candidate","+700-034+","+400-740-637-240+","CISI Collections in Pakistan","377","HARAPPA 974-984 TABLETS incised gharial; fish; geom.","blocked_source_panel_mapping","failed_clean_standard_extra_C_and_B_variants","extra_C_side_plus_bis_ter_variants","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-983","H-983 B ter","B","same_side_later_photo_under_cisi_convention","ambiguous_short_B_candidate","+700-034+","+400-740-637-240+","CISI Collections in Pakistan","377","HARAPPA 974-984 TABLETS incised gharial; fish; geom.","blocked_source_panel_mapping","failed_clean_standard_extra_C_and_B_variants","extra_C_side_plus_bis_ter_variants","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-983","H-983 C","C","base_C_side_category_under_cisi_convention","companion_candidate","+700-034+","+400-740-637-240+","CISI Collections in Pakistan","377","HARAPPA 974-984 TABLETS incised gharial; fish; geom.","blocked_source_panel_mapping","failed_clean_standard_extra_C_and_B_variants","extra_C_side_plus_bis_ter_variants","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-983","H-983 C bis","C","same_side_later_photo_under_cisi_convention","companion_candidate","+700-034+","+400-740-637-240+","CISI Collections in Pakistan","377","HARAPPA 974-984 TABLETS incised gharial; fish; geom.","blocked_source_panel_mapping","failed_clean_standard_extra_C_and_B_variants","extra_C_side_plus_bis_ter_variants","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-353","H-353 A","A","base_A_side_label_under_cisi_convention","companion_candidate","+700-033+","+400-740-176+","CISI Collections in India","265;696","HARAPPA 345-354 TABLETS incised","blocked_source_panel_mapping","failed_clean_standard_source_three_panels","three_source_panels_for_two_local_sides","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-353","H-353 B","B","base_B_side_label_under_cisi_convention","short_frame700_candidate","+700-033+","+400-740-176+","CISI Collections in India","265;696","HARAPPA 345-354 TABLETS incised","blocked_source_panel_mapping","failed_clean_standard_source_three_panels","three_source_panels_for_two_local_sides","1","0","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-353","H-353 C","C","base_C_side_category_under_cisi_convention","extra_or_variant_source_label","+700-033+","+400-740-176+","CISI Collections in India","265;696","HARAPPA 345-354 TABLETS incised","blocked_source_panel_mapping","failed_clean_standard_source_three_panels","three_source_panels_for_two_local_sides","1","0","0"
