"cisi","priority","type","site","h_series","side_count_from_signature","row_count","short_mark_rows","long_text_rows","sequence_signature","strict_h_roles_present","strict_h_role_count","unordered_h_roles_present","unordered_h_role_count","strict_h_template_class","unordered_h_template_class","strict_complete_h_inventory","unordered_complete_h_inventory","strict_role_15x_side","unordered_role_15x_side","interpretation_status"
"H-2218","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2219","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2220","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2222","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2223","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2224","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2225","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2229","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2231","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2232","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
