"id","cisi","site","type","material","shape","period","phase","area_section","condition","complete","dir","class","text_length","signs","text","third_slot","x_position_1based","x_position_behavior","exact_three","tail_token_count","tail_tokens","tail_first","tail_last","tail_pattern_class","tail_contains_unknown_000","tail_contains_220_repeat","tail_contains_002","tail_contains_700","tail_contains_060_920","tail_contains_820_or_861","object_row_count","companion_side_row_count","companion_ids","companion_texts","companion_formula_classes","companion_has_one_sign_110","companion_has_700_034_or_034_700","companion_has_700_033_or_033_700","companion_has_700_032","crosswalk_520_mayig","crosswalk_220_mayig","crosswalk_x_mayig","crosswalk_position_coverage_count","crosswalk_evidence_status","source_visibility_hint","source_hint_reports","source_hint_paths"
"41.1","B-23","Banawali","TAG","-","-","-","-","--","Poor","?","T/B","UC","3+?","3","+520-220-002[","002","3","terminal_damaged_or_open","false","0","","","","no_tail_damaged_or_open","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"4069.1","H-1284","Harappa","TAB:I","-","rectangular","-","-","--","Good","Y","L/R","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","4069.2","+700-034+","700_034","false","true","false","false","","","","0","","","",""
"221.1","H-1326","Harappa","TAB:I","Steatite","rectangular-round","-","Stratum III","FTrench VI","Fair","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"479.1","H-1669","Harappa","SEAL:S","Steatite","square","3","C","ETrench 11","Poor","Y","R/L","SP","5","5","+520-220-415-060-920+","415","3","medial_with_closed_tail","false","2","060-920","060","920","tail_2_closed","false","false","false","false","true","false","1","0","","","","false","false","false","false","","","","0","","","",""
"517.1","H-1722","Harappa","TAG","-","-","3","B/C","E-","Poor","N","R/L","??","4+?","3","+520-220-415-000[","415","3","medial_with_damaged_or_open_tail","false","1","000","000","000","tail_1_damaged_or_open","true","false","false","false","false","false","2","1","517.2","]000-220[","two_sign_other","false","false","false","false","","","","0","","","",""
"485.2","H-1953","Harappa","TAB:B","Clay","rectangular","3","C","ETrench 11","Fair","Y","R/L","MT","5","5","+520-220-415-240-803+","415","3","medial_with_closed_tail","false","2","240-803","240","803","tail_2_closed","false","false","false","false","false","false","2","1","485.1","+700-032-220+","longer_other","false","false","false","false","","","","0","","","",""
"913.1","H-1992","Harappa","TAB:B","Faience","cylindrical","3","-","ETrench 11","Poor","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","913.2","+520-220-415+","starts_520_220","false","false","false","false","","","","0","","","",""
"913.2","H-1992","Harappa","TAB:B","Faience","cylindrical","3","-","ETrench 11","Poor","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","913.1","+520-220-415+","starts_520_220","false","false","false","false","","","","0","","","",""
"841.1","H-2146","Harappa","TAB:I","Steatite","rectangular","3","B","ETrench 11","Fair","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","841.2","+700-032+","700_032","false","false","false","true","","","","0","","","",""
"481.1","H-2148","Harappa","TAB:I","Steatite","rectangular","3","C","ETrench 11","Good","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","481.2","+110+","one_sign_110","true","false","false","false","","","","0","","","",""
"848.1","H-2149","Harappa","TAB:I","Steatite","rectangular","3","B","ETrench 11","Fair","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","848.2","+590-032-645-003+","longer_other","false","false","false","false","","","","0","","","",""
"816.1","H-2240","Harappa","TAB:I","Steatite","rectangular","3","B/C","ETrench 11","Good","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","816.2","+869-575+","two_sign_other","false","false","false","false","","","","0","","acquisition_request_sent;exact_local_recurrence_source_dark;local_stress_matrix_defined;prior_work_control_set_preserved;source_dark_in_checked_layer;source_normalization_pending","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","Gmail sent message [redacted-msgid] in thread [redacted-msgid];tmp/lipi_current_inscriptions_20260526.csv lines 1130-1131;tmp/lipi_current_inscriptions_20260526.csv;tmp/parpola_2019_bone_rods.txt lines 102-106;local rg plus fresh exact public web searches on 2026-05-26;combined prior-work/local/source-visibility state"
"1258.1","H-231","Harappa","TAB:B","Faience","elliptical","-","Stratum III","FTrench VI","Fair","Y","R/L","SP","5","5","+520-220-240-002-820+","240","3","medial_with_closed_tail","false","2","002-820","002","820","tail_2_closed","false","false","true","false","false","true","2","1","1258.2","+700-033+","700_033","false","false","true","false","","","","0","","","",""
"1341.1","H-319","Harappa","TAB:I","Steatite","oval","-","Stratum IV","FTrench IV+V","Good","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","1341.2","+700-034+","700_034","false","true","false","false","","","","0","","","",""
"1366.1","H-346","Harappa","TAB:I","Steatite","circular","-","Stratum VI","FTrench IV+V","Fair","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","1366.2","+700-090+","700_x_pair","false","false","false","false","","","","0","","","",""
"1383.1","H-364","Harappa","TAB:I","Steatite","cuboid","-","Stratum VI","FTrench I","Fair","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"199.1","H-423","Harappa","SEAL:S","Steatite","square","-","-","--","Poor","Y","R/L","LP","6","6","+520-220-240-798-060-692+","240","3","medial_with_closed_tail","false","3","798-060-692","798","692","tail_3plus_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"1677.2","H-786","Harappa","TAB:B","-","rectangular","-","-","--","Good","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","1677.1","+824-892-413+","longer_other","false","false","false","false","","","","0","","source_visible_but_side_mapping_unresolved;not_exact_side_control","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv;data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T009.png"
"1818.1","H-938","Harappa","TAB:I","Steatite","rectangular","-","Stratum IV","F-","Good","Y","L/R","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","1818.2","+034-700+","034_700","false","true","false","false","","","","0","","same_side_photo_duplicate;source_visible_exact_side;source_grade_exact_side;source_grade_exact_side_duplicate;source_local220_candidate","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv;data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv;data/open_prototype/reports/parpola_sign60_local220_middle_crop_manifest.csv;data/open_prototype/reports/parpola_sign60_local220_strict_fish_family_manifest.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T006.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T014.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T007.png;tmp/parpola_sign60_local220_middle_probe/neutral_packet/N006.png;tmp/parpola_sign60_local220_strict_probe/neutral_packet/S010.png"
"1819.2","H-939","Harappa","TAB:I","Steatite","rectangular","-","Stratum IV","D-","Poor","Y","L/R","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","1819.1","+700-034+","700_034","false","true","false","false","","","","0","","","",""
