rank,scope,unit_kind,unit,context_field,context_value,n_rows,unit_rows,label_rows,support,expected,precision,recall,lift,log2_lift,z,max_null_ge_observed_share,worst_null_model,non_site_max_null_ge_observed_share,non_site_worst_null_model,field_max_null_ge_observed_share,field_worst_null_model,example_cisis,example_texts
1,text_only,first,400,site_type,Harappa|TAB:B,1798,181,261,82,26.274194,0.453039,0.314176,3.120933,1.641977,12.39563,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1158|H-287|H-879|H-880|H-881|H-882;H-1102;H-874;H-1321,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-760-605+;+400-740-382+;+400-740-455+;+400-226-032+
2,text_only,first,400,type,TAB:B,1798,181,312,90,31.408231,0.497238,0.288462,2.865491,1.518782,12.123258,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1158|H-287|H-879|H-880|H-881|H-882;H-1102;H-874;H-1321,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-760-605+;+400-740-382+;+400-740-455+;+400-226-032+
3,text_only,unigram,400,site_type,Harappa|TAB:B,1798,199,261,85,28.887097,0.427136,0.32567,2.94249,1.557038,11.970671,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1158|H-287|H-879|H-880|H-881|H-882;H-1102;H-874;H-1321,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-760-605+;+400-740-382+;+400-740-455+;+400-226-032+
4,text_only,unigram,400,type,TAB:B,1798,199,312,94,34.531702,0.472362,0.301282,2.722136,1.444739,11.800809,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1158|H-287|H-879|H-880|H-881|H-882;H-1102;H-874;H-1321,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-760-605+;+400-740-382+;+400-740-455+;+400-226-032+
5,text_only,unigram,407,site_type,Mohenjo-daro|TAB:C,1798,45,52,14,1.301446,0.311111,0.269231,10.757265,3.427239,11.436601,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,Hls-1|M-1452;M-2053;M-1535|M-1536|M-1540|M-1563|M-2050|M-2054|M-582|M-583|M-585|M-586|M-587|M-588|M-602|M-604;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549,+740-407-590+;+407-032-520-095-585-017-220+;+740-900-850-407-061-845-806+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+
6,text_only,unigram,407,type,TAB:C,1798,45,53,14,1.326474,0.311111,0.264151,10.554298,3.399759,11.309107,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,Hls-1|M-1452;M-2053;M-1535|M-1536|M-1540|M-1563|M-2050|M-2054|M-582|M-583|M-585|M-586|M-587|M-588|M-602|M-604;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549,+740-407-590+;+407-032-520-095-585-017-220+;+740-900-850-407-061-845-806+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+
7,text_only,unigram,407,material_type,Copper|TAB:C,1798,45,53,14,1.326474,0.311111,0.264151,10.554298,3.399759,11.309107,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,Hls-1|M-1452;M-2053;M-1535|M-1536|M-1540|M-1563|M-2050|M-2054|M-582|M-583|M-585|M-586|M-587|M-588|M-602|M-604;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549,+740-407-590+;+407-032-520-095-585-017-220+;+740-900-850-407-061-845-806+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+
8,text_only,first,400,type_symbol,TAB:B|None,1798,181,200,65,20.133482,0.359116,0.325,3.228453,1.690843,11.1812,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,0.22,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1102;H-874;H-1321;H-1894|H-1929,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-382+;+400-740-455+;+400-226-032+;+400-740-061-140+
9,text_only,first,400,site_type_symbol,Harappa|TAB:B|None,1798,181,181,61,18.220801,0.337017,0.337017,3.347822,1.743223,11.140579,1,shuffle_units_within_site_type,,,0.28,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1102;H-874;H-1321;H-1894|H-1929,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-382+;+400-740-455+;+400-226-032+;+400-740-061-140+
10,text_only,first,400,material_type,Faience|TAB:B,1798,181,192,63,19.328142,0.348066,0.328125,3.259496,1.704649,11.080203,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1102;H-1894|H-1929;H-1853;H-1858|H-1859|H-1956|H-2104|H-215|H-976,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-382+;+400-740-061-140+;+400-617-829+;+400-137+
