checked_date,branch,row_id,object,site,type,prev2,next1,next2,next4,terminal,in_002390_frame,text
2026-05-31,590,3812.1,M-1592,Mohenjo-daro,POT:T:g,740 390,<END>,<END>,<END>,true,false,+740-390-590[
2026-05-31,125,7.1,Ad-2,Allahdino,SEAL:S,368 390,033,033,033,false,false,+368-390-125-033+
2026-05-31,705,8.1,Ad-3,Allahdino,SEAL:S,904 033,235,235,235,false,false,+740-904-033-705-235+
2026-05-31,072,11.1,Ad-6,Allahdino,SEAL:S,<START>,170,170 740,170 740 840 013,false,false,+072-170-740-840-013+
2026-05-31,125,19.1,Blk-1,Bala-kot,SEAL:S,297 350,413,413,413,false,false,+226-003-002-297-350-125-413+
2026-05-31,072,37.1,B-17,Banawali,SEAL:S,002 308,<END>,<END>,<END>,true,false,+236-002-308-072+
2026-05-31,692,40.1,B-21,Banawali,SEAL:R,003 060,<END>,<END>,<END>,true,false,+426-003-060-692+
2026-05-31,705,53.1,Ch-1,Chandigarh,POT:T:g,740 550,<END>,<END>,<END>,true,false,+220-000-740-550-705+
2026-05-31,705,54.1,Ch-2,Chandigarh,POT:T:g,740 050,<END>,<END>,<END>,true,false,+740-050-705+
2026-05-31,705,117.1,C-35,Chanhu-daro,TAB:B,031,167,167,167,false,false,+031-705-167[
2026-05-31,705,63.1,C-64,Chanhu-daro,SEAL:S,838 033,240,240,240,false,false,]000-220-838-033-705-240+
2026-05-31,692,67.1,C-75,Chanhu-daro,SEAL:S,531 060,<END>,<END>,<END>,true,false,+740-531-060-692+
2026-05-31,530,72.1,C-76,Chanhu-daro,SEAL:S,850 032,740,740 741,740 741 456,false,false,+032-031/850-032-530-740-741-456+
2026-05-31,125,76.1,C-74,Chanhu-daro,SEAL:S,<START>,002,002 861,002 861,false,false,+125-002-861+
2026-05-31,530,82.1,C-57,Chanhu-daro,SEAL:S,002 296,000,000,000,false,false,+740-032-840-002-296-530-000+
2026-05-31,140,89.1,C-1,Chanhu-daro,SEAL:S,031 840,740,740 101,740 101 002 365,false,false,+031-840-140-740-101-002-365-287-034+
2026-05-31,140,93.1,C-5,Chanhu-daro,SEAL:S,740,717,717 002,717 002 298 741,false,false,+740-140-717-002-298-741+
2026-05-31,705,95.1,C-7,Chanhu-daro,SEAL:S,520 033,240,240 798,240 798 002 000,false,false,+520-033-705-240-798-002-000[
2026-05-31,705,97.1,C-9,Chanhu-daro,SEAL:S,803 033,240,240,240,false,false,+151-233-803-033-705-240+
2026-05-31,590,99.1,C-11,Chanhu-daro,SEAL:S,<START>,615,615 140,615 140 232 240,false,false,+590-615-140/232-240-001-060-920+
2026-05-31,140,99.1,C-11,Chanhu-daro,SEAL:S,590 615,232,232 240,232 240 001 060,false,false,+590-615-140/232-240-001-060-920+
2026-05-31,590,100.1,C-12,Chanhu-daro,SEAL:S,161 390,031,031 740,031 740 060 920,false,false,+161-390-590-031-740-060-920+
2026-05-31,140,113.1,C-30,Chanhu-daro,SEAL:S,822,015,015,015,false,false,+822-140-015+
2026-05-31,095,121.1,C-40,Chanhu-daro,IMPL,390,909,909 005,909 005 825 776,false,false,+390-095-909-005-825-776-220-016+
2026-05-31,590,124.1,Dlp-2,Desalpur,SEAL:R,<START>,407,407 790,407 790 440,false,false,+590-407-790-440+
2026-05-31,705,134.1,-:134.1,Dholavira,SEAL:R,388 717,<END>,<END>,<END>,true,false,+154-388-717-705+
2026-05-31,590,135.1,-:135.1,Dholavira,SEAL:R,<START>,407,407 790,407 790 032,false,false,+590-407-790-032+
2026-05-31,590,139.1,-:139.1,Dholavira,SEAL:R,100 407,<END>,<END>,<END>,true,false,+740-100-407-590+
2026-05-31,140,158.1,-:158.1,Gola Dhoro (Bagasra),SEAL:S,236,893,893 861,893 861,false,false,+236-140-893-861+
2026-05-31,705,171.1,H-1502,Harappa,MISC,035,<END>,<END>,<END>,true,false,]035-705+
2026-05-31,590,174.1,H-1394,Harappa,POT:T:g,<START>,220,220 003,220 003,false,false,]590-220-003+
2026-05-31,590,193.1,H-1083,Harappa,POT:T:s,697,<END>,<END>,<END>,true,false,+697-590+
2026-05-31,692,3975.1,H-1137,Harappa,TAB:B,240 060,<END>,<END>,<END>,true,false,+740-603-240-060-692+
2026-05-31,692,199.1,H-423,Harappa,SEAL:S,798 060,<END>,<END>,<END>,true,false,+520-220-240-798-060-692+
2026-05-31,692,200.1,H-1400,Harappa,POT:T:g,034 060,<END>,<END>,<END>,true,false,+031-034-060-692[
2026-05-31,692,1800.1,H-920,Harappa,TAB:I,<START>,<END>,<END>,<END>,true,false,]692[
2026-05-31,705,1781.1,H-899,Harappa,TAB:I,868,590,590,590,false,false,+868-705-590+
2026-05-31,590,1781.1,H-899,Harappa,TAB:I,868 705,<END>,<END>,<END>,true,false,+868-705-590+
2026-05-31,705,3689.1,M-1397,Mohenjo-daro,TAB:B,167,<END>,<END>,<END>,true,false,+167-705+
2026-05-31,140,264.1,H-1287,Harappa,TAB:I,400 156,032,032,032,false,false,+400-156-140-032+
2026-05-31,705,1759.1,H-876,Harappa,TAB:B,200,380,380,380,false,false,+200-705-380+
2026-05-31,095,278.1,M-592,Mohenjo-daro,TAB:C,001 595,<END>,<END>,<END>,true,false,+617-142-001-595-095[
2026-05-31,590,1756.1,H-873,Harappa,TAB:B,740 407,690,690 436,690 436 255 920,false,false,+740-407-590-690-436-255-920-318-220-415-803+
2026-05-31,140,3479.1,M-1108,Mohenjo-daro,SEAL:S,740 100,003,003,003,false,false,+740-100-140-003+
2026-05-31,590,786.2,H-2099,Harappa,TAB:I,416,033,033,033,false,false,+416-590-033+
2026-05-31,705,734.2,H-2157,Harappa,TAB:I,<START>,<END>,<END>,<END>,true,false,+705[
2026-05-31,140,400.2,H-1772,Harappa,TAB:B,031 001,<END>,<END>,<END>,true,false,+740-031-001-140+
2026-05-31,590,378.1,H-1776,Harappa,TAB:B,740 390,060,060 550,060 550,false,false,+740-390-590-060-550+
2026-05-31,692,4021.1,M-2032,Mohenjo-daro,TAB:B,000 060,<END>,<END>,<END>,true,false,+000-060-692+
2026-05-31,140,921.2,H-1929,Harappa,TAB:B,740 061,<END>,<END>,<END>,true,false,+400-740-061-140+
2026-05-31,590,4052.2,H-897,Harappa,TAB:I,868 706,<END>,<END>,<END>,true,false,+868-706-590+
2026-05-31,590,393.2,H-1981,Harappa,TAB:B,004 745,<END>,<END>,<END>,true,false,+000-004-745-590+
2026-05-31,590,394.2,H-1987,Harappa,TAB:B,371 741,<END>,<END>,<END>,true,false,+390-004-455-371-741-590+
2026-05-31,692,399.2,H-1901,Harappa,TAB:B,060,<END>,<END>,<END>,true,false,]060-692+
2026-05-31,705,402.1,H-2015,Harappa,TAB:B,033,235,235 000,235 000,false,false,+033-705-235-000+
2026-05-31,705,402.2,H-2015,Harappa,TAB:B,520 033,235,235 832,235 832 002 817,false,false,+520-033-705-235-832-002-817+
2026-05-31,705,412.1,H-2014,Harappa,TAB:B,033,235,235,235,false,false,+033-705-235[
2026-05-31,590,415.2,H-1832,Harappa,TAB:B,352 892,740,740 176,740 176,false,false,+400-297-352-892-590-740-176+
2026-05-31,692,1263.1,H-237,Harappa,TAB:B,240 060,<END>,<END>,<END>,true,false,+740-642-240-060-692+
2026-05-31,590,431.1,H-1725,Harappa,TAG:P,000,832,832 741,832 741 003,false,false,]000-590-832-741-003+
2026-05-31,590,589.1,H-2128,Harappa,TAB:I,455,142,142 220,142 220,false,false,+455-590-142-220+
2026-05-31,125,1271.2,H-246,Harappa,TAB:B,<START>,700,700 033,700 033,false,false,+125-700-033+
2026-05-31,590,3960.1,H-1114,Harappa,TAB:B,740 405,235,235 806,235 806,false,false,+400-740-405-590-235-806+
2026-05-31,705,1666.1,H-774,Harappa,TAB:B,550 033,240,240,240,false,false,+400-525-550-033-705-240+
2026-05-31,140,530.1,H-1677,Harappa,SEAL:S,156,<END>,<END>,<END>,true,false,+156-140+
2026-05-31,590,537.1,H-1692,Harappa,SEAL:S,740 390,002,002 861,002 861,false,false,+740-390-590-002-861+
2026-05-31,590,559.2,H-1834,Harappa,TAB:B,350 892,<END>,<END>,<END>,true,false,+298-350-892-590+
2026-05-31,705,561.1,H-1815,Harappa,TAB:B,550 033,000,000,000,false,false,]525-550-033-705-000+
2026-05-31,590,562.2,H-1803,Harappa,TAB:B,<START>,000,000,000,false,false,]590-000[
2026-05-31,590,1780.1,H-898,Harappa,TAB:I,<START>,<END>,<END>,<END>,true,false,]590+
2026-05-31,705,689.1,H-1988,Harappa,TAB:B,851 740,924,924 156,924 156,false,false,+851-740-705-924-156+
2026-05-31,590,632.1,H-2193,Harappa,TAB:I,<START>,032,032 220,032 220,false,false,+590-032-220+
2026-05-31,140,591.1,M-1659,Mohenjo-daro,BNGL,<START>,706,706,706,false,false,+140-706[
2026-05-31,705,593.2,H-1839,Harappa,TAB:B,175 630,<END>,<END>,<END>,true,false,+740-100-175-630-705+
2026-05-31,705,596.2,H-2139,Harappa,TAB:I,176 033,235,235,235,false,false,+740-176-033-705-235+
2026-05-31,705,609.1,-:609.1,Harappa,POsT:T:g,034,<END>,<END>,<END>,true,false,+034-705+
2026-05-31,140,620.1,H-2008,Harappa,TAB:B,000,000,000,000,false,false,]000-140-000+
2026-05-31,140,626.1,H-1662,Harappa,SEAL:S,142 061,002,002 546,002 546,false,false,+033-033/740-142-061-140-002-546+
2026-05-31,590,629.1,H-1801,Harappa,TAB:B,740 390,741,741,741,false,false,+740-390-590-741[
2026-05-31,705,653.1,H-1813,Harappa,TAB:B,550 033,220,220,220,false,false,+400-525-550-033-705-220+
2026-05-31,125,4031.2,H-1178,Harappa,TAB:I,700,<END>,<END>,<END>,true,false,+700-125+
2026-05-31,140,661.1,H-2007,Harappa,TAB:B,000 000,<END>,<END>,<END>,true,false,+000-000-140+
2026-05-31,705,661.2,H-2007,Harappa,TAB:B,000,590,590,590,false,false,+000-705-590+
2026-05-31,590,661.2,H-2007,Harappa,TAB:B,000 705,<END>,<END>,<END>,true,false,+000-705-590+
2026-05-31,692,664.1,H-1975,Harappa,TAB:B,061 060,<END>,<END>,<END>,true,false,+740-760-061-060-692+
2026-05-31,590,674.2,H-2129,Harappa,TAB:I,000,231,231,231,false,false,]000-590-231+
2026-05-31,095,744.2,H-1993,Harappa,TAB:B,002 390,<END>,<END>,<END>,true,true,+740-000-220-004-002-390-095+
2026-05-31,590,770.1,H-2150,Harappa,TAB:I,<START>,032,032 000,032 000,false,false,+590-032-000[
2026-05-31,140,775.1,H-1666,Harappa,SEAL:S,097 741,<END>,<END>,<END>,true,false,+161-097-741-140+
2026-05-31,705,788.1,H-1840,Harappa,TAB:B,740 255,060,060 550,060 550,false,false,+090-740-255-705-060-550+
2026-05-31,590,799.2,H-2065,Harappa,TAB:I,240,<END>,<END>,<END>,true,false,]240-590+
2026-05-31,590,2340.1,M-1854,Mohenjo-daro,SEAL:S,892,<END>,<END>,<END>,true,false,+892-590+
2026-05-31,072,836.2,H-2107,Harappa,TAB:I,520,255,255,255,false,false,+520-072-255[
2026-05-31,590,1821.1,H-941,Harappa,TAB:I,<START>,032,032 645,032 645 003,false,false,+590-032-645-003+
2026-05-31,590,872.2,H-2067,Harappa,TAB:I,706,<END>,<END>,<END>,true,false,]706-590+
2026-05-31,692,894.1,H-2135,Harappa,TAB:I,318 700,<END>,<END>,<END>,true,false,+740-920-318-700-692+
2026-05-31,590,904.2,H-2019,Harappa,TAB:B,690,032,032 220,032 220,false,false,+690-590-032-220+
2026-05-31,705,923.2,H-1945,Harappa,TAB:B,388 717,<END>,<END>,<END>,true,false,+400-740-388-717-705+
2026-05-31,140,931.1,H-1727,Harappa,POT:T:s,746,<END>,<END>,<END>,true,false,]746-140+
2026-05-31,125,932.1,H-1710,Harappa,SEAL:R,700 920,001,001 055,001 055 920 140,false,false,+090-326-700-920-125-001-055-920-140+
2026-05-31,140,932.1,H-1710,Harappa,SEAL:R,055 920,<END>,<END>,<END>,true,false,+090-326-700-920-125-001-055-920-140+
2026-05-31,692,939.1,H-1705,Harappa,SEAL:R,798 060,<END>,<END>,<END>,true,false,+740-904-231-240-798-060-692+
2026-05-31,705,947.2,H-1805,Harappa,TAB:B,<START>,220,220 000,220 000,false,false,]705-220-000[
2026-05-31,692,1007.1,H-1726,Harappa,POT:T:s,740 100,491,491 002,491 002 817,false,false,+740-100-692-491-002-817+
2026-05-31,590,1020.1,H-1657,Harappa,SEAL:S,740 405,032,032 900,032 900 003 806,false,false,+740-405-590-032-900-003-806-235-220-032-002-690-921+
2026-05-31,590,1633.1,H-734,Harappa,TAB:B,740 390,240,240,240,false,false,+740-390-590-240+
2026-05-31,692,1062.1,H-1,Harappa,SEAL:S,595 575,<END>,<END>,<END>,true,false,+820-595-575-692+
2026-05-31,140,1066.1,H-5,Harappa,SEAL:S,032 920,902,902,902,false,false,+920-706-193-384-032-920-140-902+
2026-05-31,692,1068.1,H-7,Harappa,SEAL:S,920 440,001,001 542,001 542 250,false,false,+920-440-692-001-542-250+
2026-05-31,590,1069.1,H-8,Harappa,SEAL:S,740 405,033,033 706,033 706 002 690,false,false,+354-001-740-405-590-033-706-002-690-921+
2026-05-31,125,1071.1,H-10,Harappa,SEAL:S,596 018,381,381,381,false,false,+820-302-596-018-125-381+
2026-05-31,125,1072.1,H-11,Harappa,SEAL:S,000,204,204,204,false,false,+000-125-204+
2026-05-31,530,1079.1,H-19,Harappa,SEAL:S,003 000,820,820,820,false,false,]000-390-000-003/000-530-820+
2026-05-31,705,1084.1,H-24,Harappa,SEAL:S,176 033,233,233,233,false,false,+740-626-176-033-705-233+
2026-05-31,705,1085.1,H-25,Harappa,SEAL:S,806 033,235,235 055,235 055,false,false,+740-900-003-806-033-705-235-055+
2026-05-31,705,1088.1,H-28,Harappa,SEAL:S,595 000,634,634,634,false,false,+595-000-705-634+
2026-05-31,140,1089.1,H-29,Harappa,SEAL:S,595,640,640,640,false,false,+595-140-640+
2026-05-31,590,1098.1,H-39,Harappa,SEAL:S,740 390,231,231 240,231 240 235 745,false,false,+740-390-590-231-240-235-745-060-920+
2026-05-31,590,1109.1,H-50,Harappa,SEAL:S,740 406,741,741 406,741 406 125,false,false,+740-406-590-741-406-125+
2026-05-31,125,1109.1,H-50,Harappa,SEAL:S,741 406,<END>,<END>,<END>,true,false,+740-406-590-741-406-125+
2026-05-31,590,1111.1,H-52,Harappa,SEAL:S,740 390,125,125 741,125 741 000 000,false,false,+740-390-590-125-741-000-000+
2026-05-31,125,1111.1,H-52,Harappa,SEAL:S,390 590,741,741 000,741 000 000,false,false,+740-390-590-125-741-000-000+
2026-05-31,125,1114.1,H-55,Harappa,SEAL:S,002 861,<END>,<END>,<END>,true,false,+390-004-002-861-125+
2026-05-31,692,1115.1,H-56,Harappa,SEAL:S,176 060,<END>,<END>,<END>,true,false,+740-176-060-692+
2026-05-31,072,1127.1,H-68,Harappa,SEAL:S,002 390,<END>,<END>,<END>,true,true,+090-740-220-003-002-390-072+
2026-05-31,125,1132.1,H-74,Harappa,SEAL:S,002 610,032,032,032,false,false,+002-610-125-032+
2026-05-31,590,1705.1,H-816,Harappa,TAB:B,740 390,<END>,<END>,<END>,true,false,+400-740-390-590+
2026-05-31,692,1140.1,H-83,Harappa,SEAL:S,000 000,<END>,<END>,<END>,true,false,]000-000-692+
2026-05-31,692,1147.1,H-91,Harappa,SEAL:S,253 060,<END>,<END>,<END>,true,false,+520-070-253-060-692+
2026-05-31,530,1158.1,H-1005,Harappa,POT:T:g,748,323,323 316,323 316,false,false,+748-530-323-316+
2026-05-31,705,1169.1,H-103,Harappa,SEAL:S,520 033,740,740 717,740 717 220 415,false,false,+159-097/520-033-705/740-717-220-415-806+
2026-05-31,705,1171.1,H-130,Harappa,SEAL:R,845 033,231,231 806,231 806 002 595,false,false,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,125,1171.1,H-130,Harappa,SEAL:R,595 812,717,717,717,false,false,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,692,1174.1,H-133,Harappa,SEAL:R,798 060,<END>,<END>,<END>,true,false,+740-554-220-415-798-060-692+
2026-05-31,590,1175.1,H-134,Harappa,SEAL:R,740 405,220,220 003,220 003 002 861,false,false,+740-405-590-220-003-002-861+
2026-05-31,705,1177.1,H-136,Harappa,SEAL:R,585 033,235,235 000,235 000,false,false,+405-585-033-705-235-000[
2026-05-31,705,1178.1,H-137,Harappa,SEAL:R,388 033,233,233 002,233 002 817,false,false,+740-443-388-033-705-233-002-817+
2026-05-31,692,1183.1,H-142,Harappa,SEAL:R,832 060,<END>,<END>,<END>,true,false,+740-267-811-832-060-692+
2026-05-31,140,1194.1,H-153,Harappa,SEAL:R,064 706,<END>,<END>,<END>,true,false,+064-706-140+
2026-05-31,590,1199.1,H-158,Harappa,SEAL:R,740 405,<END>,<END>,<END>,true,false,+154-806-472-001-740-405-590+
2026-05-31,705,1209.1,H-175,Harappa,TAB:B,167,368,368 005,368 005 741 060,false,false,+167-705-368-005-741-060-920+
2026-05-31,590,1214.2,H-180,Harappa,TAB:B,151 390,741,741 330,741 330 368,false,false,+151-390-590-741-330-368+
2026-05-31,590,1227.1,H-196,Harappa,TAB:B,407,740,740 072,740 072,false,false,+407-590-740-072+
2026-05-31,072,1227.1,H-196,Harappa,TAB:B,590 740,<END>,<END>,<END>,true,false,+407-590-740-072+
2026-05-31,705,1237.1,H-206,Harappa,TAB:B,240 204,621,621,621,false,false,+740-642-240-204-705-621+
2026-05-31,590,1648.1,H-755,Harappa,TAB:B,740 405,<END>,<END>,<END>,true,false,+400-740-405-590[
2026-05-31,095,1252.1,H-225,Harappa,TAB:B,850,000,000,000,false,false,]850-095-000+
2026-05-31,072,1704.2,H-815,Harappa,TAB:B,520,219,219,219,false,false,+520-072-219+
2026-05-31,692,1292.1,H-267,Harappa,SEAL:S,000 368,<END>,<END>,<END>,true,false,]000-368-692+
2026-05-31,692,1712.2,H-823,Harappa,TAB:B,240 060,<END>,<END>,<END>,true,false,+740-636-240-060-692+
2026-05-31,692,1382.3,H-363,Harappa,TAB:I,<START>,892,892,892,false,false,+692-892+
