x_sign,prefix,after_240_first3,register_key,template_key,raw_rows,source_objects,source_object_count,examples
000,740,<END>,Mohenjo-daro|SEAL:S|None|square,+740-X-240+,1,M-1231,1,M-1231 +740-000-240+
000,000,<END>,Mohenjo-daro|TAB:B|Mult|twisted rectangular,+840-000-X-240+,1,M-477,1,M-477 +840-000-000-240+
055,740,220 032 806,Mohenjo-daro|SEAL:R|None|rectangular,+740-X-240-220-032-806+,1,M-1265,1,M-1265 +740-055-240-220-032-806+
055,740,235 806 002,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-X-240-235-806-002-220-455-503+,1,M-29,1,M-29 +740-055-240-235-806-002-220-455-503+
055,740,415 798 060,Harappa|SEAL:S|Bull1:W|square,+527-555-740-X-240-415-798-060-201+,1,H-386,1,H-386 +527-555-740-055-240-415-798-060-201+
100,740,031,Mohenjo-daro|SEAL:R|None|rectangular,+740-X-240-031+,1,M-1982,1,M-1982 +740-100-240-031+
100,000,220 032 002,Chanhu-daro|SEAL:S|Bull1:W|square,+000-X-240-220-032-002-861+,1,C-65,1,C-65 +000-100-240-220-032-002-861+
100,740,235 741 175,Harappa|SEAL:S|Gaur|square,+740-X-240-235-741-175-132+,1,H-76,1,H-76 +740-100-240-235-741-175-132+
100,740,741 702 900,Harappa|SEAL:S|Bull1:J|square,+740-X-240-741-702-900-003+,1,H-450,1,H-450 +740-100-240-741-702-900-003+
100,740,<END>,Chanhu-daro|SEAL:S|Bull1:W|square,+151-740-X-240+,1,C-51,1,C-51 +151-740-100-240+
100,740,<END>,Harappa|TAB:B|None|oval,+400-740-X-240+,1,H-1895,1,H-1895 +400-740-100-240+
100,740,<END>,Harappa|TAB:B|Gaur|prism,+400-740-X-240+,1,H-251,1,H-251 +400-740-100-240+
100,740,<END>,Harappa|TAB:I|None|rectangular-round,+740-X-240+,1,H-323,1,H-323 +740-100-240+
152,740,<END>,Harappa|TAB:B|None|heart,+400-740-X-240+,1,H-2189,1,H-2189 +400-740-152-240+
176,740,002 702 503,Harappa|SEAL:S|Bull1:W|square,+740-X-240-002-702-503+,1,H-408,1,H-408 +740-176-240-002-702-503+
176,740,002 817,Mohenjo-daro|SEAL:S|Tigr|square,+740-X-240-002-817+,1,M-289,1,M-289 +740-176-240-002-817+
176,740,798 002 861,Mohenjo-daro|SEAL:S|Bull1:W|square,+679-740-X-240-798-002-861+,1,M-629,1,M-629 +679-740-176-240-798-002-861+
176,740,<END>,Harappa|TAB:I|Fish|prism,+400-740-X-240+,2,H-2200;H-2201,2,H-2200 +400-740-176-240+;H-2201 +400-740-176-240+
233,740,798 365 263,Harappa|SEAL:R|None|cuboid-convex,+407-845-140-740-X-240-798-365-263+,1,H-659,1,H-659 +407-845-140-740-233-240-798-365-263+
233,740,<END>,Harappa|TAB:B|None|rectangular,+000-000-740-X-240+,1,H-779,1,H-779 +000-000-740-233-240+
233,000,<END>,Harappa|TAB:B|None|circular,+400-804-000-X-240+,1,H-246,1,H-246 +400-804-000-233-240+
233,740,<END>,Mohenjo-daro|SEAL:S|Bull1:W|square,+679-740-X-240+,1,M-1720,1,M-1720 +679-740-233-240+
235,740,<END>,Harappa|TAB:I|None|rectangular,+090-740-X-240+,1,H-954,1,H-954 +090-740-235-240+
440,740,001 820,Harappa|SEAL:S|Bull1:J|square,+740-X-240-001-820+,1,H-411,1,H-411 +740-440-240-001-820+
455,740,235,Mohenjo-daro|SEAL:S|Gaur|square,+740-X-240-235+,1,M-1096,1,M-1096 +740-455-240-235+
455,740,235 060 820,Mohenjo-daro|SEAL:S|Bull1:J|square,+740-X-240-235-060-820+,1,M-808,1,M-808 +740-455-240-235-060-820+
482,740,002 861,Harappa|TAB:B|Bull1|oval,+740-X-240-002-861+,1,H-2010,1,H-2010 +740-482-240-002-861+
482,740,002 861,Harappa|TAB:B|Bull1|elliptical,+740-X-240-002-861+,1,H-2011,1,H-2011 +740-482-240-002-861+
482,740,002 861,Harappa|TAB:B|None|twisted rectangular-rounded,+740-X-240-002-861+,3,H-806;H-807;H-808,3,H-806 +740-482-240-002-861+;H-807 +740-482-240-002-861+;H-808 +740-482-240-002-861+
482,740,002 861,Harappa|TAB:B|None|rectangular-round,+740-X-240-002-861+,1,H-1130,1,H-1130 +740-482-240-002-861+
482,740,002 861,Harappa|TAB:B|None|twisted rectangular,+740-X-240-002-861+,1,H-1131,1,H-1131 +740-482-240-002-861+
482,740,002 944 920,Mohenjo-daro|SEAL:S|Elep|square,+740-X-240-002-944-920-140+,1,M-280,1,M-280 +740-482-240-002-944-920-140+
585,740,220 032 002,Mohenjo-daro|SEAL:S|Bull1|square,+740-X-240-220-032-002-817+,1,M-722,1,M-722 +740-585-240-220-032-002-817+
603,740,060 692,Harappa|TAB:B|None|rectangular,+740-X-240-060-692+,3,H-1137;H-1138;H-1846,3,H-1138 +740-603-240-060-692+;H-1846 +740-603-240-060-692+;H-1137 +740-603-240-060-692+
630,740,031 032 171,Harappa|TAB:I|None|fish,+740-X-240-031-032-171+,1,H-2192,1,H-2192 +740-630-240-031-032-171+
630,740,741 861,Harappa|SEAL:S|Bull1:W|square,+740-X-240-741-861+,1,H-102,1,H-102 +740-630-240-741-861+
630,690,<END>,Harappa|TAB:I|None|rectangular-round,+740-690-X-240+,1,H-321,1,H-321 +740-690-630-240+
636,740,031 032 171,Harappa|TAB:I|None|rectangular,+400-740-X-240-031-032-171+,2,H-301;H-905,2,H-301 +400-740-636-240-031-032-171+;H-905 +400-740-636-240-031-032-171+
636,740,031 032 171,Harappa|TAB:I|Bult|cuboid,+400-740-X-240-031-032-171+,1,H-988,1,H-988 +400-740-636-240-031-032-171+
636,740,060 692,Harappa|TAB:I|Bult|prism,+740-X-240-060-692+,1,H-360,1,H-360 +740-636-240-060-692+
636,740,060 692,Harappa|TAB:B|None|rectangular,+740-X-240-060-692+,1,H-823,1,H-823 +740-636-240-060-692+
636,740,066 556,Mohenjo-daro|SEAL:S|Gaur|square,+740-X-240-066-556+,1,M-1879,1,M-1879 +740-636-240-066-556+
636,740,233 235 002,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-X-240-233-235-002-405-125-820+,1,M-41,1,M-41 +740-636-240-233-235-002-405-125-820+
636,740,<END>,Harappa|TAB:I|None|rectangular,+400-740-X-240+,3,H-1178;H-298;H-894,3,H-298 +400-740-636-240+;H-894 +400-740-636-240+;H-1178 +400-740-636-240+
636,690,<END>,Harappa|TAB:I|None|rectangular,+740-690-X-240+,1,H-1308,1,H-1308 +740-690-636-240+
636,690,<END>,Harappa|TAB:I|None|rectangular-round,+740-690-X-240+,1,H-965,1,H-965 +740-690-636-240+
636,690,<END>,Harappa|TAB:I|None|rectangular-rounded,+740-690-X-240+,1,H-966,1,H-966 +740-690-636-240+
636,740,<END>,Harappa|TAB:I|None|rectangular,+740-X-240+,1,H-919,1,H-919 +740-636-240+
636,740,<END>,Mohenjo-daro|SEAL:S|Bull1:J|square,+740-X-240+,1,M-228,1,M-228 +740-636-240+
637,740,002 861,Mohenjo-daro|SEAL:S|Bull1:S|square,+740-X-240-002-861+,1,-,1,- +740-637-240-002-861+
637,740,<END>,Harappa|TAB:I|Bult|prism,+400-740-X-240+,1,H-983,1,H-983 +400-740-637-240+
639,740,002 435 255,Harappa|SEAL:S|Bull1:W|square,+740-X-240-002-435-255-777+,1,H-598,1,H-598 +740-639-240-002-435-255-777+
642,740,001 692,Harappa|TAB:B|None|fish,+740-X-240-001-692+,2,H-821;H-822,2,H-821 +740-642-240-001-692+;H-822 +740-642-240-001-692+
642,000,031 002 861,Mohenjo-daro|SEAL:S|Bull1:S|square,+000-X-240-031-002-861+,1,M-941,1,M-941 +000-642-240-031-002-861+
642,740,060 692,Harappa|TAB:B|None|rectangular,+740-X-240-060-692+,1,H-1845,1,H-1845 +740-642-240-060-692+
642,740,060 692,Harappa|TAB:B|None|fish,+740-X-240-060-692+,1,H-237,1,H-237 +740-642-240-060-692+
642,740,204 705 621,Harappa|TAB:B|None|rectangular,+740-X-240-204-705-621+,1,H-206,1,H-206 +740-642-240-204-705-621+
642,690,<END>,Harappa|TAB:I|Fish|prism,+740-690-X-240+,1,H-350,1,H-350 +740-690-642-240+
643,740,002 861,Harappa|SEAL:S|Bull1:W|square,+740-X-240-002-861+,1,H-51,1,H-51 +740-643-240-002-861+
643,000,<END>,Kish|SEAL:S|Bull1|square,+000-X-240+,1,-,1,- +000-643-240+
643,740,<END>,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-X-240+,1,M-1719,1,M-1719 +740-643-240+
760,740,<END>,Harappa|TAB:I|None|rectangular,+740-X-240+,3,H-2076;H-2077;H-903,3,H-2076 +740-760-240+;H-2077 +740-760-240+;H-903 +740-760-240+
765,740,001 368 920,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-X-240-001-368-920+,1,M-84,1,M-84 +740-765-240-001-368-920+
772,740,002 900 003,Mohenjo-daro|SEAL:S|Bull1:J|square,+740-X-240-002-900-003-590+,1,M-958,1,M-958 +740-772-240-002-900-003-590+
772,740,060 415 056,Harappa|SEAL:S|Bull1:W|square,+740-X-240-060-415-056+,1,H-14,1,H-14 +740-772-240-060-415-056+
772,740,803,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-X-240-803+,1,M-705,1,M-705 +740-772-240-803+
772,740,<END>,Mohenjo-daro|SEAL|None|cuboid,+740-X-240+,1,M-1988,1,M-1988 +740-772-240+
773,740,002 861 031,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-X-240-002-861-031+,1,M-706,1,M-706 +740-773-240-002-861-031+
773,740,235 060 692,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-X-240-235-060-692+,1,M-5,1,M-5 +740-773-240-235-060-692+
798,740,060 111 166,Lothal|SEAL:S|Bull1:W|square,+740-X-240-060-111-166+,1,L-26,1,L-26 +740-798-240-060-111-166+
798,740,235 002 220,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-X-240-235-002-220-065-215+,1,M-46,1,M-46 +740-798-240-235-002-220-065-215+
806,740,002 820,Lothal|SEAL:L|None|oval,+740-X-240-002-820+,1,L-83,1,L-83 +740-806-240-002-820+
835,000,235 031 900,Chanhu-daro|IMPL|None|-,+740-000-X-240-235-031-900-066+,1,C-40,1,C-40 +740-000-835-240-235-031-900-066+
904,740,002 817,Harappa|TAB:B|Bull2|rectangular,+740-X-240-002-817+,3,-;H-1100;H-697,3,- +740-904-240-002-817+;H-697 +740-904-240-002-817+;H-1100 +740-904-240-002-817+
904,740,235,Lothal|SEAL:R|None|rectangular,+740-X-240-235+,1,L-111,1,L-111 +740-904-240-235+
904,740,<END>,Harappa|TAB:B|None|isosceles trapezoid,+400-740-X-240+,1,H-1897,1,H-1897 +400-740-904-240+
904,740,<END>,Harappa|TAB:B|None|rectangular,+740-X-240+,2,-;H-781,2,- +740-904-240+;H-781 +740-904-240+
923,740,002 817,Mohenjo-daro|SEAL:S|Tigr|square,+740-X-240-002-817+,1,M-1166,1,M-1166 +740-923-240-002-817+
923,740,235 060 820,Mohenjo-daro|SEAL:S|Bull1:S|square,+740-X-240-235-060-820+,1,M-1760,1,M-1760 +740-923-240-235-060-820+
923,740,235 806,Mohenjo-daro|SEAL:R|None|cuboid-convex,+740-X-240-235-806+,1,M-405,1,M-405 +740-923-240-235-806+
927,740,031,Mohenjo-daro|SEAL:S|Bull1:S|square,+740-X-240-031+,1,M-951,1,M-951 +740-927-240-031+
