checked_date,label,motif,hits,sites,types,shapes,terminal,terminal_share,distinct_next,next_entropy,top_next,top_next_share,top_next_counts,examples
2026-05-31,after_002,390,15,Mohenjo-daro:9;Harappa:3;Dholavira:1;Surkotada:1;Unknown:1,SEAL:S:13;TAB:B:2,square:13;plano-convex:1;rectangular:1,0,0.000000,10,3.106891,125,0.266667,125:4;095:2;705:2;072:1;140:1;346:1;530:1;590:1;692:1;707:1,H-1993:+740-000-220-004-002-390-095+ | H-68:+090-740-220-003-002-390-072+ | H-773:+740-798-803-002-390-530-741+ | M-38:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-70:+226-032-002-390-692+ | M-71:+151-279-142-002-390-095+ | M-119:+151-337-484-002-390-125-632-032-900-563+ | M-213:+740-384-002-390-346+ | M-232:+236-002-390-707+ | M-708:+740-061-002-390-140+ | M-735:+740-760-235-002-390-125-195+ | -:3335.1:+740-205-032-002-390-590-032+
2026-05-31,not_after_002,390,212,Mohenjo-daro:111;Harappa:44;Lothal:14;Dholavira:10;Chanhu-daro:8;Kalibangan:6;Nausharo:2;Rodji:2;Surkotada:2;Allahdino:1,SEAL:S:142;TAB:B:21;TAB:I:10;POT:T:g:9;SEAL:R:8;TAG:6;SEAL:4;ROD:3;MISC:2;TAG:L:2,square:142;-:26;rectangular:18;circular:5;cylindrical:4;rectangular-round:4;conical:3;cuboid:3;hare:1;hexagonal:1,14,0.066038,61,4.549536,590,0.268868,590:57;004:18;003:15;<END>:14;000:10;844:9;016:8;005:6;125:5;017:4,M-1592:+740-390-590[ | Ad-2:+368-390-125-033+ | Alt-90:+390-415+ | H-335:+390-034+ | Blk-2:+390-717-061-002-368-634+ | M-1742:+390-004+ | -:50.1:+390-003-003+ | M-32:+390-003-002-817+ | C-69:+390-844-060-575-717+ | C-12:+161-390-590-031-740-060-920+ | C-22:+440-390-032/368-390-790+ | C-22:+440-390-032/368-390-790+
2026-05-31,after_002,405,4,Harappa:2;Mohenjo-daro:2,SEAL:S:3;TAB:B:1,square:3;cylindrical:1,0,0.000000,4,2.000000,125,0.250000,125:1;321:1;372:1;501:1,H-22:+740-920-320-233-806-002-405-321+ | H-1155:+520-240-002-405-501+ | M-34:+740-336-176-002-405-372-374+ | M-41:+740-636-240-233-235-002-405-125-820+
2026-05-31,not_after_002,405,69,Harappa:33;Mohenjo-daro:25;Lothal:2;Bakkar Buthi:1;Chanhu-daro:1;Dholavira:1;Kalibangan:1;Khirsara:1;Lakhanjo-daro:1;Pirak:1,SEAL:R:24;SEAL:S:21;POT:T:g:6;TAB:B:5;TAG:L:4;TAB:C:3;BNGL:2;SEAL:C:2;ROD:1;TAG:P:1,square:23;cuboid-convex:18;-:13;rectangular:11;circular:2;conical:1;prism:1,4,0.057971,26,3.943573,590,0.275362,590:19;004:7;061:6;<END>:4;090:4;003:3;005:3;000:2;016:2;017:2,M-673:+405-017+ | -:18.1:+405-844-032-840-002-861+ | C-87:+740-405+ | H-1401:+000-000-000-000-405[ | H-1047:+405-004-745-905+ | M-1641:+405+ | H-1517:+405-005-002+ | M-404:+405-005+ | H-1942:+405-035-002-861+ | H-1673:+405-004-104+ | K-97:+405-003+ | H-1114:+400-740-405-590-235-806+
2026-05-31,after_002,610,2,Harappa:1;Mohenjo-daro:1,SEAL:S:2,square:2,0,0.000000,1,0.000000,125,1.000000,125:2,H-74:+002-610-125-032+ | M-1665:+520-033-705-233-240-002-610-125-032+
2026-05-31,not_after_002,610,0,,,,0,0.000000,0,0.000000,-,0.000000,,
2026-05-31,after_002,297-350,2,Bala-kot:1;Nausharo:1,SEAL:R:1;SEAL:S:1,rectangular:1;square:1,0,0.000000,1,0.000000,125,1.000000,125:2,Blk-1:+226-003-002-297-350-125-413+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,not_after_002,297-350,0,,,,0,0.000000,0,0.000000,-,0.000000,,
2026-05-31,after_002,095,1,Tepe Yahya:1,POT:T:s:1,-:1,0,0.000000,1,0.000000,000,1.000000,000:1,TY-106:+002-095-000[
2026-05-31,not_after_002,095,21,Mohenjo-daro:11;Harappa:4;Dholavira:2;Chanhu-daro:1;Kot-Diji:1;Lothal:1;Sibri:1,TAB:C:6;SEAL:R:4;SEAL:S:3;TAB:B:3;IMPL:1;POT:T:g:1;ROD:1;SEAL:1;TAG:R:1,rectangular:10;-:4;square:4;cuboid-convex:2;rectangular-round:1,8,0.380952,10,2.832561,<END>,0.380952,<END>:8;585:3;000:2;033:2;031:1;550:1;717:1;741:1;760:1;909:1,C-40:+390-095-909-005-825-776-220-016+ | M-592:+617-142-001-595-095[ | H-1993:+740-000-220-004-002-390-095+ | H-225:]850-095-000+ | H-660:+520-095-033-706-240-798+ | Kd-9:+033-095+ | L-1:+527-550-233-002-812-095+ | M-2053:+407-032-520-095-585-017-220+ | M-71:+151-279-142-002-390-095+ | M-403:+407-063-520-095+ | H-2584:]806-468-520-095-033-705[ | M-520:+617-142-001-595-095-760-744+
