template_4,count,repeated,cross_site,cross_type,top_exact_share,exact_dominated,sites,types,prev_before_002,objects
297-350-125-413,2,true,true,true,0.500000,false,Bala-kot:1;Nausharo:1,SEAL:R:1;SEAL:S:1,003:1;798:1,Blk-1:+226-003-002-297-350-125-413+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
390-125-632-032,2,true,false,false,0.500000,false,Mohenjo-daro:2,SEAL:S:2,235:1;484:1,M-38:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-119:+151-337-484-002-390-125-632-032-900-563+
610-125-032-<END>,2,true,true,false,0.500000,false,Harappa:1;Mohenjo-daro:1,SEAL:S:2,<START>:1;240:1,H-74:+002-610-125-032+ | M-1665:+520-033-705-233-240-002-610-125-032+
125-350-<END>-<END>,1,false,false,false,1.000000,true,Mohenjo-daro:1,SEAL:S:1,003:1,M-251:+390-003-002-125-350+
125-590-<END>-<END>,1,false,false,false,1.000000,true,Harappa:1,SEAL:S:1,550:1,H-611:+527-550-002-125-590+
190-125-632-032,1,false,false,false,1.000000,true,Mohenjo-daro:1,SEAL:S:1,617:1,M-1692:+390-600-617-002-190-125-632-032+
320-705-125-<END>,1,false,false,false,1.000000,true,Mohenjo-daro:1,SEAL:S:1,803:1,M-1668:+740-773-233-803-002-320-705-125+
390-125-195-<END>,1,false,false,false,1.000000,true,Mohenjo-daro:1,SEAL:S:1,235:1,M-735:+740-760-235-002-390-125-195+
390-125-820-<END>,1,false,false,false,1.000000,true,Surkotada:1,SEAL:S:1,004:1,Sktd-1:+390-004-002-390-125-820+
392-590-125-<END>,1,false,false,false,1.000000,true,Lohumjo-daro:1,SEAL:S:1,235:1,Lh-1:+740-760-615-104-717-235-002-392-590-125+
405-125-820-<END>,1,false,false,false,1.000000,true,Mohenjo-daro:1,SEAL:S:1,235:1,M-41:+740-636-240-233-235-002-405-125-820+
407-125-590-831,1,false,false,false,1.000000,true,Mohenjo-daro:1,TAB:C:1,<START>:1,M-2055:+002-407-125-590-831+
595-812-125-717,1,false,false,false,1.000000,true,Harappa:1,SEAL:R:1,806:1,H-130:+409-032-845-033-705-231-806-002-595-812-125-717+
741-455-125-<END>,1,false,false,false,1.000000,true,Mohenjo-daro:1,SEAL:S:1,<START>:1,M-761:]002-741-455-125+
861-125-<END>-<END>,1,false,false,false,1.000000,true,Harappa:1,SEAL:S:1,004:1,H-55:+390-004-002-861-125+
906-125-<END>-<END>,1,false,false,false,1.000000,true,Mohenjo-daro:1,SEAL:R:1,236:1,M-354:+740-729-407-845-236-002-906-125+
