checked_date,target,object,row_id,site,type,text,head,tail_after_x,exception_type,severity,current_gloss,source_success_for_rule,rule_damage_outcome,rule_promotion_outcome
2026-05-31,Ad-8,Ad-8,13.1,Allahdino,MISC,+740-440-503-002-861-000+,861,<END>,closed_control,control,FRAME(002) HEAD(861) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,H-1038,H-1038,256.1,Harappa,SEAL:S,+740-519-002-297-000[,297,<END>,closed_control,control,FRAME(002) HEAD(297) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,H-2338,H-2338,604.1,Harappa,POT:T:g,]740-061-002-575-000[,575,<END>,closed_control,control,FRAME(002) HEAD(575) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,617.1,-:617.1,617.1,Harappa,POT:T:g,]740-000-000-002-575-000[,575,<END>,closed_control,control,FRAME(002) HEAD(575) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,H-78,H-78,1135.1,Harappa,SEAL:S,]000-806-002-575-000+,575,<END>,closed_control,control,FRAME(002) HEAD(575) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,H-461,H-461,1450.1,Harappa,SEAL:S,+090-740-384-002-452-000+,452,<END>,closed_control,control,FRAME(002) HEAD(452) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,H-593,H-593,1537.1,Harappa,SEAL:S,+740-760-235-240-002-220-000[,220,<END>,closed_control,control,FRAME(002) HEAD(220) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,H-609,H-609,1549.1,Harappa,SEAL:S,]798-233-231-002-817-000+,817,<END>,closed_control,control,FRAME(002) HEAD(817) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,H-909,H-909,1791.1,Harappa,TAB:I,+002-820-000[,820,<END>,closed_control,control,FRAME(002) HEAD(820) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,K-44,K-44,1910.1,Kalibangan,SEAL:S,+740-337-176-002-000-000[,000,<END>,closed_control,control,FRAME(002) HEAD(000) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,M-1787,M-1787,2399.1,Mohenjo-daro,SEAL:S,+740-061-002-703-000+,703,<END>,closed_control,control,FRAME(002) HEAD(703) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,M-1884,M-1884,2510.1,Mohenjo-daro,SEAL:S,+520-220-016-002-416-000+,416,<END>,closed_control,control,FRAME(002) HEAD(416) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
