"date","id","object","site","type","sides","shape","material","direction","class","exact_text","companion_count","companion_texts","has_034_companion","has_700_034_or_034_700_companion","has_700_032_or_032_700_companion","has_700_033_or_033_700_companion","source_route_status_current","admissible_use","accepted_claim"
"2026-05-26","4069.1","H-1284","Harappa","TAB:I","2","rectangular","-","L/R","MT","+520-220-415+","1","4069.2:+700-034+","True","True","False","False","route_dark_in_checked_layer","local_pressure_acquisition_target","0"
"2026-05-26","221.1","H-1326","Harappa","TAB:I","1","rectangular-round","Steatite","R/L","MT","+520-220-415+","0","","False","False","False","False","route_dark_in_checked_layer","context_inventory_only","0"
"2026-05-26","913.1","H-1992","Harappa","TAB:B","2","cylindrical","Faience","R/L","MT","+520-220-415+","1","913.2:+520-220-415+","False","False","False","False","route_dark_in_checked_layer","context_inventory_only","0"
"2026-05-26","913.2","H-1992","Harappa","TAB:B","2","cylindrical","Faience","R/L","MT","+520-220-415+","1","913.1:+520-220-415+","False","False","False","False","route_dark_in_checked_layer","context_inventory_only","0"
"2026-05-26","841.1","H-2146","Harappa","TAB:I","2","rectangular","Steatite","R/L","MT","+520-220-415+","1","841.2:+700-032+","False","False","True","False","route_dark_in_checked_layer","negative_or_subtype_companion_control","0"
"2026-05-26","481.1","H-2148","Harappa","TAB:I","2","rectangular","Steatite","R/L","MT","+520-220-415+","1","481.2:+110+","False","False","False","False","public_visual_route_count_mapped_after_kenoyer2005_fig14_1","context_inventory_with_later_source_route","0"
"2026-05-26","848.1","H-2149","Harappa","TAB:I","2","rectangular","Steatite","R/L","MT","+520-220-415+","1","848.2:+590-032-645-003+","False","False","False","False","route_dark_in_checked_layer","context_inventory_only","0"
"2026-05-26","816.1","H-2240","Harappa","TAB:I","2","rectangular","Steatite","R/L","MT","+520-220-415+","1","816.2:+869-575+","False","False","False","False","route_dark_in_checked_layer","context_inventory_only","0"
"2026-05-26","1341.1","H-319","Harappa","TAB:I","2","oval","Steatite","R/L","MT","+520-220-415+","1","1341.2:+700-034+","True","True","False","False","register_only_in_checked_layer","local_pressure_acquisition_target","0"
"2026-05-26","1366.1","H-346","Harappa","TAB:I","2","circular","Steatite","R/L","MT","+520-220-415+","1","1366.2:+700-090+","False","False","False","False","source_visible_weak_in_fine_form_packet","context_inventory_only","0"
"2026-05-26","1383.1","H-364","Harappa","TAB:I","1","cuboid","Steatite","R/L","MT","+520-220-415+","0","","False","False","False","False","register_only_in_checked_layer","context_inventory_only","0"
"2026-05-26","1677.2","H-786","Harappa","TAB:B","2","rectangular","-","R/L","MT","+520-220-415+","1","1677.1:+824-892-413+","False","False","False","False","source_visible_side_gated_visual_pressure","context_inventory_only","0"
"2026-05-26","1818.1","H-938","Harappa","TAB:I","2","rectangular","Steatite","L/R","MT","+520-220-415+","1","1818.2:+034-700+","True","True","False","False","source_audited_clean_exact_415_with_034_companion","source_grade_same_object_pressure","0"
"2026-05-26","1819.2","H-939","Harappa","TAB:I","2","rectangular","Steatite","L/R","MT","+520-220-415+","1","1819.1:+700-034+","True","True","False","False","source_visible_same_page_but_not_upgraded","local_pressure_source_visible_but_not_upgraded","0"
"2026-05-26","1820.1","H-940","Harappa","TAB:I","2","rectangular","Steatite","R/L","MT","+520-220-415+","1","1820.2:+110+","False","False","False","False","source_visible_clean_exact_415_negative_companion","context_inventory_only","0"
"2026-05-26","1821.2","H-941","Harappa","TAB:I","2","rectangular","Steatite","R/L","MT","+520-220-415+","1","1821.1:+590-032-645-003+","False","False","False","False","source_visible_side_gated_visual_pressure","context_inventory_only","0"
"2026-05-26","2565.1","M-37","Mohenjo-daro","SEAL:S","1","square","Steatite","R/L","MT","+520-220-415+","0","","False","False","False","False","source_visible_same_site_clean_415_subform","context_inventory_only","0"
