edge,text_families,terminal_families,terminal_share,sites,types,examples
002-861,120,96,0.8,8,9,+405-844-032-840-002-861+ | +740-176-032-002-861+ | +032-031/740-222-235-002-861+ | +125-002-861+ | +244-165/740-879-220-416-803-002-861+ | +740-416-002-861+ | +390-016-002-861+ | +151-382-031-002-861+
002-817,96,93,0.96875,10,9,+002-817+ | +390-003-002-817+ | +740-636-240/002-817+ | +520-233-803-002-817+ | +520-235-803-002-817+ | +740-231-220-032-002-817+ | +740-904-240-002-817+ | +390-004-002-817+
400-740,85,1,0.011764705882352941,6,6,+400-740-575-017-920-320-798-002-861+ | +400-740-176+ | +400-740-760-605+ | +400-740-382+ | +400-740-455+ | +400-740-767-220-416+ | +400-740-061-140+ | +400-740-100-240+
002-820,72,67,0.9305555555555556,7,6,+236-002-820+ | +740-900-005-002-820+ | +382-760-382-002-820+ | +002-820+ | +390-003-002-820+ | +526-554-002-820+ | +090-740-101-002-820+ | +621-740-900-003/002-820+
740-760,72,1,0.013888888888888888,10,8,+740-760-445+ | +400-740-760-605+ | +740-760-070-921-315-233+ | +740-760-840-799+ | +740-760-240+ | +400-740-760-382+ | +740-760-061-060-692+ | +740-760-033-033-240-002-824+
740-100,71,1,0.014084507042253521,8,9,+151-740-100-240+ | +740-100+ | +740-100-407-590+ | +740-100-140-003+ | +740-100-176+ | +400-740-100-240+ | +740-100-415+ | +400-740-100-176-175+
090-740,71,0,0,9,7,+090-740-220-002-368-550-821+ | +817-521-521/090-740-221-002-031-500+ | +090-740-240-220+ | +400-090-740-220-003+ | +090-740-103-002-861+ | +090-740-103-741-066+ | +090-740-101-031+ | +400-090-740-400-090+
033-705,59,6,0.1016949152542373,6,10,+740-904-033-705-235+ | +151-233-803-033-705-240+ | +520-033-705-235-832-002-817+ | +400-525-550-033-705-240+ | +740-176-033-705-235+ | +400-525-550-033-705-220+ | +740-626-176-033-705-233+ | +740-900-003-806-033-705-235-055+
740-176,54,8,0.14814814814814814,7,7,+740-176-032-002-861+ | +400-740-176+ | +317-740-335-740-176-002-920-491+ | +565-740-176-231+ | +400-297-352-892-590-740-176+ | +400-740-176-235+ | +740-176-220+ | +400-740-176-791+
060-920,51,50,0.9803921568627451,9,7,+842-032-031-592-031-060-920+ | +590-615-140/232-240-001-060-920+ | +161-390-590-031-740-060-920+ | +429-003-741-060-920+ | +156-176-741-060-920+ | +520-220-415-060-920+ | +504-350-741-060-920+ | +740-390-590-231-240-235-745-060-920+
220-032,49,12,0.24489795918367346,8,6,+740-231-220-032-002-817+ | +220-032+ | +520-233-240-220-032+ | +740-405-590-032-900-003-806-235-220-032-002-690-921+ | +740-176-690-435-255-220-032-806-060-550+ | +161-233-220-032-741-831+ | +241-220-032-002-861+ | +090-740-220-032+
390-590,46,6,0.13043478260869565,8,4,+740-390-590+ | +161-390-590-031-740-060-920+ | +740-390-590-060-550+ | +740-390-590-002-861+ | +740-390-590-240+ | +740-390-590-231-240-235-745-060-920+ | +400-740-390-590+ | +151-390-590-741-330-368+
520-033,41,0,0,6,6,+520-033-706-233+ | +520-033-706-231-415-803+ | +520-033-705-235-832-002-817+ | +520-033-033+ | +520-033-706-235-798-803-002-031-892+ | +520-033-706+ | +159-097/520-033-705/740-717-220-415-806+ | +520-033-706-231-806-002-817+
220-415,37,7,0.1891891891891892,3,5,+520-220-415+ | +740-407-590-690-436-255-920-318-220-415-803+ | +520-220-415-060-920+ | +520-220-415-240-803+ | +074-220-415+ | +159-097/520-033-705/740-717-220-415-806+ | +740-554-220-415-798-060-692+ | +400-740-220-415-798+
520-220,36,1,0.027777777777777776,5,4,+520-220-240-798-060-692+ | +520-220-415+ | +400-520-220-016+ | +520-220+ | +520-220-415-060-920+ | +520-220-415-240-803+ | +861-920/520-220-016+ | +520-220-240-002-820+
240-002,35,0,0,4,4,+740-636-240/002-817+ | +740-904-240-002-817+ | +740-482-240-002-861+ | +740-760-033-033-240-002-824+ | +740-643-240-002-861+ | +520-220-240-002-820+ | +520-240-002-405-501+ | +740-585-017-240-002-305-032-904+
740-032,34,1,0.029411764705882353,5,4,+400-740-032-015+ | +740-032-840+ | +400-740-032-028+ | +400-740-032-027+ | +400-740-032-840+ | +400-740-032-025+ | +400-740-032-014+ | +740-032-025+
740-390,33,1,0.030303030303030304,7,4,+740-390-590+ | +740-390-590-060-550+ | +740-390-590-002-861+ | +740-390-590-240+ | +740-390-590-231-240-235-745-060-920+ | +400-740-390-590+ | +740-390-590-240-741-390-728+ | +740-390-590-742-700+
060-692,32,27,0.84375,5,4,+426-003-060-692+ | +740-531-060-692+ | +740-603-240-060-692+ | +520-220-240-798-060-692+ | +740-642-240-060-692+ | +740-760-061-060-692+ | +740-904-231-240-798-060-692+ | +740-176-060-692+
740-798,32,1,0.03125,6,6,+740-798+ | +740-798-820+ | +400-740-798-365-415-001+ | +740-798-220-742-146+ | +740-798-235-001-368-831-165+ | +740-798-463-354+ | +740-798-003-002-416+ | +740-798-463-350-741-590-032+
032-002,32,0,0,6,4,+740-176-032-002-861+ | +740-231-220-032-002-817+ | +394-032-002-892-740+ | +740-405-590-032-900-003-806-235-220-032-002-690-921+ | +740-384-032-002-817+ | +241-220-032-002-861+ | +740-390-590-070-032-002-861+ | +740-760-072-921-032-002-820+
435-255,31,7,0.22580645161290322,4,5,+400-156-435-255+ | +154-435-255+ | +740-690-435-255+ | +740-690-435-255-055+ | +740-690-435-255-803-220-240-235-002-817+ | +740-176-690-435-255-220-032-806-060-550+ | +740-690-435-255-001-060-201+ | +400-921-690-435-255-055+
