cisi,text,outcome,tail,tail_class,prefix,prefix_last2,register_key,source_status,metric_status,line_width_px,line_height_px,terminal_content_width_px,terminal_content_width_share,terminal_content_area_share,pre_tail_width_px,nearest_terminal_edge_gap_px,nearest_terminal_edge_gap_share,bare_terminal_window_width_px,bare_terminal_window_width_share,post_terminal_margin_width_px,post_terminal_margin_width_share,post_terminal_margin_area_share,source_image,overlay,box_basis,segmentation_verdict,confidence,limit
H-444,+241-220-032-002-861+,bare_closure,<END>,closure,241 220 032,220 032,Harappa|SEAL:S|Bull1:W|square,bare_terminal_edge_visible,quantified,700,338,,,,,,,270,0.386,28,0.040,0.036,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H444_non240_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\H444_bare_edge_overlay.png,bare_edge_source_controls,bare_terminal_edge_visible,existing_box,"bare margin comes from existing source-control overlay, not a fresh blind recut"
M-15,+090-740-176-002-861+,bare_closure,<END>,closure,090 740 176,740 176,Mohenjo-daro|SEAL:S|Bull1:W|square,bare_terminal_edge_visible,quantified,860,290,,,,,,,335,0.390,45,0.052,0.051,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M15_signband_cisi_india_n046.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M15_bare_edge_overlay.png,bare_edge_source_controls,bare_terminal_edge_visible,existing_box,"bare margin comes from existing source-control overlay, not a fresh blind recut"
M-77,+832-390-803-002-861+,bare_closure,<END>,closure,832 390 803,390 803,Mohenjo-daro|SEAL:S|Bull1:W|square,bare_terminal_edge_visible,quantified,750,280,,,,,,,330,0.440,42,0.056,0.055,C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\derived\M77_impression_a_signband_v3_from_cisi_india_n68.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M77_bare_edge_overlay.png,bare_edge_source_controls,bare_terminal_edge_visible,existing_box,"bare margin comes from existing source-control overlay, not a fresh blind recut"
M-91,+740-100-798-220-032-002-861-255-416+,tailed,255 416,fixed_pair,740 100 798 220 032,220 032,Mohenjo-daro|SEAL:S|Bull1:S|square,same_line_singleton_candidate_present,quantified,450,275,195,0.433,0.394,255,0,0.000,,,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M91_impression_a_signband_from_cisi_india_n071.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M91_255_416_source_token_attachment_overlay.png,source_token_attachment_tail_window,same_line_singleton_candidate_present,medium_low,This is a singleton and the public crop is low resolution; it cannot carry a repeated-tail model by itself.
M-118,+740-772-033-705-233-803-002-861+,bare_closure,<END>,closure,740 772 033 705 233 803,233 803,Mohenjo-daro|SEAL:S|Bull1:W|square,bare_terminal_edge_visible,quantified,605,265,,,,,,,250,0.413,35,0.058,0.057,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M118_signband_cisi_india_n076.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M118_bare_edge_overlay.png,bare_edge_source_controls,bare_terminal_edge_visible,existing_box,"bare margin comes from existing source-control overlay, not a fresh blind recut"
M-240,+520-240-220-032-002-861-603+,tailed,603,simple_single,520 240 220 032,220 032,Mohenjo-daro|SEAL:S|Gaur|square,same_line_candidate_present,quantified,420,250,120,0.286,0.263,275,0,0.000,,,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M240_impression_a_signband_from_cisi_india_n095.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M240_603_source_token_attachment_overlay.png,source_token_attachment_tail_window,same_line_candidate_present,medium,"The crop supports attachment/continuity, not exact sign identity or direction policy."
M-355,+740-877-032-033-705-231-235-002-861-360-520-919-140+,tailed,360 520 919 140,long_continuation,740 877 032 033 705 231 235,231 235,Mohenjo-daro|SEAL:R|None|cuboid-convex,source_visible_this_campaign,quantified_tail_hidden_recut,1330,285,525,0.395,0.339,,0,0.000,,,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_533717_register_controls\M355_obv_A_register_control.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_terminal_space_recut_v2\M355_terminal_recut_overlay.png,tail_hidden_manual_recut_long_continuation_window,same_line_long_terminal_continuation_source_visible,medium,long continuation window is source-visible but exact 861|tail token boundaries remain catalog-mediated
M-376,+740-100-176-002-861-533-717+,tailed,533 717,fixed_pair,740 100 176,100 176,Mohenjo-daro|SEAL:R|None|cuboid-convex,same_line_candidate_present,quantified,730,235,265,0.363,0.332,210,0,0.000,,,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M376_impression_a_cisi_india_n129.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M376_533_717_source_token_attachment_overlay.png,source_token_attachment_tail_window,same_line_candidate_present,medium,Exact 861/533/717 boundaries remain catalog-mediated; this is not a source-normalized sign identification.
M-391,+405-845-686-740-793-003-233-805-002-861-533-717+,tailed,533 717,fixed_pair,405 845 686 740 793 003 233 805,233 805,Mohenjo-daro|SEAL:R|None|cuboid-convex,same_line_candidate_present_long_row,quantified,800,165,265,0.331,0.311,210,0,0.000,,,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M391_impression_a_cisi_india_n131.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M391_533_717_source_token_attachment_overlay.png,source_token_attachment_tail_window,same_line_candidate_present_long_row,medium_low,Long-row crowding and scan blur block a stronger token-boundary claim.
M-714,+740-585-017-033-705-233-798-803-002-861-603+,tailed,603,simple_single,740 585 017 033 705 233 798 803,798 803,Mohenjo-daro|SEAL:S|Bull1:W|square,same_line_candidate_present_crowded,quantified,1270,245,225,0.177,0.166,250,25,0.020,,,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M714_impression_a_cisi_pakistan_n079.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M714_603_source_token_attachment_overlay.png,source_token_attachment_tail_window,same_line_candidate_present_crowded,medium_low,Good enough to keep the 603 row in the source-visible set; not good enough to accept exact 861/603 boundaries.
