date,packet_id,blind_id,cisi,source_view,role,truth_class,target_text,expected_token_count,source_crop,enhanced_crop,masked_ocr_word_boxes,blind_image_sha256,source_note,accepted_claims_increment
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_001,M-1458,cisi_pakistan_n234_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-004-001-617-142+,5,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1458_cisi_pakistan_n234_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1458_cisi_pakistan_n234_label_masked_context_enhanced_x2.png,3,de7a68d3eb320b9073b40b11e316274f3187a62659760ab6ed0c3290663d0849,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_002,M-171,cisi_india_n85_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-061-740-923-233-806-060-692+,8,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_171_cisi_india_n85_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_171_cisi_india_n85_label_masked_context_enhanced_x2.png,5,9a5f24819b4f4b5c664e8ec0ada8e8b29a68de26d0282560171676d014e2b8be,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_003,M-1273,impression_a_existing_hard_negative,external_stress_control,m70_hard_negative_002_y_prev_not_032_suffix_control,+740-055-002-861-603+,5,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1273_impression_a_existing_hard_negative_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1273_impression_a_existing_hard_negative_enhanced_x2.png,0,e4b6f34d1e6aa577be4a517329ba7c0073fede9a26f7ad55e65acd3ccbc3b41f,Existing hard negative from prior M-70 packet.,0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_004,M-1320,A_diagnostic_v1_failed,primary_target_recut,tier1_route_candidate_v1_target_overcount_failure,+527-555-231-240-798+,5,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1320_A_diagnostic_v1_failed_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1320_A_diagnostic_v1_failed_enhanced_x2.png,0,35ca34a5688ca986410ee30420288f3151d0e867092815a278439da44c386e3f,"Fresh raw-page crop retained as a primary target under the forger protocol, but v1 overcount makes it a high-risk failure witness.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_005,M-376,impression_a_existing_hard_negative,external_stress_control,m70_hard_negative_002_y_prev_not_032_suffix_control,+740-100-176-002-861-533-717+,7,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_376_impression_a_existing_hard_negative_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_376_impression_a_existing_hard_negative_enhanced_x2.png,0,23dbf286add695ed53040a939c16668bc209edbc878970e485713f3bb0f783e4,Existing hard negative from prior M-70 packet.,0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_006,M-381,panel_existing_stress_negative,external_stress_control,existing_segmentation_instability_stress_control,+740-055-220-032-798-002-820+,7,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_381_panel_existing_stress_negative_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_381_panel_existing_stress_negative_enhanced_x2.png,0,1cbea0de2cd0d4e2b66df7e8635317e2128cb196f1f8b2d6a5d5f45fb08e005e,Existing no-overlay stress control; prior blind reviews found segmentation instability.,0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_007,SYN-LEAK-2,synthetic_label_leak_sentinel,synthetic_leak_sentinel_auxiliary,auxiliary_control_not_real_negative_denominator,,0,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/SYN_LEAK_2_synthetic_label_leak_sentinel_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/SYN_LEAK_2_synthetic_label_leak_sentinel_enhanced_x2.png,0,edd633a8c1f3d3191295df5f4b9c038a6db5e99ef7aed0abf2696dfec2e67c07,Deliberate fake metadata leak sentinel. Reviewers must flag label_leak=yes; never counts toward the real-negative denominator.,0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_008,M-527,cisi_india_n167_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+001-740-923-033-706+,5,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_527_cisi_india_n167_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_527_cisi_india_n167_label_masked_context_enhanced_x2.png,2,586271c8b335284f0c865c2ffe6d9998b283abdc2397ca03a25cd0f36b7bdc0c,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_009,H-665,cisi_pakistan_n343_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-004-060-692+,4,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/H_665_cisi_pakistan_n343_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/H_665_cisi_pakistan_n343_label_masked_context_enhanced_x2.png,5,25cad6362f549d5c8520d0b3b7201588457945cffa56b718f26cd0266d549529,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_010,M-365,cisi_india_n126_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+527-550-033-705-220-415-060-550+,8,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_365_cisi_india_n126_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_365_cisi_india_n126_label_masked_context_enhanced_x2.png,2,83494830d23624c33fb6b173e06270e8896814a180c37303d8ee8d52e3e1560e,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
