"request_tier","cisi","type","site","row_count_in_packet","sides","priority","short_side_texts","short_orders","side_relations","longer_texts","group_signature","raw_ids","excavation_ids","horizontal_mm","vertical_mm","thickness_mm","source_found","source_citation","image_or_plate_id","image_resolution_or_quality","catalog_rows_distinct_physical_sides","side_order_basis","image_direction_basis","short_mark_verified","longer_text_verified","sign_033_034_contrast_visible","relation_survives_image_check","validation_outcome","notes","allowed_validation_outcomes","interpretation_status"
"tier_1_033_after_with_400_740_176","H-233","TAB:B","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","1260.1;1260.2","12544387","26.7","0","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-309","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","1331.1;1331.2","2056(1)","8.9","6.4","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-316","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","1338.1;1338.2","2480","14.5","7.1","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-353","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","1372.1;1372.2","1348","15.2","6.4","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-355","TAB:I","Harappa","2","3","P1_033_after_with_400_740_176","2:+700-033+|3:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+|3:+700-033+","1374.1;1374.2;1374.3","1274","15.5","5.8","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-357","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","1376.1;1376.2","2917","11.9","8.1","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-935","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","1815.1;1815.2","1280509","10.2","6.4","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-978","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","1855.1;1855.2","1277","15.2","6.4","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-1302","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4073.1;4073.2","2366","14","6.4","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-1303","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4077.1;4077.2","2357879","13.2","7.6","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-1304","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","5470.1;5470.2","2480","14.5","0","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-1344","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4085.1;4085.2","-752","14","8","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-1345","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4086.1;4086.2","3509902","14.5","6.4","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-1346","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4087.1;4087.2","2894900","10.2","6.4","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_033_after_with_400_740_176","H-1347","TAB:I","Harappa","1","2","P1_033_after_with_400_740_176","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4088.1;4088.2","1262896","0","7.6","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_034_before_with_400_740_176","H-933","TAB:I","Harappa","1","2","P1_034_before_with_400_740_176","1:+034-700+","034:700_last","short_before_all_longer","+400-740-176+","1:+034-700+|2:+400-740-176+","1813.1;1813.2","G252","14","8","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
"tier_1_034_before_with_400_740_176","H-960","TAB:I","Harappa","1","2","P1_034_before_with_400_740_176","1:+700-034+","034:700_first","short_before_all_longer","+400-740-176+","1:+700-034+|2:+400-740-176+","1837.1;1837.2","1261543","10.2","7.6","0","","","","","","","","","","","","","","passes_source_check;fails_side_relation;fails_segmentation;fails_033_034_contrast;direction_unresolved;source_unavailable","manual_plate_request_only_no_reading"
