"id","cisi","site","type","material","shape","condition","complete","dir","class","text","signs","length","occurrence_index","prev2","prev1","sign","next1","next2","before_pair","after_pair","tail_after_032","terminal","tail_string","category","after_220","a_before_220","strict_closed","damaged_or_open","has_slash"
"18.1","-","Bakkar Buthi","POT:T:g","Clay","-","Poor","Y","R/L","IM","+405-844-032-840-002-861+","405-844-032-840-002-861","6","2","405","844","032","840","002","405-844","840-002","3","false","840-002-861","outside_a_220_x_032","false","","true","false","false"
"62.1","C-65","Chanhu-daro","SEAL:S","Steatite","square","Good","N","R/L","??","+000-100-240-220-032-002-861+","000-100-240-220-032-002-861","7","4","240","220","032","002","861","240-220","002-861","2","false","002-861","target_240_220_032","true","240","true","false","false"
"64.1","C-54","Chanhu-daro","SEAL:S","Steatite","square","Good","Y","R/L","LC","+842-032-031-592-031-060-920+","842-032-031-592-031-060-920","7","1","<START>","842","032","031","592","<START>-842","031-592","5","false","031-592-031-060-920","outside_a_220_x_032","false","","true","false","false"
"69.1","C-60","Chanhu-daro","SEAL:S","Steatite","square","Good","Y","R/L","SP","+740-176-032-002-861+","740-176-032-002-861","5","2","740","176","032","002","861","740-176","002-861","2","false","002-861","outside_a_220_x_032","false","","true","false","false"
"70.1","C-70","Chanhu-daro","SEAL:S","Steatite","square","Fair","Y","R/L","2L","+032-031/151-740-240-235+","032-031-151-740-240-235","6","0","<START>","<START>","032","031","151","<START>-<START>","031-151","5","false","031-151-740-240-235","outside_a_220_x_032","false","","true","false","true"
"71.1","C-53","Chanhu-daro","SEAL:S","Steatite","square","Fair","Y","R/L","2L","+032-031/740-222-235-002-861+","032-031-740-222-235-002-861","7","0","<START>","<START>","032","031","740","<START>-<START>","031-740","6","false","031-740-222-235-002-861","outside_a_220_x_032","false","","true","false","true"
"72.1","C-76","Chanhu-daro","SEAL:S","Steatite","square","Fair","Y","R/L","2L","+032-031/850-032-530-740-741-456+","032-031-850-032-530-740-741-456","8","0","<START>","<START>","032","031","850","<START>-<START>","031-850","7","false","031-850-032-530-740-741-456","outside_a_220_x_032","false","","true","false","true"
"72.1","C-76","Chanhu-daro","SEAL:S","Steatite","square","Fair","Y","R/L","2L","+032-031/850-032-530-740-741-456+","032-031-850-032-530-740-741-456","8","3","031","850","032","530","740","031-850","530-740","4","false","530-740-741-456","outside_a_220_x_032","false","","true","false","true"
"73.1","C-68","Chanhu-daro","SEAL:S","Steatite","square","Poor","Y","R/L","2L","+032-031/740-791-713+","032-031-740-791-713","5","0","<START>","<START>","032","031","740","<START>-<START>","031-740","4","false","031-740-791-713","outside_a_220_x_032","false","","true","false","true"
"74.1","C-58","Chanhu-daro","SEAL:S","Steatite","square","Poor","Y","R/L","2L","+032-031/740-222-235-002-861+","032-031-740-222-235-002-861","7","0","<START>","<START>","032","031","740","<START>-<START>","031-740","6","false","031-740-222-235-002-861","outside_a_220_x_032","false","","true","false","true"
