"dataset","category","tail_class","y_after_002","y_terminal","post_y_string","next002","core_tail_861_820_817","core_terminal_tail","terminal","before_pair","prev2","prev1","next1","next2","after_pair","tail_string","tail_after_032","text","occurrence_index","row_count","id","ids","cisi","cisis","site","sites","type","types","material","materials","has_slash"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","405-844","405","844","840","002","840-002","840-002-861","3","+405-844-032-840-002-861+","2",,"18.1",,"-",,"Bakkar Buthi",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","target_240_220_032","a_220_032_002_core_tail","861","True","<END>","True","True","True","False","240-220","240","220","002","861","002-861","002-861","2","+000-100-240-220-032-002-861+","4",,"62.1",,"C-65",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-842","<START>","842","031","592","031-592","031-592-031-060-920","5","+842-032-031-592-031-060-920+","1",,"64.1",,"C-54",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_002_core_tail","861","True","<END>","True","True","True","False","740-176","740","176","002","861","002-861","002-861","2","+740-176-032-002-861+","2",,"69.1",,"C-60",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","031","151","031-151","031-151-740-240-235","5","+032-031/151-740-240-235+","0",,"70.1",,"C-70",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","031","740","031-740","031-740-222-235-002-861","6","+032-031/740-222-235-002-861+","0",,"71.1",,"C-53",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","031","850","031-850","031-850-032-530-740-741-456","7","+032-031/850-032-530-740-741-456+","0",,"72.1",,"C-76",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","031-850","031","850","530","740","530-740","530-740-741-456","4","+032-031/850-032-530-740-741-456+","3",,"72.1",,"C-76",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","031","740","031-740","031-740-791-713","4","+032-031/740-791-713+","0",,"73.1",,"C-68",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","031","740","031-740","031-740-222-235-002-861","6","+032-031/740-222-235-002-861+","0",,"74.1",,"C-58",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-740","<START>","740","840","002","840-002","840-002-296-530-000","5","+740-032-840-002-296-530-000+","1",,"82.1",,"C-57",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","151-690","151","690","031","<END>","031-<END>","031","1","+151-690/032-031+","2",,"88.1",,"C-77",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","non240_a_220_032","a_220_032_002_core_tail","817","True","<END>","True","True","True","False","231-220","231","220","002","817","002-817","002-817","2","+740-231-220-032-002-817+","3",,"98.1",,"C-10",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","440-390","440","390","368","390","368-390","368-390-790","3","+440-390-032/368-390-790+","2",,"109.1",,"C-22",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","128-702","128","702","226","032","226-032","226-032-013-480-850","5","+390-128-702-032/226-032-013-480-850+","3",,"111.1",,"C-24",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","032-226","032","226","013","480","013-480","013-480-850","3","+390-128-702-032/226-032-013-480-850+","5",,"111.1",,"C-24",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","031","740","031-740","031-740-384-032-000-000-840-634-032","9","+032-031-740-384-032/000-000-840-634-032+","0",,"112.1",,"C-29",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","740-384","740","384","000","000","000-000","000-000-840-634-032","5","+032-031-740-384-032/000-000-840-634-032+","4",,"112.1",,"C-29",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","840-634","840","634","<END>","<END>","<END>","<END>","0","+032-031-740-384-032/000-000-840-634-032+","9",,"112.1",,"C-29",,"Chanhu-daro",,"SEAL:S",,"Steatite",,"true"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","031","390","031-390","031-390-844-000-000-032-803-220","8","+032-031-390-844-000-000-032-803-220+","0",,"116.1",,"C-34",,"Chanhu-daro",,"TAB:B",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","000-000","000","000","803","220","803-220","803-220","2","+032-031-390-844-000-000-032-803-220+","6",,"116.1",,"C-34",,"Chanhu-daro",,"TAB:B",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_002_other_tail","892","False","740","True","False","False","False","<START>-394","<START>","394","002","892","002-892","002-892-740","3","+394-032-002-892-740+","1",,"125.1",,"Dlp-3",,"Desalpur",,"TAG",,"-",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","151-892","151","892","<END>","<END>","<END>","<END>","0","+151-892-032+","2",,"127.1",,"-",,"Dholavira",,"SEAL:S",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","407-790","407","790","<END>","<END>","<END>","<END>","0","+590-407-790-032+","3",,"135.1",,"-",,"Dholavira",,"SEAL:R",,"Clay",,"false"
"strict_occurrence","non240_a_220_032","a_220_032_terminal","","False","","False","False","False","True","<START>-220","<START>","220","<END>","<END>","<END>","<END>","0","+220-032+","1",,"151.1",,"-",,"Farmana",,"SEAL:S",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-824","<START>","824","578","415","578-415","578-415","2","+824-032-578-415+","1",,"222.1",,"H-1354",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-400","<START>","400","000","<END>","000-<END>","000","1","+400-032-000+","1",,"226.2",,"H-1119",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","904-001","904","001","<END>","<END>","<END>","<END>","0","+740-031-904-001-032+","4",,"228.1",,"-",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","031-000","031","000","<END>","<END>","<END>","<END>","0","+700-031-000-032+","3",,"228.2",,"-",,"Harappa",,"TAB:I",,"Steatite",,"false"
