checked_date,object,row_id,site,type,head,x,terminal,next1,tail,text
2026-05-31,Ad-8,13.1,Allahdino,MISC,861,000,true,<END>,<END>,+740-440-503-002-861-000+
2026-05-31,Blk-1,19.1,Bala-kot,SEAL:S,297,350,false,125,125-413,+226-003-002-297-350-125-413+
2026-05-31,Blk-2,20.1,Bala-kot,SEAL:S,368,634,true,<END>,<END>,+390-717-061-002-368-634+
2026-05-31,B-1,27.1,Banawali,SEAL:S,368,550,false,821,821,+090-740-220-002-368-550-821+
2026-05-31,B-17,37.1,Banawali,SEAL:S,308,072,true,<END>,<END>,+236-002-308-072+
2026-05-31,C-71,78.1,Chanhu-daro,SEAL:S,906,003,true,<END>,<END>,+000-000-000/000-861-002-906-003+
2026-05-31,C-57,82.1,Chanhu-daro,SEAL:S,296,530,false,000,000,+740-032-840-002-296-530-000+
2026-05-31,C-1,89.1,Chanhu-daro,SEAL:S,365,287,false,034,034,+031-840-140-740-101-002-365-287-034+
2026-05-31,C-3,91.1,Chanhu-daro,SEAL:S,920,317,true,<END>,<END>,+740-016-002-920-317+
2026-05-31,C-5,93.1,Chanhu-daro,SEAL:S,298,741,true,<END>,<END>,+740-140-717-002-298-741+
2026-05-31,C-6,94.1,Chanhu-daro,SEAL:S,031,500,true,<END>,<END>,+817-521-521/090-740-221-002-031-500+
2026-05-31,Dlp-3,125.1,Desalpur,TAG,892,740,true,<END>,<END>,+394-032-002-892-740+
2026-05-31,-:216.1,216.1,Baror,SEAL:S,257,550,true,<END>,<END>,+000-000-002-257-550+
2026-05-31,H-1038,256.1,Harappa,SEAL:S,297,000,true,<END>,<END>,+740-519-002-297-000[
2026-05-31,H-1033,293.1,Harappa,SEAL:S,862,032,true,<END>,<END>,+220-500-520-002-862-032+
2026-05-31,H-2016,370.1,Harappa,TAB:B,920,491,true,<END>,<END>,+317-740-335-740-176-002-920-491+
2026-05-31,H-1874,388.2,Harappa,TAB:B,220,455,false,000,000,+002-220-455-000+
2026-05-31,H-2094,476.2,Harappa,TAB:I,861,416,true,<END>,<END>,+002-861-416+
2026-05-31,H-2097,488.2,Harappa,TAB:I,861,416,true,<END>,<END>,+002-861-416+
2026-05-31,H-1671,513.1,Harappa,SEAL:S,455,420,false,032,032,+740-061-002-455-420-032+
2026-05-31,H-2095,518.2,Harappa,TAB:I,861,416,true,<END>,<END>,+002-861-416+
2026-05-31,-:543.1,543.1,Harappa,POT:T:g,003,861,true,<END>,<END>,+000-480-003-064-002-003-861+
2026-05-31,H-2338,604.1,Harappa,POT:T:g,575,000,true,<END>,<END>,]740-061-002-575-000[
2026-05-31,-:617.1,617.1,Harappa,POT:T:g,575,000,true,<END>,<END>,]740-000-000-002-575-000[
2026-05-31,-:621.1,621.1,Harappa,TAB:I,861,416,true,<END>,<END>,+002-861-416+
2026-05-31,H-1706,623.1,Harappa,SEAL:R,293,360,true,<END>,<END>,+405-003-002-293-360+
2026-05-31,H-2096,665.2,Harappa,TAB:I,861,416,true,<END>,<END>,+002-861-416+
2026-05-31,H-1993,744.2,Harappa,TAB:B,390,095,true,<END>,<END>,+740-000-220-004-002-390-095+
2026-05-31,H-1657,1020.1,Harappa,SEAL:S,690,921,true,<END>,<END>,+740-405-590-032-900-003-806-235-220-032-002-690-921+
2026-05-31,H-3,1064.1,Harappa,SEAL:S,611,615,false,703,703,+740-585-017-002-611-615-703+
2026-05-31,H-8,1069.1,Harappa,SEAL:S,690,921,true,<END>,<END>,+354-001-740-405-590-033-706-002-690-921+
2026-05-31,H-22,1082.1,Harappa,SEAL:S,405,321,true,<END>,<END>,+740-920-320-233-806-002-405-321+
2026-05-31,H-31,1091.1,Harappa,SEAL:S,365,374,false,000,000,+740-100-415-240-002-365-374-000+
2026-05-31,H-44,1103.1,Harappa,SEAL:S,031,892,true,<END>,<END>,+520-033-706-235-798-803-002-031-892+
2026-05-31,H-55,1114.1,Harappa,SEAL:S,861,125,true,<END>,<END>,+390-004-002-861-125+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,390,072,true,<END>,<END>,+090-740-220-003-002-390-072+
2026-05-31,H-74,1132.1,Harappa,SEAL:S,610,125,false,032,032,+002-610-125-032+
2026-05-31,H-78,1135.1,Harappa,SEAL:S,575,000,true,<END>,<END>,]000-806-002-575-000+
2026-05-31,H-82,1139.1,Harappa,SEAL:S,220,455,false,741,741,+390-017-002-220-455-741+
2026-05-31,H-129,1170.1,Harappa,SEAL:R,861,244,false,165,165,+409-061-740-235-220-031-002-861-244-165+
2026-05-31,H-130,1171.1,Harappa,SEAL:R,595,812,false,125,125-717,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,H-131,1172.1,Harappa,SEAL:R,595,575,false,794,794-000,+740-032-840-233-240-033-706-055-002-595-575-794-000+
2026-05-31,H-141,1182.1,Harappa,SEAL:R,233,235,true,<END>,<END>,+405-032-900-003-070-002-233-235+
2026-05-31,H-252,1277.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-253,1278.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-254,1279.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-255,1280.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-256,1281.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-257,1282.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-258,1283.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-259,1284.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-260,1285.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-261,1286.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-262,1287.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-263,1288.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-264,1289.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
2026-05-31,H-265,1290.1,Harappa,TAB:B,405,501,true,<END>,<END>,+520-240-002-405-501+
