source_layer,target,x,term,volume,leaf,reader_url,page_image_url,context_class,context
local_text_file,H-823,636,H-823,,,,,local_context,"C:/Users/Acer/OneDrive/Documents/ivc/tmp/lipi_current_inscriptions_20260526.csv: ft,-,Faience,White,crescent,-,complete,None,None,TAB:B,1,Poor,N,-,??,4,2,0.8,,,20.3,0,2.3 - 6.4,+000-740-861-000+ 1710.1,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,VN,2,2,,,,23,14,0,+700-033+,ref:212.1 1710.2,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,SP,5,5,,,,23,14,0,+740-642-240-001-692+,kA-mattam,""The Roaring[√कै अच्] Overjoyed one[AV]"" 1711.1,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,VN,2,2,,,,24,11.5,0,+700-033+,ref:212.1 1711.2,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,SP,5,5,,,,24,11.5,0,+740-642-240-001-692+,ref:1710.2 1712.1, [[H-823]] ,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,VN,2,2,,,,23.5,11,0,+700-034+,ref:198.2 1712.2,H-823,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,SP,5,5,,,,23.5,11,0,+740-636-240-060-692+,ref:424.2 1713.1,H-1741,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4460Figure 70.01,Period 3C,3,C,0 -,-,Terracotta,-,-,-,fragment,None,None,TAG,1,Poor,N,R/L,??,1,0,,,,0,0,0,+000+ 1714.1,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,3+?,3,,,,0,10.5,0,]240-060-692+ 1714.2,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,2+?,2,,,,0,10.5,0,]033-700+ 1715.1,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,2,2,,,,0,0,0,+368-817+,ref:57.1 1715.2,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,-"
local_text_file,H-823,636,H-823,,,,,local_context,"C:/Users/Acer/OneDrive/Documents/ivc/tmp/lipi_current_inscriptions_20260526.csv: 6.4,+000-740-861-000+ 1710.1,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,VN,2,2,,,,23,14,0,+700-033+,ref:212.1 1710.2,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,SP,5,5,,,,23,14,0,+740-642-240-001-692+,kA-mattam,""The Roaring[√कै अच्] Overjoyed one[AV]"" 1711.1,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,VN,2,2,,,,24,11.5,0,+700-033+,ref:212.1 1711.2,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,SP,5,5,,,,24,11.5,0,+740-642-240-001-692+,ref:1710.2 1712.1,H-823,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,VN,2,2,,,,23.5,11,0,+700-034+,ref:198.2 1712.2, [[H-823]] ,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,SP,5,5,,,,23.5,11,0,+740-636-240-060-692+,ref:424.2 1713.1,H-1741,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4460Figure 70.01,Period 3C,3,C,0 -,-,Terracotta,-,-,-,fragment,None,None,TAG,1,Poor,N,R/L,??,1,0,,,,0,0,0,+000+ 1714.1,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,3+?,3,,,,0,10.5,0,]240-060-692+ 1714.2,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,2+?,2,,,,0,10.5,0,]033-700+ 1715.1,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,2,2,,,,0,0,0,+368-817+,ref:57.1 1715.2,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,3,3,,,,0,0,0,+740-032-840+,ref:535.1 1716.1,H-827,Inter-Riverine,Harappa,--,--,--,-,-,-,-,-"
local_text_file,H-823,636,+740-636-240-060-692+,,,,,local_context,"C:/Users/Acer/OneDrive/Documents/ivc/tmp/lipi_current_inscriptions_20260526.csv: ft,-,Steatite,White,prism,triangular,complete,Bult,None,TAB:I,2,Poor,Y,L/R,MT,3,3,0.6,0.2,,15.2,5.1,0,+526-550-220+,ref:945.2 1378.2,H-359,Inter-Riverine,Harappa,FTrench I,--,-M12/17,12540580,Period 3B/C,-,Stratum V,-14.5 ft,-,Steatite,White,prism,triangular,complete,Bult,None,TAB:I,2,Poor,Y,R/L,VN,2,2,0.6,0.2,,15.2,5.1,0,+032-700+,ref:409.1 1379.1,H-360,Inter-Riverine,Harappa,FTrench I,--,-M11/12,3508584,Period 3B/C,-,Stratum V,-13.5 ft,-,Steatite,White,prism,triangular,complete,Bult,None,TAB:I,2,Good,Y,R/L,SC,4,4,0.65,0.24,,16.5,6.1,0,+824-032-578-415+,ref:222.1 1379.2,H-360,Inter-Riverine,Harappa,FTrench I,--,-M11/12,3508584,Period 3B/C,-,Stratum V,-13.5 ft,-,Steatite,White,prism,triangular,complete,Bult,None,TAB:I,2,Good,Y,R/L,SP,5,5,0.65,0.24,,16.5,6.1,0, [[+740-636-240-060-692+]] ,ref:424.2 1380.1,H-361,Inter-Riverine,Harappa,--,--,--,13508,-,-,-,- -,-,-,-,prism,triangular,slightly chipped,Bult,None,TAB:I,2,Poor,N,R/L,??,4,1,,,,14,0,0,+740-000-000-000+ 1380.2,H-361,Inter-Riverine,Harappa,--,--,--,13508,-,-,-,- -,-,-,-,prism,triangular,slightly chipped,Bult,None,TAB:I,2,Poor,Y,R/L,VN,2,2,,,,14,0,0,+700-032+,ref:39.1 1381.1,H-362,Inter-Riverine,Harappa,FTrench IV+V,--,-I12/5,11371,Period 3C-1,-,Stratum IV,-10.6 ft,-,Steatite,White,prism,triangular,complete,Bult,None,TAB:I,2,Fair,Y,R/L,SS,3,3,0.5,0.25,,12.7,6.4,0,+740-760-797+,asrAn,""tears[RV] (of/by Śiva)"" 1381.2,H-362,Inter-Riverine,Harappa,FTrench IV+V,--,-I12/5,11371,Period"
local_text_file,H-823,636,+740-636-240-060-692+,,,,,local_context,"C:/Users/Acer/OneDrive/Documents/ivc/tmp/lipi_current_inscriptions_20260526.csv: 1710.1,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,VN,2,2,,,,23,14,0,+700-033+,ref:212.1 1710.2,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,SP,5,5,,,,23,14,0,+740-642-240-001-692+,kA-mattam,""The Roaring[√कै अच्] Overjoyed one[AV]"" 1711.1,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,VN,2,2,,,,24,11.5,0,+700-033+,ref:212.1 1711.2,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,SP,5,5,,,,24,11.5,0,+740-642-240-001-692+,ref:1710.2 1712.1,H-823,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,VN,2,2,,,,23.5,11,0,+700-034+,ref:198.2 1712.2,H-823,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,SP,5,5,,,,23.5,11,0, [[+740-636-240-060-692+]] ,ref:424.2 1713.1,H-1741,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4460Figure 70.01,Period 3C,3,C,0 -,-,Terracotta,-,-,-,fragment,None,None,TAG,1,Poor,N,R/L,??,1,0,,,,0,0,0,+000+ 1714.1,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,3+?,3,,,,0,10.5,0,]240-060-692+ 1714.2,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,2+?,2,,,,0,10.5,0,]033-700+ 1715.1,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,2,2,,,,0,0,0,+368-817+,ref:57.1 1715.2,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,3,3,,,,0,0,0,+740-032-840+,ref:535.1 1716.1,H-827,Inter-Riverine,Harappa,--,--,--,-,-,-,-,- -,-,-,-,cylindrical,round,complete,None,None,TAB:B,2,Poor,Y,R/L,VN,2,2,,,,18,0,0,+700-033+,ref:212.1"
local_text_file,H-823,636,H-823,,,,,local_context,"C:/Users/Acer/OneDrive/Documents/ivc/tmp/lipi_current_inscriptions_20260526.csv: ft,-,Faience,White,crescent,-,complete,None,None,TAB:B,1,Poor,N,-,??,4,2,0.8,,,20.3,0,2.3 - 6.4,+000-740-861-000+ 1710.1,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,VN,2,2,,,,23,14,0,+700-033+,ref:212.1 1710.2,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,SP,5,5,,,,23,14,0,+740-642-240-001-692+,kA-mattam,""The Roaring[√कै अच्] Overjoyed one[AV]"" 1711.1,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,VN,2,2,,,,24,11.5,0,+700-033+,ref:212.1 1711.2,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,SP,5,5,,,,24,11.5,0,+740-642-240-001-692+,ref:1710.2 1712.1, [[H-823]] ,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,VN,2,2,,,,23.5,11,0,+700-034+,ref:198.2 1712.2,H-823,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,SP,5,5,,,,23.5,11,0,+740-636-240-060-692+,ref:424.2 1713.1,H-1741,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4460Figure 70.01,Period 3C,3,C,0 -,-,Terracotta,-,-,-,fragment,None,None,TAG,1,Poor,N,R/L,??,1,0,,,,0,0,0,+000+ 1714.1,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,3+?,3,,,,0,10.5,0,]240-060-692+ 1714.2,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,2+?,2,,,,0,10.5,0,]033-700+ 1715.1,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,2,2,,,,0,0,0,+368-817+,ref:57.1 1715.2,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,-"
local_text_file,H-823,636,H-823,,,,,local_context,"C:/Users/Acer/OneDrive/Documents/ivc/tmp/lipi_current_inscriptions_20260526.csv: 6.4,+000-740-861-000+ 1710.1,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,VN,2,2,,,,23,14,0,+700-033+,ref:212.1 1710.2,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,SP,5,5,,,,23,14,0,+740-642-240-001-692+,kA-mattam,""The Roaring[√कै अच्] Overjoyed one[AV]"" 1711.1,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,VN,2,2,,,,24,11.5,0,+700-033+,ref:212.1 1711.2,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,SP,5,5,,,,24,11.5,0,+740-642-240-001-692+,ref:1710.2 1712.1,H-823,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,VN,2,2,,,,23.5,11,0,+700-034+,ref:198.2 1712.2, [[H-823]] ,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,SP,5,5,,,,23.5,11,0,+740-636-240-060-692+,ref:424.2 1713.1,H-1741,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4460Figure 70.01,Period 3C,3,C,0 -,-,Terracotta,-,-,-,fragment,None,None,TAG,1,Poor,N,R/L,??,1,0,,,,0,0,0,+000+ 1714.1,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,3+?,3,,,,0,10.5,0,]240-060-692+ 1714.2,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,2+?,2,,,,0,10.5,0,]033-700+ 1715.1,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,2,2,,,,0,0,0,+368-817+,ref:57.1 1715.2,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,3,3,,,,0,0,0,+740-032-840+,ref:535.1 1716.1,H-827,Inter-Riverine,Harappa,--,--,--,-,-,-,-,-"
local_text_file,H-823,636,H88-1196,,,,,local_context,"C:/Users/Acer/OneDrive/Documents/ivc/tmp/lipi_current_inscriptions_20260526.csv: ft,-,Faience,White,crescent,-,complete,None,None,TAB:B,1,Poor,N,-,??,4,2,0.8,,,20.3,0,2.3 - 6.4,+000-740-861-000+ 1710.1,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,VN,2,2,,,,23,14,0,+700-033+,ref:212.1 1710.2,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,SP,5,5,,,,23,14,0,+740-642-240-001-692+,kA-mattam,""The Roaring[√कै अच्] Overjoyed one[AV]"" 1711.1,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,VN,2,2,,,,24,11.5,0,+700-033+,ref:212.1 1711.2,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,SP,5,5,,,,24,11.5,0,+740-642-240-001-692+,ref:1710.2 1712.1,H-823,Inter-Riverine,Harappa,--,--,--, [[H88-1196]] ,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,VN,2,2,,,,23.5,11,0,+700-034+,ref:198.2 1712.2,H-823,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,SP,5,5,,,,23.5,11,0,+740-636-240-060-692+,ref:424.2 1713.1,H-1741,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4460Figure 70.01,Period 3C,3,C,0 -,-,Terracotta,-,-,-,fragment,None,None,TAG,1,Poor,N,R/L,??,1,0,,,,0,0,0,+000+ 1714.1,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,3+?,3,,,,0,10.5,0,]240-060-692+ 1714.2,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,2+?,2,,,,0,10.5,0,]033-700+ 1715.1,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,2,2,,,,0,0,0,+368-817+,ref:57.1 1715.2,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,-"
local_text_file,H-823,636,H88-1196,,,,,local_context,"C:/Users/Acer/OneDrive/Documents/ivc/tmp/lipi_current_inscriptions_20260526.csv: 6.4,+000-740-861-000+ 1710.1,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,VN,2,2,,,,23,14,0,+700-033+,ref:212.1 1710.2,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Good,Y,L/R,SP,5,5,,,,23,14,0,+740-642-240-001-692+,kA-mattam,""The Roaring[√कै अच्] Overjoyed one[AV]"" 1711.1,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,VN,2,2,,,,24,11.5,0,+700-033+,ref:212.1 1711.2,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,-,fish,-,complete,None,None,TAB:B,2,Fair,Y,L/R,SP,5,5,,,,24,11.5,0,+740-642-240-001-692+,ref:1710.2 1712.1,H-823,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,VN,2,2,,,,23.5,11,0,+700-034+,ref:198.2 1712.2,H-823,Inter-Riverine,Harappa,--,--,--, [[H88-1196]] ,-,-,-,- -,-,-,-,rectangular,-,complete,None,None,TAB:B,2,Fair,Y,R/L,SP,5,5,,,,23.5,11,0,+740-636-240-060-692+,ref:424.2 1713.1,H-1741,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4460Figure 70.01,Period 3C,3,C,0 -,-,Terracotta,-,-,-,fragment,None,None,TAG,1,Poor,N,R/L,??,1,0,,,,0,0,0,+000+ 1714.1,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,3+?,3,,,,0,10.5,0,]240-060-692+ 1714.2,H-824,Inter-Riverine,Harappa,--,--,--,13564,-,-,-,- -,-,-,-,oval,-,fragment,None,None,TAB:B,2,Poor,?,R/L,UC,2+?,2,,,,0,10.5,0,]033-700+ 1715.1,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,2,2,,,,0,0,0,+368-817+,ref:57.1 1715.2,H-825,Inter-Riverine,Harappa,--,--,--,13358,-,-,-,- -,-,-,-,crescent,-,chipped,None,None,TAB:B,2,Poor,Y,R/L,SS,3,3,,,,0,0,0,+740-032-840+,ref:535.1 1716.1,H-827,Inter-Riverine,Harappa,--,--,--,-,-,-,-,-"
local_text_file,H-1845,642,H-1845,,,,,local_context,"C:/Users/Acer/OneDrive/Documents/ivc/tmp/lipi_current_inscriptions_20260526.csv: 54,--,--,H2000-4482Figure 42.10,Period 3B/C,3,B/C,- -,-,Faience,-,prism,triangular,complete,Bult,None,TAB:B,2,Good,Y,R/L,SS,3,3,,,,12.8,6.6,0,+740-384-031+,A-BAn,""O fully resplendent one[√भा शतृ]"" 423.1,H-1997,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4483Figure 39.09,Period 3B/C,3,B/C,- -,-,Faience,-,unusual,rectangular,complete,Mult,None,TAB:B,1,Good,Y,R/L,MT,4,4,,,,31.3,28,2.8,+400-740-176-235+,ama-SaniH,""The mighty[RV] Śiva[W]"" 424.1, [[H-1845]] ,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4484Figure 42.05,Period 3B/C,3,B/C,-0.0 m,-,Faience,Light brown,rectangular,rectangular,complete,None,None,TAB:B,2,Good,Y,R/L,VN,2,2,,,,23.6,11.5,3,+700-034+,ref:198.2 424.2,H-1845,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4484Figure 42.05,Period 3B/C,3,B/C,-0.0 m,-,Faience,Light brown,rectangular,rectangular,complete,None,None,TAB:B,2,Good,Y,R/L,SP,5,5,,,,23.6,11.5,3,+740-642-240-060-692+,kam maTan,""O excellent[TS] Destroyer[√मथ् शतृ]"""
local_text_file,H-1845,642,H-1845,,,,,local_context,"C:/Users/Acer/OneDrive/Documents/ivc/tmp/lipi_current_inscriptions_20260526.csv: one[√भा शतृ]"" 423.1,H-1997,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4483Figure 39.09,Period 3B/C,3,B/C,- -,-,Faience,-,unusual,rectangular,complete,Mult,None,TAB:B,1,Good,Y,R/L,MT,4,4,,,,31.3,28,2.8,+400-740-176-235+,ama-SaniH,""The mighty[RV] Śiva[W]"" 424.1,H-1845,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4484Figure 42.05,Period 3B/C,3,B/C,-0.0 m,-,Faience,Light brown,rectangular,rectangular,complete,None,None,TAB:B,2,Good,Y,R/L,VN,2,2,,,,23.6,11.5,3,+700-034+,ref:198.2 424.2, [[H-1845]] ,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4484Figure 42.05,Period 3B/C,3,B/C,-0.0 m,-,Faience,Light brown,rectangular,rectangular,complete,None,None,TAB:B,2,Good,Y,R/L,SP,5,5,,,,23.6,11.5,3,+740-642-240-060-692+,kam maTan,""O excellent[TS] Destroyer[√मथ् शतृ]"" 425.1,H-2125,Inter-Riverine,Harappa,ETrench 54,--,--,H2000-4485Figure 42.03,Period 3B/C,3,B/C,- -,-,Steatite,-,rectangular,rectangular,complete,None,None,TAB:I,2,Fair,Y,R/L,VN,2,2,,,,18.3,9,2.5,+700-033+,ref:212.1 425.2,H-2125,Inter-Riverine,Harappa,ETrench"
