"cisi","lipi_id","lipi_site","lipi_type","lipi_dir","lipi_text_length","lipi_signs","mayig_side_id","mayig_grapheme_count","count_diff_mayig_minus_lipi","count_match","primary_category","flags","status","lipi_text","mayig_graphemes"
"M-165","2212.1","Mohenjo-daro","SEAL:S","R/L","9","9","M-165A","9","0","True","count_match","lipi_compound_slash","candidate_with_sensitivity_flag","+817-740-194/740-760-001-741-390-032+","P324 P332 P121 P325 P086 P122 P385 P324 P076"
"M-1","2531.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-1A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+001-368-861-255-371+","P121 P202 P385 P073 P108"
"M-3","2532.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-3A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+717-032-521+","P320 P145 P094"
"M-4","2533.1","Mohenjo-daro","SEAL:S","R/L","9","9","M-4A","10","1","False","mayig_counts_more","","manual_count_disagreement","+298-465-033-705-231-002-564-617-033+","P205 P186 P147 P316 P056 P122 P237 P268 P268 P147"
"M-5","2534.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-5A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-773-240-235-060-692+","P324 P096 P062 P060 P120 P256"
"M-6","2535.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-6A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+820-880-065-244+","P378 P384 P201 P065"
"M-7","2536.1","Mohenjo-daro","SEAL:S","R/L","9","9","M-7A","11","2","False","mayig_counts_more","","manual_count_disagreement","+407-845-140-740-101-923-240-002-861+","P086 P352 P011 P324 P154 P009 P154 P175 P062 P122 P385"
"M-8","2537.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-8A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+706-140-632+","P316 P011 P270"
"M-9","2538.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-9A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+031-311-745+","P144 P205 P327"
"M-10","2539.1","Mohenjo-daro","SEAL:S","R/L","11","11","M-10A","10","-1","False","lipi_counts_more","","manual_count_disagreement","+405-061-070-032-033-706-235-806-002-267-455+","P086 P204 P114 P151 P316 P060 P364 P122 P067 P221"
"M-12","2540.1","Mohenjo-daro","SEAL:S","R/L","9","9","M-12A","9","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-390-590-233-002-368-202-892-371+","P324 P086 P276 P058 P122 P202 P386 P182 P108"
"M-13","2541.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-13A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+368-304-125+","P202 P205 P035"
"M-14","2542.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-14A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-776-503-002-817+","P324 P117 P210 P122 P385"
"M-15","2543.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-15A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+090-740-176-002-861+","P013 P324 P194 P122 P385"
"M-16","2544.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-16A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+820-130-035-171+","P378 P026 P151 P346"
"M-17","2545.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-17A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-016-002-814-560+","P086 P126 P122 P369 P232"
"M-18","2546.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-18A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+932-740-055+","P341 P324 P142"
"M-19","2547.1","Mohenjo-daro","SEAL:S","R/L","4+?","2","M-19A","3","1","False","lipi_boundary_fragment","lipi_boundary_fragment;lipi_unknown_zero;mayig_unknown_p000","manual_collation_required","]000-000-002-861+","P000 P122 P385"
"M-20","2548.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-20A","8","1","False","mayig_counts_more","","manual_count_disagreement","+390-005-002-861-036-460-513+","P086 P125 P122 P385 P147 P147 P215 P275"
"M-21","2549.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-21A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+350-001-740-362-692-032-002-861+","P091 P121 P324 P272 P256 P145 P122 P385"
"M-22","2550.1","Mohenjo-daro","SEAL:S","R/L","7+?","6","M-22A","7","1","False","lipi_boundary_fragment","lipi_boundary_fragment;lipi_unknown_zero;mayig_unknown_p000","manual_collation_required","+740-904-176-220-032-798-000[","P324 P172 P194 P050 P145 P230 P000"
"M-23","2551.1","Mohenjo-daro","SEAL:S","R/L","13","13","M-23A","13","0","True","count_match","lipi_compound_slash","candidate_with_sensitivity_flag","+842-871-192-368/740-482-060-692-520-220-235-001-920+","P324 P197 P120 P256 P217 P050 P060 P121 P160 P350 P390 P076 P202"
"M-24","2552.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-24A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+090-740-240-235-002-906-140+","P013 P324 P062 P060 P122 P174 P011"
