mode,constraint_id,family_key,satisfied_rows,violated_rows,majority,examples
carrier,400_before_740,Chanhu-daro|SEAL:S|Bull1:W|SAN|Steatite|square,0,1,violated,C-15:Chanhu-daro:SEAL:S:Bull1:W:+740-400-920-031+
carrier,400_before_740,Ganweriwala|TAB:B|Scene|NA|NA|rectangular,1,0,satisfied,-:156.1:Ganweriwala:TAB:B:Scene:+400-740-900[
carrier,400_before_740,Kalibangan|POT:T:g|NA|NA|Clay|NA,2,0,satisfied,K-411:Kalibangan:POT:T:g:NA:+400-740-000[ | K-417:Kalibangan:POT:T:g:NA:]400-740-055+
carrier,400_before_740,Harappa|TAB:B|NA|SAN|NA|cylindrical,1,0,satisfied,H-740:Harappa:TAB:B:NA:+400-740-100-176-000+
carrier,400_before_740,Harappa|SEAL:S|Bull1|NA|Steatite|square,1,0,satisfied,H-1056:Harappa:SEAL:S:Bull1:+400-090-740-220-003+
carrier,400_before_740,Harappa|SEAL:S|Bull1:I|SAN|Steatite|square,1,0,satisfied,H-1051:Harappa:SEAL:S:Bull1:I:+400-740-575-017-920-320-798-002-861+
carrier,400_before_740,Harappa|TAB:I|NA|NA|NA|oval,2,0,satisfied,H-1304:Harappa:TAB:I:NA:+400-740-176+ | H-1306:Harappa:TAB:I:NA:+400-740[
carrier,400_before_740,Harappa|TAB:I|Gavi|NA|Steatite|rectangular,1,0,satisfied,H-882:Harappa:TAB:I:Gavi:+400-740-760-605+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Faience|rectangular,11,0,satisfied,H-1102:Harappa:TAB:B:NA:+400-740-382+ | H-1800:Harappa:TAB:B:NA:+400-740-390-000[ | H-1832:Harappa:TAB:B:NA:+400-297-352-892-590-740-176+ | H-1850:Harappa:TAB:B:NA:+400-740-760-382+ | H-1836:Harappa:TAB:B:NA:+400-740-000-792+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Clay|cylindrical,2,0,satisfied,H-874:Harappa:TAB:B:NA:+400-740-455+ | H-783:Harappa:TAB:B:NA:+400-740-690-000+
carrier,400_before_740,Harappa|TAB:I|Bult|NA|Steatite|prism,3,0,satisfied,-:298.1:Harappa:TAB:I:Bult:+400-740-000-000+ | H-984:Harappa:TAB:I:Bult:+400-740-637[ | H-983:Harappa:TAB:I:Bult:+400-740-637-240+
carrier,400_before_740,Harappa|TAB:I|NA|NA|Steatite|rectangular,14,1,satisfied,H-1192:Harappa:TAB:I:NA:+400-740-767-220-416+ | H-917:Harappa:TAB:I:NA:+400-740-032-027+ | H-2108:Harappa:TAB:I:NA:+400-740-032-014+ | H-2103:Harappa:TAB:I:NA:]740-400-142+ | H-900:Harappa:TAB:I:NA:+400-740-817-491+
carrier,400_before_740,Harappa|POT:T:g|NA|NA|Clay|NA,0,2,violated,-:338.1:Harappa:POT:T:g:NA:+740-066-090-400[ | H-2334:Harappa:POT:T:g:NA:+090-740-400-000-000[
carrier,400_before_740,Harappa|TAB:B|Bull2|Te|Faience|prism,1,0,satisfied,H-1929:Harappa:TAB:B:Bull2:+400-740-061-140+
carrier,400_before_740,Harappa|TAB:B|Gaur|Trough|Faience|prism,1,0,satisfied,H-251:Harappa:TAB:B:Gaur:+400-740-100-240+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Faience|isosceles trapezoid,1,0,satisfied,H-1897:Harappa:TAB:B:NA:+400-740-904-240+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Clay|rectangular,1,0,satisfied,H-1984:Harappa:TAB:B:NA:+400-740-798-463[
carrier,400_before_740,Harappa|TAB:B|Mult|NA|Faience|unusual,1,0,satisfied,H-1997:Harappa:TAB:B:Mult:+400-740-176-235+
carrier,400_before_740,Harappa|TAB:B|Anth|NA|Clay|cylindrical,1,0,satisfied,H-178:Harappa:TAB:B:Anth:+400-740-717+
carrier,400_before_740,Harappa|TAB:B|Bult|NA|Faience|prism,3,0,satisfied,H-1940:Harappa:TAB:B:Bult:+400-740-067-100+ | H-1939:Harappa:TAB:B:Bult:+400-740-141+ | H-854:Harappa:TAB:B:Bult:+400-740-335-003+
carrier,400_before_740,Harappa|TAB:I|NA|NA|Steatite|rectangular-round,3,0,satisfied,H-2184:Harappa:TAB:I:NA:+400-740-032-015+ | H-967:Harappa:TAB:I:NA:+400-740-032-028+ | H-2183:Harappa:TAB:I:NA:+400-740-575-017-798+
carrier,400_before_740,Harappa|TAB:B|NA|SAN|Faience|cylindrical,1,0,satisfied,H-742:Harappa:TAB:B:NA:+400-740-100-176-175+
carrier,400_before_740,Harappa|TAB:B|NA|NA|NA|rectangular,5,0,satisfied,H-1862:Harappa:TAB:B:NA:+700-033-400-740-388+ | H-1114:Harappa:TAB:B:NA:+400-740-405-590-235-806+ | H-755:Harappa:TAB:B:NA:+400-740-405-590[ | H-211:Harappa:TAB:B:NA:+400-740-898-617+ | H-787:Harappa:TAB:B:NA:+400-740-176-700-033+
carrier,400_before_740,Harappa|TAB:B|Gavi|NA|NA|prism,1,0,satisfied,H-1932:Harappa:TAB:B:Gavi:+400-740-000-832-000+
carrier,400_before_740,Harappa|TAB:B|Gavi|NA|Faience|prism,2,0,satisfied,H-1931:Harappa:TAB:B:Gavi:+400-740-176-791+ | H-846:Harappa:TAB:B:Gavi:+400-740-100-031-705+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Faience|cuboid,1,0,satisfied,H-1822:Harappa:TAB:B:NA:+400-740-176-519+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Faience|heart,1,0,satisfied,H-1906:Harappa:TAB:B:NA:+400-090-740-400-090+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Faience|circular,5,0,satisfied,H-1923:Harappa:TAB:B:NA:+400-740-032-840+ | H-248:Harappa:TAB:B:NA:+400-740-920-320-233-240-798+ | H-245:Harappa:TAB:B:NA:+400-807-740-219+ | H-247:Harappa:TAB:B:NA:+400-740-335-000+ | H-842:Harappa:TAB:B:NA:+400-740-861+
carrier,400_before_740,Harappa|TAB:I|NA|NA|Steatite|circular,1,0,satisfied,H-2197:Harappa:TAB:I:NA:+400-090-740-100-390-231+
carrier,400_before_740,Harappa|TAB:I|Fish|NA|Steatite|prism,3,0,satisfied,H-2209:Harappa:TAB:I:Fish:+400-740-032-025+ | H-2201:Harappa:TAB:I:Fish:+400-740-176-240+ | H-977:Harappa:TAB:I:Fish:+400-740-032-000[
carrier,400_before_740,Harappa|SEAL:S|Bull1:W|RAN|Steatite|square,0,1,violated,H-1672:Harappa:SEAL:S:Bull1:W:+740-400-142-061-033+
carrier,400_before_740,Harappa|TAB:B|Fish|NA|Faience|prism,2,0,satisfied,H-850:Harappa:TAB:B:Fish:+400-740-892-617+ | H-1945:Harappa:TAB:B:Fish:+400-740-388-717-705+
carrier,400_before_740,Harappa|TAB:B|Gavi|NA|Clay|cylindrical,2,0,satisfied,H-174:Harappa:TAB:B:Gavi:+400-740-017-503+ | H-710:Harappa:TAB:B:Gavi:+400-740-016-503+
carrier,400_before_740,Harappa|TAB:B|Gavi|NA|Clay|rectangular,1,0,satisfied,H-705:Harappa:TAB:B:Gavi:+712-840-400-740-440+
carrier,400_before_740,Harappa|TAB:B|Gavi|NA|Clay|square,1,0,satisfied,H-1961:Harappa:TAB:B:Gavi:+400-740-440+
carrier,400_before_740,Harappa|TAB:I|NA|NA|NA|rectangular,4,0,satisfied,H-2585:Harappa:TAB:I:NA:+400-740-032+ | H-1178:Harappa:TAB:I:NA:+400-740-636-240+ | H-895:Harappa:TAB:I:NA:+400-740-630-000[ | H-1191:Harappa:TAB:I:NA:+400-740-760-220-416+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Steatite|heart,1,0,satisfied,H-2189:Harappa:TAB:B:NA:+400-740-152-240+
carrier,400_before_740,Harappa|TAB:B|Phyt|NA|Clay|rectangular,1,0,satisfied,H-188:Harappa:TAB:B:Phyt:+400-090-740-100-415+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Bull1:J|RAF|Steatite|square,0,1,violated,M-879:Mohenjo-daro:SEAL:S:Bull1:J:+740-400-142-061+
carrier,400_before_740,Harappa|TAB:B|NA|S??|Faience|rectangular,1,0,satisfied,H-1791:Harappa:TAB:B:NA:+400-740-100[
carrier,400_before_740,Harappa|TAB:B|Scene|NA|Faience|rectangular,1,0,satisfied,H-1774:Harappa:TAB:B:Scene:+400-740-335-482-175+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Faience|hexagonal,1,0,satisfied,H-816:Harappa:TAB:B:NA:+400-740-390-590+
carrier,400_before_740,Harappa|TAB:B|Phyt|NA|NA|cylindrical,2,0,satisfied,H-187:Harappa:TAB:B:Phyt:+400-740-463-495+ | H-722:Harappa:TAB:B:Phyt:+400-090-740-000[
carrier,400_before_740,Mohenjo-daro|TAB:B|Xhch|NA|Faience|rectangular,1,0,satisfied,M-469:Mohenjo-daro:TAB:B:Xhch:+400-740-220-415-798+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Faience|notched oval,2,0,satisfied,H-232:Harappa:TAB:B:NA:+400-740-177-519+ | H-817:Harappa:TAB:B:NA:+400-740-336-018+
carrier,400_before_740,Harappa|TAB:B|Scene|NA|Faience|circular,1,0,satisfied,H-242:Harappa:TAB:B:Scene:+400-740-392-000-000-000-000-255-000+
carrier,400_before_740,Harappa|TAB:I|NA|SAN|Steatite|rectangular,1,0,satisfied,H-291:Harappa:TAB:I:NA:+400-740-927-000-235+
carrier,400_before_740,Kalibangan|SEAL:R|NA|NA|Steatite|cuboid,1,0,satisfied,K-63:Kalibangan:SEAL:R:NA:+400-740-776-495+
carrier,400_before_740,Harappa|TAB:I|Bult|NA|Steatite|cuboid,1,0,satisfied,H-988:Harappa:TAB:I:Bult:+400-740-636-240-031-032-171+
carrier,400_before_740,Harappa|TAB:I|NA|NA|Steatite|oval,1,0,satisfied,H-959:Harappa:TAB:I:NA:+400-740-178+
carrier,400_before_740,Harappa|TAB:I|X|NA|Steatite|prism,1,0,satisfied,H-351:Harappa:TAB:I:X:+400-740-032-060-013+
carrier,400_before_740,Harappa|SEAL:S|Bull1:I|NA|Steatite|square,0,1,violated,H-471:Harappa:SEAL:S:Bull1:I:+740-400-142-061-368[
carrier,400_before_740,Mohenjo-daro|SEAL:R|NA|NA|Steatite|rectangular,1,0,satisfied,M-1312:Mohenjo-daro:SEAL:R:NA:+400-740-220+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Steatite|rectangular,1,0,satisfied,H-763:Harappa:TAB:B:NA:+400-740-920-320-233[
carrier,400_before_740,Rajanpur|TAB:B|Maze|NA|NA|rectangular,1,0,satisfied,-:4290.1:Rajanpur:TAB:B:Maze:+400-740-690-436-255+
carrier,400_before_740,Harappa|TAB:B|NA|NA|NA|NA,1,0,satisfied,H-836:Harappa:TAB:B:NA:+400-000-740-000-000+
carrier,400_before_740,Harappa|TAB:B|NA|NA|NA|circular,1,0,satisfied,H-1149:Harappa:TAB:B:NA:+400-740-790+
carrier,400_before_740,Harappa|TAB:B|Phyt|NA|NA|rectangular,1,0,satisfied,H-1151:Harappa:TAB:B:Phyt:+400-740-840-000+
carrier,400_before_740,Harappa|TAB:B|NA|NA|Clay|cuboid,1,0,satisfied,H-875:Harappa:TAB:B:NA:+400-740-840-013+
carrier,400_before_740,Harappa|TAB:I|Gavi|NA|NA|rectangular,1,0,satisfied,H-1160:Harappa:TAB:I:Gavi:+400-740-760-000[
carrier,400_before_740,Kalibangan|SEAL:S|Bull1:II|RBF|Steatite|square,1,0,satisfied,K-15:Kalibangan:SEAL:S:Bull1:II:+871-947/400-740-543-350-895-785-220-335+
carrier,400_before_740,Kalibangan|TAB:B|Bull1|RAN|Faience|cuboid,1,0,satisfied,K-68:Kalibangan:TAB:B:Bull1:+400-740-263+
carrier,400_before_740,Kalibangan|POT:T:g|NA|NA|NA|NA,1,0,satisfied,K-98:Kalibangan:POT:T:g:NA:+400-740-411-590[
carrier,400_before_740,Mohenjo-daro|ROD|NA|NA|Ivory|NA,6,0,satisfied,M-2113:Mohenjo-daro:ROD:NA:+400-740-760-435-690+ | M-2098:Mohenjo-daro:ROD:NA:+400-740-176-140+ | M-1651:Mohenjo-daro:ROD:NA:+400-740-585-838-240+ | M-2107:Mohenjo-daro:ROD:NA:+400-740-840-013-240+ | M-1650:Mohenjo-daro:ROD:NA:+400-740-760-032-033-000-550+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Bull1:I|SAF|Steatite|square,0,1,violated,M-1772:Mohenjo-daro:SEAL:S:Bull1:I:+740-400-142-061-002-798-435-255-705+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Gaur|Trough|Steatite|square,1,0,satisfied,M-1891:Mohenjo-daro:SEAL:S:Gaur:+400-740-017-503-240+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Bull1:S|SAN|Steatite|square,1,0,satisfied,M-1725:Mohenjo-daro:SEAL:S:Bull1:S:+400-740-100-140-003+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Bull1:U|HAF|Steatite|square,0,1,violated,M-145:Mohenjo-daro:SEAL:S:Bull1:U:+740-400-142-880+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Bull1:I|SAN|Steatite|square,1,0,satisfied,M-231:Mohenjo-daro:SEAL:S:Bull1:I:+400-740-100-415+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Zebu|NA|Steatite|square,0,1,violated,M-263:Mohenjo-daro:SEAL:S:Zebu:+090-740-400-350-031-545+
carrier,400_before_740,Mohenjo-daro|TAB:B|NA|NA|NA|rectangular,1,0,satisfied,M-471:Mohenjo-daro:TAB:B:NA:+400-740-904-798-460-350+
carrier,400_before_740,Mohenjo-daro|TAB:B|Mult|NA|Clay|rectangular,1,0,satisfied,M-482:Mohenjo-daro:TAB:B:Mult:+400-740-803+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Bull1|S|Steatite|square,1,0,satisfied,M-947:Mohenjo-daro:SEAL:S:Bull1:+400-090-740-035-171-061+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Rhin|Trough|Steatite|square,0,1,violated,M-1133:Mohenjo-daro:SEAL:S:Rhin:+463-513-740-400-142-000+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Rhin|SAN|Steatite|square,0,1,violated,M-1135:Mohenjo-daro:SEAL:S:Rhin:+740-061-002-400-703+
carrier,400_before_740,Mohenjo-daro|SEAL:S|Mult|Mult|Steatite|square,1,0,satisfied,M-1224:Mohenjo-daro:SEAL:S:Mult:+400-090-740-032-840+
carrier,400_before_740,Mohenjo-daro|TAB:B|Mult|NA|Terracotta|cuboid,1,0,satisfied,M-1402:Mohenjo-daro:TAB:B:Mult:+000-388-400-740-000-617+
carrier,400_before_740,Mohenjo-daro|TAB:B|NA|SAN|Clay|cuboid,1,0,satisfied,M-1408:Mohenjo-daro:TAB:B:NA:+400-740-033-503+
carrier,400_before_740,Mohenjo-daro|SEAL:R|NA|NA|NA|semi-circular,1,0,satisfied,M-1438:Mohenjo-daro:SEAL:R:NA:+400-740-923-226-032+
carrier,400_before_740,Ganweriwala|TAG|NA|NA|Terracotta|twisted rectangular-rounded,0,1,violated,-:3769.1:Ganweriwala:TAG:NA:+740-400-061-299-350-125-176+
carrier,400_before_740,Dholavira|SEAL:S|Bull1|SAN|Steatite|square,1,0,satisfied,-:4226.1:Dholavira:SEAL:S:Bull1:+400-740-920+
carrier,400_before_740,Nausharo|POT:T:g|NA|NA|Clay|NA,2,0,satisfied,Ns-63:Nausharo:POT:T:g:NA:+795-400-740+ | Ns-66:Nausharo:POT:T:g:NA:+033-999-400-090-740-100-000-002-892-000-002+
carrier,740_before_002,Allahdino|MISC|Elep|SAN|Clay|square,1,0,satisfied,Ad-8:Allahdino:MISC:Elep:+740-440-503-002-861-000+
carrier,740_before_002,Banawali|SEAL:S|Bull1:O|HAF|Steatite|square,1,0,satisfied,B-1:Banawali:SEAL:S:Bull1:O:+090-740-220-002-368-550-821+
carrier,740_before_002,Chanhu-daro|SEAL:S|Bull1:W|SAN|Steatite|square,3,0,satisfied,C-60:Chanhu-daro:SEAL:S:Bull1:W:+740-176-032-002-861+ | C-3:Chanhu-daro:SEAL:S:Bull1:W:+740-016-002-920-317+ | C-10:Chanhu-daro:SEAL:S:Bull1:W:+740-231-220-032-002-817+
carrier,740_before_002,Chanhu-daro|SEAL:S|Bull1|NA|Steatite|square,2,0,satisfied,C-58:Chanhu-daro:SEAL:S:Bull1:+032-031/740-222-235-002-861+ | C-1:Chanhu-daro:SEAL:S:Bull1:+031-840-140-740-101-002-365-287-034+
carrier,740_before_002,Chanhu-daro|SEAL:S|NA|NA|Steatite|square,1,0,satisfied,C-78:Chanhu-daro:SEAL:S:NA:+740-636-240/002-817+
carrier,740_before_002,Chanhu-daro|SEAL:S|Bull1:W|SAF|Steatite|square,1,0,satisfied,C-57:Chanhu-daro:SEAL:S:Bull1:W:+740-032-840-002-296-530-000+
carrier,740_before_002,Chanhu-daro|SEAL:S|Bull1:I|RBF|Steatite|square,1,0,satisfied,C-5:Chanhu-daro:SEAL:S:Bull1:I:+740-140-717-002-298-741+
carrier,740_before_002,Chanhu-daro|SEAL:S|Bull1:J|RAN|Steatite|square,1,0,satisfied,C-6:Chanhu-daro:SEAL:S:Bull1:J:+817-521-521/090-740-221-002-031-500+
carrier,740_before_002,Desalpur|TAG|NA|NA|NA|rectangular,0,1,violated,Dlp-3:Desalpur:TAG:NA:+394-032-002-892-740+
carrier,740_before_002,Dholavira|SEAL:S|Bull1:W|S??|Steatite|square,1,0,satisfied,-:130.1:Dholavira:SEAL:S:Bull1:W:+244-165/740-879-220-416-803-002-861+
carrier,740_before_002,Dholavira|SEAL:S|Tigr|NA|Steatite|square,1,0,satisfied,-:132.1:Dholavira:SEAL:S:Tigr:+740-416-002-861+
carrier,740_before_002,Harappa|SEAL:S|Bull1|RAN|Steatite|square,1,0,satisfied,H-1042:Harappa:SEAL:S:Bull1:+740-923-000-220-002-817+
carrier,740_before_002,Harappa|SEAL:S|Bull1:U|RAN|Steatite|square,1,0,satisfied,H-1045:Harappa:SEAL:S:Bull1:U:+740-900-005-002-820+
carrier,740_before_002,Harappa|SEAL:S|Bull1:I|NA|Steatite|square,1,0,satisfied,H-1038:Harappa:SEAL:S:Bull1:I:+740-519-002-297-000[
carrier,740_before_002,Harappa|SEAL:S|Bull1:I|SAN|Steatite|square,1,0,satisfied,H-1051:Harappa:SEAL:S:Bull1:I:+400-740-575-017-920-320-798-002-861+
carrier,740_before_002,Harappa|TAB:B|Bull2|SAN|NA|rectangular,1,0,satisfied,H-1100:Harappa:TAB:B:Bull2:+740-904-240-002-817+
carrier,740_before_002,Harappa|SEAL:S|Bull1:W|RAF|NA|square,1,0,satisfied,H-1030:Harappa:SEAL:S:Bull1:W:+090-740-103-002-861+
carrier,740_before_002,Harappa|SEAL|NA|NA|Steatite|NA,1,0,satisfied,H-1058:Harappa:SEAL:NA:]740-019-002-000[
carrier,740_before_002,Harappa|TAB:B|NA|NA|Faience|twisted rectangular,1,0,satisfied,H-811:Harappa:TAB:B:NA:+317-740-335-740-176-002-920-491+
carrier,740_before_002,Harappa|TAB:B|NA|NA|Faience|rectangular,3,0,satisfied,H-1865:Harappa:TAB:B:NA:+740-702-061-002-000+ | H-1864:Harappa:TAB:B:NA:+740-142-062-002-817+ | H-1851:Harappa:TAB:B:NA:+740-803-892-031-002-861+
carrier,740_before_002,Harappa|SEAL:S|Bull1:S|RAN|NA|square,1,0,satisfied,H-1671:Harappa:SEAL:S:Bull1:S:+740-061-002-455-420-032+
carrier,740_before_002,Harappa|SEAL:S|NA|NA|Steatite|square,2,0,satisfied,H-1692:Harappa:SEAL:S:NA:+740-390-590-002-861+ | H-593:Harappa:SEAL:S:NA:+740-760-235-240-002-220-000[
carrier,740_before_002,Harappa|TAB:B|Phyt|Mult|Clay|prism,1,0,satisfied,H-2022:Harappa:TAB:B:Phyt:+740-752-175-002-861+
carrier,740_before_002,Harappa|POT:T:g|NA|NA|Clay|NA,2,0,satisfied,H-2338:Harappa:POT:T:g:NA:]740-061-002-575-000[ | -:617.1:Harappa:POT:T:g:NA:]740-000-000-002-575-000[
carrier,740_before_002,Harappa|SEAL:S|Bull1:W|H|Steatite|square,1,0,satisfied,H-1662:Harappa:SEAL:S:Bull1:W:+033-033/740-142-061-140-002-546+
carrier,740_before_002,Harappa|TAB:B|NA|NA|NA|twisted rectangular,1,0,satisfied,H-1131:Harappa:TAB:B:NA:+740-482-240-002-861+
carrier,740_before_002,Harappa|SEAL:S|Bull1:J|HAF|Steatite|square,2,0,satisfied,H-1670:Harappa:SEAL:S:Bull1:J:+740-760-033-033-240-002-824+ | H-468:Harappa:SEAL:S:Bull1:J:+740-900-003-002-940-705+
carrier,740_before_002,Harappa|TAB:B|NA|NA|Clay|rectangular,1,0,satisfied,H-1993:Harappa:TAB:B:NA:+740-000-220-004-002-390-095+
carrier,740_before_002,Harappa|SEAL:S|Bull1:W|SAN|Steatite|square,10,0,satisfied,H-1667:Harappa:SEAL:S:Bull1:W:+740-540-002-817+ | H-1657:Harappa:SEAL:S:Bull1:W:+740-405-590-032-900-003-806-235-220-032-002-690-921+ | H-3:Harappa:SEAL:S:Bull1:W:+740-585-017-002-611-615-703+ | H-8:Harappa:SEAL:S:Bull1:W:+354-001-740-405-590-033-706-002-690-921+ | H-22:Harappa:SEAL:S:Bull1:W:+740-920-320-233-806-002-405-321+
carrier,740_before_002,Harappa|POT:T:s|NA|NA|Clay|rectangular,1,0,satisfied,H-1726:Harappa:POT:T:s:NA:+740-100-692-491-002-817+
carrier,740_before_002,Harappa|SEAL:S|Bull1:W|SAF|Steatite|square,2,0,satisfied,H-12:Harappa:SEAL:S:Bull1:W:+740-690-435-255-803-220-240-235-002-817+ | H-13:Harappa:SEAL:S:Bull1:W:+740-760-615-503-002-817+
carrier,740_before_002,Harappa|SEAL:S|Bull1:J|RAN|Steatite|square,1,0,satisfied,H-42:Harappa:SEAL:S:Bull1:J:+740-380-235-002-817+
carrier,740_before_002,Harappa|SEAL:S|Bull1:W|NA|Steatite|square,2,0,satisfied,H-45:Harappa:SEAL:S:Bull1:W:+090-740-101-002-820+ | H-417:Harappa:SEAL:S:Bull1:W:+740-255-706-002-000[
carrier,740_before_002,Harappa|SEAL:S|Bull1:W|HAF|Steatite|square,1,0,satisfied,H-51:Harappa:SEAL:S:Bull1:W:+740-643-240-002-861+
carrier,740_before_002,Harappa|SEAL:S|Bull1:II|H|NA|square,1,0,satisfied,H-60:Harappa:SEAL:S:Bull1:II:+621-740-900-003/002-820+
carrier,740_before_002,Harappa|SEAL:S|Bull1:I|RAN|Steatite|square,1,0,satisfied,H-68:Harappa:SEAL:S:Bull1:I:+090-740-220-003-002-390-072+
carrier,740_before_002,Harappa|SEAL:R|NA|NA|Steatite|cuboid-convex,5,0,satisfied,H-129:Harappa:SEAL:R:NA:+409-061-740-235-220-031-002-861-244-165+ | H-131:Harappa:SEAL:R:NA:+740-032-840-233-240-033-706-055-002-595-575-794-000+ | H-134:Harappa:SEAL:R:NA:+740-405-590-220-003-002-861+ | H-135:Harappa:SEAL:R:NA:+740-773-231-806-002-861+ | H-140:Harappa:SEAL:R:NA:+740-384-032-002-817+
carrier,740_before_002,Harappa|SEAL:R|NA|NA|NA|rectangular,2,0,satisfied,H-137:Harappa:SEAL:R:NA:+740-443-388-033-705-233-002-817+ | H-1076:Harappa:SEAL:R:NA:+740-611-706-002-820+
carrier,740_before_002,Harappa|SEAL:S|Bull1|NA|Steatite|square,1,0,satisfied,H-272:Harappa:SEAL:S:Bull1:+740-585-017-240-002-305-032-904+
carrier,740_before_002,Harappa|TAB:I|NA|NA|Steatite|rectangular,2,0,satisfied,H-285:Harappa:TAB:I:NA:+740-382-002[ | H-904:Harappa:TAB:I:NA:+740-032-840-002+
carrier,740_before_002,Harappa|SEAL:S|Bull1:Q|SAN|Steatite|square,1,0,satisfied,H-383:Harappa:SEAL:S:Bull1:Q:+740-585-017-033-705-002-000+
carrier,740_before_002,Harappa|SEAL:S|Bull1:W|SAN|NA|square,2,0,satisfied,H-389:Harappa:SEAL:S:Bull1:W:+740-405-590-235-002-031-480-625+ | H-598:Harappa:SEAL:S:Bull1:W:+740-639-240-002-435-255-777+
carrier,740_before_002,Harappa|SEAL:S|Bull1:J|SAN|Steatite|square,2,0,satisfied,H-446:Harappa:SEAL:S:Bull1:J:+740-585-798-002-861-216+ | H-597:Harappa:SEAL:S:Bull1:J:+740-390-590-070-032-002-861+
carrier,740_before_002,Harappa|SEAL:S|Bull1:J|SAF|NA|square,1,0,satisfied,H-457:Harappa:SEAL:S:Bull1:J:+740-798-003-002-416+
carrier,740_before_002,Harappa|SEAL:S|Bull1:S|SAF|Steatite|square,1,0,satisfied,H-461:Harappa:SEAL:S:Bull1:S:+090-740-384-002-452-000+
carrier,740_before_002,Harappa|SEAL|NA|NA|NA|NA,1,0,satisfied,H-563:Harappa:SEAL:NA:+740-335-002-630[
carrier,740_before_002,Harappa|SEAL:S|Bull1:L|SAN|Steatite|square,1,0,satisfied,H-612:Harappa:SEAL:S:Bull1:L:+740-615-495-002-825+
carrier,740_before_002,Harappa|TAB:B|NA|NA|Faience|plano-convex,1,0,satisfied,H-773:Harappa:TAB:B:NA:+740-798-803-002-390-530-741+
carrier,740_before_002,Harappa|TAB:B|NA|NA|Faience|circular,1,0,satisfied,H-838:Harappa:TAB:B:NA:+740-615-495-002-817+
carrier,740_before_002,Harappa|TAB:B|Xhch|NA|NA|prism,1,0,satisfied,H-844:Harappa:TAB:B:Xhch:+740-840-002+
carrier,740_before_002,Jhukar|SEAL:S|Bull1:J|SAN|NA|square,1,0,satisfied,Jk-2:Jhukar:SEAL:S:Bull1:J:+740-803-233-002-817+
carrier,740_before_002,Kalibangan|SEAL:S|Bull1:W|RBF|Steatite|square,1,0,satisfied,K-2:Kalibangan:SEAL:S:Bull1:W:+740-585-017-002-000+
carrier,740_before_002,Kalibangan|SEAL:S|Bull1:I|RAN|Steatite|square,2,0,satisfied,K-10:Kalibangan:SEAL:S:Bull1:I:+740-690-435-255-002-368-861-590-032-368+ | K-23:Kalibangan:SEAL:S:Bull1:I:+740-441-002-820-033+
carrier,740_before_002,Kalibangan|SEAL:S|Bull1|R|Steatite|square,1,0,satisfied,K-24:Kalibangan:SEAL:S:Bull1:+740-760-093-002-252-575+
