governor,closure,edge,exact_cells,terminal_cells,terminal_share,sites,types,examples
002,861,002-861,126,102,0.8095238095238095,8,9,-:+405-844-032-840-002-861+ | C-60:+740-176-032-002-861+ | C-53:+032-031/740-222-235-002-861+ | C-74:+125-002-861+ | -:+244-165/740-879-220-416-803-002-861+
002,817,002-817,108,105,0.9722222222222222,10,9,B-5:+002-817+ | B-7:+002-817+ | B-15:+002-817+ | C-66:+390-003-002-817+ | C-78:+740-636-240/002-817+
400,740,400-740,106,1,0.009433962264150943,6,6,H-1051:+400-740-575-017-920-320-798-002-861+ | -:+400-740-176+ | H-1158:+400-740-760-605+ | H-1102:+400-740-382+ | H-874:+400-740-455+
740,100,740-100,79,2,0.02531645569620253,8,9,C-51:+151-740-100-240+ | C-17:+740-100+ | -:+740-100-407-590+ | H-1032:+740-100-140-003+ | H-1080:+740-100-176+
090,740,090-740,77,0,0,9,7,B-1:+090-740-220-002-368-550-821+ | C-6:+817-521-521/090-740-221-002-031-500+ | H-294:+090-740-240-220+ | H-1056:+400-090-740-220-003+ | H-1030:+090-740-103-002-861+
002,820,002-820,75,70,0.9333333333333333,7,6,-:+236-002-820+ | H-1045:+740-900-005-002-820+ | H-1967:+382-760-382-002-820+ | H-1882:+002-820+ | H-1680:+390-003-002-820+
740,760,740-760,74,1,0.013513513513513514,10,8,-:+740-760-445+ | H-1158:+400-740-760-605+ | H-161:+740-760-070-921-315-233+ | H-2213:+740-760-840-799+ | H-2076:+740-760-240+
740,176,740-176,68,17,0.25,7,7,C-60:+740-176-032-002-861+ | -:+400-740-176+ | H-2016:+317-740-335-740-176-002-920-491+ | H-2141:+565-740-176-231+ | H-1832:+400-297-352-892-590-740-176+
033,705,033-705,64,9,0.140625,6,10,Ad-3:+740-904-033-705-235+ | C-9:+151-233-803-033-705-240+ | H-2015:+520-033-705-235-832-002-817+ | H-1816:+400-525-550-033-705-240+ | H-2139:+740-176-033-705-235+
060,920,060-920,52,51,0.9807692307692307,9,7,C-54:+842-032-031-592-031-060-920+ | C-11:+590-615-140/232-240-001-060-920+ | C-12:+161-390-590-031-740-060-920+ | C-16:+429-003-741-060-920+ | H-1309:+156-176-741-060-920+
220,032,220-032,50,13,0.26,8,6,C-10:+740-231-220-032-002-817+ | -:+220-032+ | H-1678:+520-233-240-220-032+ | H-1657:+740-405-590-032-900-003-806-235-220-032-002-690-921+ | H-20:+740-176-690-435-255-220-032-806-060-550+
390,590,390-590,50,8,0.16,8,4,Ad-1:+740-390-590+ | C-2:+740-390-590+ | C-12:+161-390-590-031-740-060-920+ | H-1776:+740-390-590-060-550+ | H-1692:+740-390-590-002-861+
520,033,520-033,45,0,0,6,6,-:+520-033-706-233+ | H-1027:+520-033-706-231-415-803+ | H-2015:+520-033-705-235-832-002-817+ | H-1899:+520-033-033+ | H-44:+520-033-706-235-798-803-002-031-892+
220,415,220-415,44,12,0.2727272727272727,3,5,H-1326:+520-220-415+ | -:+740-407-590-690-436-255-920-318-220-415-803+ | H-1669:+520-220-415-060-920+ | H-2148:+520-220-415+ | H-1953:+520-220-415-240-803+
520,220,520-220,43,3,0.06976744186046512,5,4,H-423:+520-220-240-798-060-692+ | H-1326:+520-220-415+ | H-1121:+400-520-220-016+ | H-1330:+520-220+ | H-1669:+520-220-415-060-920+
740,032,740-032,42,1,0.023809523809523808,5,4,H-2184:+400-740-032-015+ | H-1977:+740-032-840+ | H-2115:+400-740-032-028+ | H-2208:+400-740-032-027+ | H-1923:+400-740-032-840+
240,002,240-002,38,0,0,4,4,C-78:+740-636-240/002-817+ | -:+740-904-240-002-817+ | H-2010:+740-482-240-002-861+ | H-1670:+740-760-033-033-240-002-824+ | H-51:+740-643-240-002-861+
740,390,740-390,37,1,0.02702702702702703,7,4,Ad-1:+740-390-590+ | C-2:+740-390-590+ | H-1776:+740-390-590-060-550+ | H-1692:+740-390-590-002-861+ | H-733:+740-390-590-240+
435,255,435-255,36,12,0.3333333333333333,4,5,-:+400-156-435-255+ | -:+154-435-255+ | H-1938:+740-690-435-255+ | H-1797:+740-690-435-255-055+ | H-12:+740-690-435-255-803-220-240-235-002-817+
740,220,740-220,34,3,0.08823529411764706,7,7,B-1:+090-740-220-002-368-550-821+ | H-1056:+400-090-740-220-003+ | H-68:+090-740-220-003-002-390-072+ | H-203:+400-740-220-415-798+ | H-302:+400-760-740-220-416+
740,690,740-690,34,2,0.058823529411764705,4,5,H-1938:+740-690-435-255+ | H-1797:+740-690-435-255-055+ | H-2039:+740-690-436-255+ | H-1842:+740-690-435-176-233-803+ | H-1308:+740-690-636-240+
740,798,740-798,34,2,0.058823529411764705,6,6,Blk-6:+740-798+ | H-1402:+740-798-820+ | H-1823:+400-740-798-365-415-001+ | H-36:+740-798-220-742-146+ | H-40:+740-798-235-001-368-831-165+
060,692,060-692,33,28,0.8484848484848485,5,4,B-21:+426-003-060-692+ | C-75:+740-531-060-692+ | H-1138:+740-603-240-060-692+ | H-423:+520-220-240-798-060-692+ | H-1845:+740-642-240-060-692+
032,002,032-002,32,0,0,6,4,C-60:+740-176-032-002-861+ | C-10:+740-231-220-032-002-817+ | Dlp-3:+394-032-002-892-740+ | H-1657:+740-405-590-032-900-003-806-235-220-032-002-690-921+ | H-140:+740-384-032-002-817+
100,415,100-415,32,7,0.21875,4,5,H-2174:+090-100-415-717+ | H-1991:+740-100-415+ | H-1978:+400-090-740-100-415+ | H-1775:+740-100-415-176-792-102+ | H-80:+595-820-100-415-741-315-850+
032,840,032-840,31,11,0.3548387096774194,5,5,-:+405-844-032-840-002-861+ | H-1977:+740-032-840+ | H-1923:+400-740-032-840+ | H-2187:+740-032-840+ | H-88:+740-032-840-820+
240,235,240-235,31,10,0.3225806451612903,4,4,C-70:+032-031/151-740-240-235+ | H-2055:+090-740-240-235+ | H-2020:+090-740-240-235+ | H-12:+740-690-435-255-803-220-240-235-002-817+ | H-39:+740-390-590-231-240-235-745-060-920+
033,706,033-706,30,5,0.16666666666666666,3,3,-:+520-033-706-233+ | H-1027:+520-033-706-231-415-803+ | H-8:+354-001-740-405-590-033-706-002-690-921+ | H-44:+520-033-706-235-798-803-002-031-892+ | H-53:+520-033-706+
235,002,235-002,30,0,0,8,4,C-53:+032-031/740-222-235-002-861+ | H-1050:+804-235-002-817+ | H-12:+740-690-435-255-803-220-240-235-002-817+ | H-42:+740-380-235-002-817+ | H-389:+740-405-590-235-002-031-480-625+
741,060,741-060,30,0,0,7,5,C-16:+429-003-741-060-920+ | H-1309:+156-176-741-060-920+ | H-2127:+504-350-741-060-920+ | H-89:+232-240-741-060-920+ | H-175:+167-705-368-005-741-060-920+
803,002,803-002,28,0,0,4,3,C-67:+520-233-803-002-817+ | C-4:+520-235-803-002-817+ | -:+244-165/740-879-220-416-803-002-861+ | H-44:+520-033-706-235-798-803-002-031-892+ | H-268:+740-585-017-033-706-803-002-220-455-920+
390,003,390-003,26,7,0.2692307692307692,7,6,-:+390-003-003+ | C-66:+390-003-002-817+ | H-1893:+390-003-060-550+ | H-585:+390-003+ | H-2210:+390-003+
690,435,690-435,26,0,0,3,4,H-1938:+740-690-435-255+ | H-1797:+740-690-435-255-055+ | H-1842:+740-690-435-176-233-803+ | H-12:+740-690-435-255-803-220-240-235-002-817+ | H-20:+740-176-690-435-255-220-032-806-060-550+
700,033,700-033,25,18,0.72,2,5,-:+700-033+ | -:+700-033+ | -:+700-033-711-335-575-413+ | H-1881:+415-700-033-171+ | H-1940:+700-033+
740,923,740-923,25,3,0.12,3,4,Grb-1:+740-923-838+ | H-1903:+740-923-235+ | H-32:+740-923+ | M-1760:+740-923-240-235-060-820+ | M-1784:+740-923-806+
003,002,003-002,24,0,0,6,3,Blk-1:+226-003-002-297-350-125-413+ | C-66:+390-003-002-817+ | H-1043:+151-760-220-003-002-861+ | H-1706:+405-003-002-293-360+ | H-1680:+390-003-002-820+
060,550,060-550,24,23,0.9583333333333334,4,6,-:+060-550+ | H-1893:+390-003-060-550+ | H-1776:+740-390-590-060-550+ | H-2040:+740-803-060-550+ | H-1840:+090-740-255-705-060-550+
740,900,740-900,24,0,0,3,5,H-1045:+740-900-005-002-820+ | H-25:+740-900-003-806-033-705-235-055+ | H-60:+621-740-900-003/002-820+ | H-468:+740-900-003-002-940-705+ | H-474:+740-900-482-484-900+
060,820,060-820,23,23,1,5,4,H-2090:+869-060-820+ | H-715:+526-550-060-820+ | K-16:+090-740-240/060-820+ | L-21:+156-142-060-820+ | L-122:+527-550-740-443-060-820+
585,017,585-017,23,5,0.21739130434782608,4,4,H-3:+740-585-017-002-611-615-703+ | H-268:+740-585-017-033-706-803-002-220-455-920+ | H-272:+740-585-017-240-002-305-032-904+ | K-13:+740-585-017-741-630+ | M-2053:+407-032-520-095-585-017-220+
390,004,390-004,22,4,0.18181818181818182,8,4,B-9:+390-004+ | H-1987:+390-004-455-371-741-590+ | H-2003:+390-004-002-817+ | H-2186:+390-004-155-390+ | -:+390-004-002-817+
740,585,740-585,21,0,0,5,4,H-3:+740-585-017-002-611-615-703+ | H-268:+740-585-017-033-706-803-002-220-455-920+ | H-272:+740-585-017-240-002-305-032-904+ | H-446:+740-585-798-002-861-216+ | H-472:+740-585-900-014-820+
004,002,004-002,20,0,0,6,5,H-2003:+390-004-002-817+ | H-1785:+407-004-002-861+ | -:+390-004-002-817+ | H-55:+390-004-002-861-125+ | H-719:+405-004-002-861+
520,233,520-233,20,4,0.2,5,4,C-67:+520-233-803-002-817+ | H-874:+520-233-240+ | H-1770:+400-520-233+ | H-1678:+520-233-240-220-032+ | H-1966:+520-233-049-002-861+
