"priority","category","object_ids","cisi","site","type","y_after_002","y_terminal","post_y_string","text","required_source_checks"
"a_220_control_core_tail","non240_a_220_032","98.1","C-10","Chanhu-daro","SEAL:S","817","True","<END>","+740-231-220-032-002-817+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","1434.1","H-444","Harappa","SEAL:S","861","True","<END>","+241-220-032-002-861+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","5273.1","K-145","Kalibangan","SEAL:S","820","True","<END>","+740-585-231-220-032-002-820+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","2871.1","M-375","Mohenjo-daro","SEAL:R","820","True","<END>","+740-100-233-220-032-002-820+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","3421.1","M-1044","Mohenjo-daro","SEAL:S","861","True","<END>","+520-220-032-002-861+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","2699.1","M-174","Mohenjo-daro","SEAL:S","820","True","<END>","+740-923-220-032-002-820+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","2313.1","M-1763","Mohenjo-daro","SEAL:S","861","True","<END>","+416-001-565-740-220-032-002-861+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","3989.1","M-1788","Mohenjo-daro","SEAL:S","817","True","<END>","+000-220-032-002-817+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","2745.1","M-221","Mohenjo-daro","SEAL:S","820","True","<END>","+740-760-335-220-032-002-820+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","3144.1","M-720","Mohenjo-daro","SEAL:S","817","True","<END>","+000-740-923-220-032-002-817+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","3147.1","M-723","Mohenjo-daro","SEAL:S","861","True","<END>","+740-460-510-235-220-032-002-861+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"a_220_control_core_tail","non240_a_220_032","2618.1","M-91","Mohenjo-daro","SEAL:S","861","False","255-416","+740-100-798-220-032-002-861-255-416+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"outside_core_tail_control","outside_a_220_x_032","69.1","C-60","Chanhu-daro","SEAL:S","861","True","<END>","+740-176-032-002-861+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"outside_core_tail_control","outside_a_220_x_032","1181.1","H-140","Harappa","SEAL:R","817","True","<END>","+740-384-032-002-817+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"outside_core_tail_control","outside_a_220_x_032","1540.1;1540.2","H-597","Harappa","SEAL:S","861","True","<END>","+740-390-590-070-032-002-861+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"outside_core_tail_control","outside_a_220_x_032","3422.1","M-1045","Mohenjo-daro","SEAL:S","820","False","000","+740-100-415-070-032-002-820-000+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"outside_core_tail_control","outside_a_220_x_032","2236.1","M-1677","Mohenjo-daro","SEAL:S","820","False","001-440-012","+520-382-032-002-820-001-440-012+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"outside_core_tail_control","outside_a_220_x_032","2229.1","M-1737","Mohenjo-daro","SEAL:S","820","True","<END>","+740-760-072-921-032-002-820+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"outside_core_tail_control","outside_a_220_x_032","2549.1","M-21","Mohenjo-daro","SEAL:S","861","True","<END>","+350-001-740-362-692-032-002-861+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"outside_core_tail_control","outside_a_220_x_032","3681.1;3681.3","M-1385","Mohenjo-daro","TAG:P","817","True","<END>","+740-760-032-002-817+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"target_read_first","target_240_220_032","62.1","C-65","Chanhu-daro","SEAL:S","861","True","<END>","+000-100-240-220-032-002-861+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"target_read_first","target_240_220_032","2417.1","M-1728","Mohenjo-daro","SEAL:S","820","True","<END>","+161-055-240-220-032-002-820+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
"target_read_first","target_240_220_032","2763.1","M-240","Mohenjo-daro","SEAL:S","861","False","603","+520-240-220-032-002-861-603+","same physical line; 032 distinct from neighbors; 002 distinct; Y distinct; direction/order policy; no break between 032-002-Y; tail continues or terminates as coded"
