focus_cisi,focus_tail,focus_prefix_last1,focus_prefix_last2,focus_site_type_symbol,match_level,match_key,matched_rows,bare_terminal_controls,focus_tail_rows_in_block,other_tail_rows_in_block,bare_terminal_examples,focus_tail_examples,other_tail_examples
M-91,255 416,032,220 032,Mohenjo-daro|SEAL:S|Bull1:S,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,10,9,1,0,- <END> +740-637-240-002-861+;M-1833 <END> +390-015-002-861+;M-100 <END> +090-740-255-705-002-861+;M-199 <END> +090-740-100-415-240-002-861+;M-781 <END> +520-033-706-002-861+;M-783 <END> +151-061-002-861+;M-785 <END> +740-255-705-002-861+;M-794 <END> +804-231-002-861+,M-91 255 416 +740-100-798-220-032-002-861-255-416+,
M-91,255 416,032,220 032,Mohenjo-daro|SEAL:S|Bull1:S,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:S|Bull1:S|032,1,0,1,0,,M-91 255 416 +740-100-798-220-032-002-861-255-416+,
M-91,255 416,032,220 032,Mohenjo-daro|SEAL:S|Bull1:S,prefix_last2,220 032,6,4,2,0,H-444 <END> +241-220-032-002-861+;M-1763 <END> +416-001-565-740-220-032-002-861+;M-723 <END> +740-460-510-235-220-032-002-861+;M-1044 <END> +520-220-032-002-861+,M-91 255 416 +740-100-798-220-032-002-861-255-416+;M-240 603 +520-240-220-032-002-861-603+,
M-91,255 416,032,220 032,Mohenjo-daro|SEAL:S|Bull1:S,prefix_last1,032,9,7,2,0,C-60 <END> +740-176-032-002-861+;H-444 <END> +241-220-032-002-861+;H-597 <END> +740-390-590-070-032-002-861+;M-1763 <END> +416-001-565-740-220-032-002-861+;M-21 <END> +350-001-740-362-692-032-002-861+;M-723 <END> +740-460-510-235-220-032-002-861+;M-1044 <END> +520-220-032-002-861+,M-91 255 416 +740-100-798-220-032-002-861-255-416+;M-240 603 +520-240-220-032-002-861-603+,
M-240,603,032,220 032,Mohenjo-daro|SEAL:S|Gaur,site_type_symbol,Mohenjo-daro|SEAL:S|Gaur,3,2,1,0,M-1880 <END> +151-176-002-861+;M-1206 <END> +740-690-435-255-002-861+,M-240 603 +520-240-220-032-002-861-603+,
M-240,603,032,220 032,Mohenjo-daro|SEAL:S|Gaur,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:S|Gaur|032,1,0,1,0,,M-240 603 +520-240-220-032-002-861-603+,
M-240,603,032,220 032,Mohenjo-daro|SEAL:S|Gaur,prefix_last2,220 032,6,4,2,0,H-444 <END> +241-220-032-002-861+;M-1763 <END> +416-001-565-740-220-032-002-861+;M-723 <END> +740-460-510-235-220-032-002-861+;M-1044 <END> +520-220-032-002-861+,M-91 255 416 +740-100-798-220-032-002-861-255-416+;M-240 603 +520-240-220-032-002-861-603+,
M-240,603,032,220 032,Mohenjo-daro|SEAL:S|Gaur,prefix_last1,032,9,7,2,0,C-60 <END> +740-176-032-002-861+;H-444 <END> +241-220-032-002-861+;H-597 <END> +740-390-590-070-032-002-861+;M-1763 <END> +416-001-565-740-220-032-002-861+;M-21 <END> +350-001-740-362-692-032-002-861+;M-723 <END> +740-460-510-235-220-032-002-861+;M-1044 <END> +520-220-032-002-861+,M-91 255 416 +740-100-798-220-032-002-861-255-416+;M-240 603 +520-240-220-032-002-861-603+,
M-376,533 717,176,100 176,Mohenjo-daro|SEAL:R|None,site_type_symbol,Mohenjo-daro|SEAL:R|None,7,3,3,1,M-1954 <END> +740-407-590-031-752-033-705-220-415-798-002-861+;M-1267 <END> +416-001-740-720-175-002-861+;M-1973 <END> +740-575-017-233-550-002-861+,M-376 533 717 +740-100-176-002-861-533-717+;M-391 533 717 +405-845-686-740-793-003-233-805-002-861-533-717+;M-1273 603 +740-055-002-861-603+,M-355 360 520 919 140 +740-877-032-033-705-231-235-002-861-360-520-919-140+
M-376,533 717,176,100 176,Mohenjo-daro|SEAL:R|None,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:R|None|176,1,0,1,0,,M-376 533 717 +740-100-176-002-861-533-717+,
