prefix,verdict,rows,family_cells,source_ready_rows,source_ready_non_bare_rows,tail_distribution,tail_class_distribution,register_distribution,examples
390 004,exact_prefix_split_source_pending,2,2,0,0,125:1;<END>:1,simple_single:1;closure:1,Harappa|SEAL:S|Bull1:X|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,H-55 +390-004-002-861-125+;M-1750 +390-004-002-861+
740 100 798 220 032,singleton_not_formula_evidence,1,1,1,1,255 416:1,fixed_pair:1,Mohenjo-daro|SEAL:S|Bull1:S|square:1,M-91 +740-100-798-220-032-002-861-255-416+
520 240 220 032,singleton_not_formula_evidence,1,1,1,1,603:1,simple_single:1,Mohenjo-daro|SEAL:S|Gaur|square:1,M-240 +520-240-220-032-002-861-603+
740 877 032 033 705 231 235,singleton_not_formula_evidence,1,1,1,1,360 520 919 140:1,long_continuation:1,Mohenjo-daro|SEAL:R|None|cuboid-convex:1,M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+
740 100 176,singleton_not_formula_evidence,1,1,1,1,533 717:1,fixed_pair:1,Mohenjo-daro|SEAL:R|None|cuboid-convex:1,M-376 +740-100-176-002-861-533-717+
405 845 686 740 793 003 233 805,singleton_not_formula_evidence,1,1,1,1,533 717:1,fixed_pair:1,Mohenjo-daro|SEAL:R|None|cuboid-convex:1,M-391 +405-845-686-740-793-003-233-805-002-861-533-717+
740 585 017 033 705 233 798 803,singleton_not_formula_evidence,1,1,1,1,603:1,simple_single:1,Mohenjo-daro|SEAL:S|Bull1:W|square:1,M-714 +740-585-017-033-705-233-798-803-002-861-603+
740 055,singleton_not_formula_evidence,1,1,1,1,603:1,simple_single:1,Mohenjo-daro|SEAL:R|None|rectangular:1,M-1273 +740-055-002-861-603+
<START>,tail_only_template_split_no_closure_control,9,3,0,0,416:6;698:2;096:1,simple_single:9,Harappa|TAB:I|None|rectangular:6;Mohenjo-daro|SEAL:S|None|square:2;Mohenjo-daro|ROD|None|-:1,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+;M-2089 +002-861-096+;M-329 +002-861-698+;M-330 +002-861-698+
740 482 240,repeated_closure_formula_background,7,5,0,0,<END>:7,closure:7,Harappa|TAB:B|None|twisted rectangular-rounded:3;Harappa|TAB:B|Bull1|oval:1;Harappa|TAB:B|Bull1|elliptical:1;Harappa|TAB:B|None|rectangular-round:1;Harappa|TAB:B|None|twisted rectangular:1,H-2010 +740-482-240-002-861+;H-2011 +740-482-240-002-861+;H-806 +740-482-240-002-861+;H-807 +740-482-240-002-861+;H-808 +740-482-240-002-861+;H-1130 +740-482-240-002-861+;H-1131 +740-482-240-002-861+
390 003,repeated_closure_formula_background,3,2,0,0,<END>:3,closure:3,Mohenjo-daro|SEAL:S|Bull1:W|square:2;Kalibangan|TAG:L|Bull1|-:1,K-82 +390-003-002-861+;M-1697 +390-003-002-861+;M-712 +390-003-002-861+
407 004,repeated_closure_formula_background,2,2,0,0,<END>:2,closure:2,Harappa|TAB:B|Phyt|rectangular-rounded:1;Mohenjo-daro|SEAL:S|-|square:1,H-1785 +407-004-002-861+;M-1063 +407-004-002-861+
236,repeated_closure_formula_background,2,2,0,0,<END>:2,closure:2,Lothal|TAG|Bull1|-:1;Lothal|TAG|-|-:1,L-130 +236-002-861+;L-131 +236-002-861+
740 176,repeated_closure_formula_background,2,2,0,0,<END>:2,closure:2,Mohenjo-daro|POT:T:g|None|-:1;Mohenjo-daro|SEAL:S|Bull1:L|square:1,M-2060 +740-176-002-861+;M-1755 +740-176-002-861+
740 100 415,repeated_closure_formula_background,2,2,0,0,<END>:2,closure:2,Mohenjo-daro|SEAL:S|Bull1:L|square:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1,M-850 +740-100-415-002-861+;M-869 +740-100-415-002-861+
740 440 503,singleton_not_formula_evidence,1,1,0,0,000:1,simple_single:1,Allahdino|MISC|Elep|square:1,Ad-8 +740-440-503-002-861-000+
409 061 740 235 220 031,singleton_not_formula_evidence,1,1,0,0,244 165:1,fixed_pair:1,Harappa|SEAL:R|None|cuboid-convex:1,H-129 +409-061-740-235-220-031-002-861-244-165+
740 585 798,singleton_not_formula_evidence,1,1,0,0,216:1,simple_single:1,Harappa|SEAL:S|Bull1:J|square:1,H-446 +740-585-798-002-861-216+
520 233,singleton_not_formula_evidence,1,1,0,0,831 165:1,fixed_pair:1,Harappa|SEAL|None|-:1,H-688 +520-233-002-861-831-165+
760 031,singleton_not_formula_evidence,1,1,0,0,791 440 717:1,long_continuation:1,Kalibangan|SEAL:S|Elep|square:1,K-40 +760-031-002-861-791-440-717+
520 315,singleton_not_formula_evidence,1,1,0,0,626:1,simple_single:1,Lothal|SEAL:S|Bull1|square:1,L-39 +520-315-002-861-626+
527 388 233 740 176,singleton_not_formula_evidence,1,1,0,0,392:1,simple_single:1,Lothal|SEAL:S|Gaur|square:1,L-46 +527-388-233-740-176-002-861-392+
