"date","evidence_unit","source_layer","target","observed_fact","admissible_use","blocked_use","decision","accepted_crosswalk"
"2026-05-26","parpola2019_text7_plain_fish_context","tmp/parpola_2019_bone_rods.txt lines 103-110","article sign no. 60","Parpola 2019 describes the relevant text no. 7 sequence as having spear-like sign no. 189 after the plain fish sign no. 60, and compares text no. 8 sign no. 61 as the dotted form around the plain fish.","Use as article-side evidence that sign no. 60 is the plain fish target in this recurrence branch.","Treating the article prose as a local Lipi crosswalk or accepting a sign value.","article_sign60_plain_fish_context_confirmed","false"
"2026-05-26","parpola2019_plain_fish_orientation_context","tmp/parpola_2019_bone_rods.txt lines 126-128","article sign no. 60","A later Parpola 2019 passage discusses plain fish sign no. 60 in horizontal and vertical positions.","Use as secondary article-side confirmation that sign no. 60 is a fish-form sign family.","Accepting Parpola's semantic suggestion as a local sign meaning or translation.","article_sign60_fish_family_context_confirmed","false"
"2026-05-26","parpola1994_sign60_visual_anchor","tmp/parpola_1994_signlist/rendered/fig5_1-089.png","article sign no. 60","Rendered Parpola 1994 Fig. 5.1 page shows sign no. 60 as a fish-form sign family; page is 1805x2357 SHA256 8AFCF0D1D4662FC47014FDBF6CD6CED0F85E0FF07C2799169758E2AC2FF6996B.","Use as direct sign-list visual anchor for article sign no. 60.","Equating article sign no. 60 with local 220 or Mayig P050 without object-level source bridge.","article_sign60_visual_anchor_confirmed","false"
"2026-05-26","mayig_p050_feature","features/P050.json from pinned Mayig repo","Mayig P050","P050 is described as Fish with no other decoration and maps to Parpola V177/V517, Wells W220, and Mahadevan M059.","Use as a fish-form namespace witness relevant to local 220 pressure.","Using Mayig V060 or Mahadevan M060 as the article sign no. 60 shortcut, or accepting P050 as article sign no. 60.","p050_plain_fish_namespace_witness","false"
"2026-05-26","local220_p050_overlap_population","data/open_prototype/reports/crosswalk_alignment_pairs.csv","local Lipi 220","The overlap layer has 27 rows where local 220 aligns positionally to Mayig P050.","Use as repeated local-to-Mayig pressure that local 220 is fish-form in the current overlap layer.","Treating provisional positional overlap as a source-validated crosswalk.","local220_to_p050_repeated_pressure","false"
"2026-05-26","m37_local220_object_bridge","crosswalk_alignment_pairs.csv plus tmp/m1206_terminal_triad_source_recheck/derived/m37_A_signband_v2.png","M-37 local 220","M-37 local +520-220-415+ aligns to Mayig P217 P050 P092; the source signband is 840x280 SHA256 DD2929FF41275EF795138FA7D7B9FE058C6431C352D4D01C5A54B7D2AB23E9E5 and shows a fish-like middle component in the three-part row.","Use M-37 as the strongest current object-level candidate bridge for local 220 to the article sign no. 60 target.","Accepting local 220 equals article sign no. 60 from one source row and positional overlap alone.","m37_strengthens_local220_sign60_candidate","false"
"2026-05-26","exact_three_sign_520_220_distribution","data/open_prototype/lipi/metadata_filtered.csv","exact +520-220-X+ rows","There are 21 exact three-sign rows starting +520-220-X+: 415 appears 17 times, while 003, 006, 016, and 034 appear once each.","Use as the tight terminal-frame context for testing source-visible sign behavior.","Inferring sign value or article sign-number identity from frequency.","exact_three_sign_frame_counted","false"
"2026-05-26","broad_520_220_distribution","data/open_prototype/lipi/metadata_filtered.csv","broad +520-220-X frame","There are 52 rows starting +520-220-X with 16 third-slot types; third-slot 415 appears 28 times.","Use as distributional support that the 520-220 prefix frame is a real local context.","Treating the broad frame as a translation or a solved formula value.","broad_frame_real_but_nonsemantic","false"
"2026-05-26","source_visible_middle_component_controls","H938/H940/H942 source panels and signbands","local 220 in source-visible +520-220-X controls","H-938 A, H-940 A, and H-942 A are source-visible controls for rows containing the +520-220 prefix, but the middle 220 component has not yet been isolated and blind-adjudicated as its own evidence unit.","Use these as the next source crop targets for a local 220 middle-sign packet.","Using whole-panel visibility as proof of a middle-sign crosswalk.","middle_component_packet_required","false"
"2026-05-26","gate_decision","combined Parpola 2019, Parpola 1994, Mayig P050, local overlap, and M-37 source signband","local 220 versus article sign no. 60","The candidate is materially stronger: article sign no. 60 is plain fish, Mayig P050 is undecorated fish, local 220 repeatedly overlaps P050, and M-37 gives a source-visible object row. The bridge still lacks an accepted same-object source transcription/sign-list concordance.","Use local 220 as P0 candidate bridge for article sign no. 60 in the next middle-component crop gate.","Accepting crosswalk, semantic value, phonetic value, or translation now.","local220_sign60_candidate_strengthened_not_accepted","false"
