"lane","lane_rank","batch_id","priority","lane_question","role","cisi","row_id","short_text","source_hooks","source_hook_grade","local_rows","material_shape","period_phase_depth","dimensions_mm","target_cisi","target_grade","target_copy_pressure","target_long_context_relation","target_independence_rank","target_shared_matches","source_use","public_search_queries","source_grade_if","downgrade_if","kill_if","packet_status"
"independent_low_copy","1","independent_1850_1842_1772","core","copy_family_escape","target_034","H-1850","480.1","+700-034+","H2001-5141;Figure 48.07","excavation_plus_figure_hook","480.1:+700-034+;480.2:+400-740-760-382+","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","17 x 9 x 2.2 - 2.8","H-1850","D_object_plus_some_context","low_repetition_pressure","all_three_differ","1","area_bin;context_class;cross_section;h_bin;material;period_phase;shape;side_relation;sides;site;type;v_bin","check_target_row_and_contrast","""H-1850"" Indus | ""H2001-5141 Figure 48.07"" Harappa | H-1850 H2001-5141 Figure 48.07 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"independent_low_copy","1","independent_1850_1842_1772","core","copy_family_escape","control_033","H-1842","631.1","+033-700+","H95-2416;Figure 26.07","excavation_plus_figure_hook","631.1:+033-700+;631.2:+740-690-435-176-233-803+","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","18.4 x 9.2 x 4.9","H-1850","D_object_plus_some_context","low_repetition_pressure","all_three_differ","1","area_bin;context_class;cross_section;h_bin;material;period_phase;shape;side_relation;sides;site;type;v_bin","check_033_control_row","""H-1842"" Indus | ""H95-2416 Figure 26.07"" Harappa | H-1842 H95-2416 Figure 26.07 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"independent_low_copy","1","independent_1850_1842_1772","core","copy_family_escape","control_032","H-1772","400.1","+700-032+","H2000-4437;Figure 39.05","excavation_plus_figure_hook","400.1:+700-032+;400.2:+740-031-001-140+","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","17 x 8.8 x 2.1","H-1850","D_object_plus_some_context","low_repetition_pressure","all_three_differ","1","area_bin;context_class;cross_section;h_bin;material;period_phase;shape;side_relation;sides;site;type;v_bin","check_032_control_row","""H-1772"" Indus | ""H2000-4437 Figure 39.05"" Harappa | H-1772 H2000-4437 Figure 39.05 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"independent_low_copy","2","independent_771_789_1123","core","copy_family_escape","target_034","H-771","1663.2","+700-034+","657678","catalog_or_archive_handle","1663.1:+032-257-840+;1663.2:+700-034+","Faience/rectangular/rectangular","Period 3B/C/Stratum VI/-16.5 ft","16.5 x 8.9 x 0","H-771","D_object_plus_some_context","low_repetition_pressure","all_three_differ","2","area_bin;context_class;cross_section;h_bin;material;period_phase;shape;side_relation;sides;site;symbol;type","check_target_row_and_contrast","""H-771"" Indus | ""657678"" Harappa | H-771 657678 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"independent_low_copy","2","independent_771_789_1123","core","copy_family_escape","control_033","H-789","1680.2","+033-700+","12549604","catalog_or_archive_handle","1680.1:+400-520-220-016+;1680.2:+033-700+","Faience/rectangular/rectangular","Period 3B/C/Stratum VI/-14.75 ft","16.5 x 8.9 x 0","H-771","D_object_plus_some_context","low_repetition_pressure","all_three_differ","2","area_bin;context_class;cross_section;h_bin;material;period_phase;shape;side_relation;sides;site;symbol;type","check_033_control_row","""H-789"" Indus | ""12549604"" Harappa | H-789 12549604 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"independent_low_copy","2","independent_771_789_1123","core","copy_family_escape","control_032","H-1123","313.2","+700-032+","9015360","catalog_or_archive_handle","313.1:+525-550-220+;313.2:+700-032+","Faience/rectangular/rectangular","Period 3B/C/Stratum VI/-13.0 ft","19.1 x 8.4 x 0","H-771","D_object_plus_some_context","low_repetition_pressure","all_three_differ","2","area_bin;context_class;cross_section;h_bin;material;period_phase;shape;side_relation;sides;site;symbol;type","check_032_control_row","""H-1123"" Indus | ""9015360"" Harappa | H-1123 9015360 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"independent_low_copy","3","independent_1943_1940_854","core","copy_family_escape","target_034","H-1943","422.1","+700-034+","H2000-4482;Figure 42.10","excavation_plus_figure_hook","422.1:+700-034+;422.2:+740-384-031+","Faience/prism/triangular","Period 3B/C/B/C/- -","12.8 x 6.6 x 0","H-1943","D_object_plus_some_context","low_repetition_pressure","all_three_differ","3","area_bin;aspect_bin;context_class;cross_section;material;order;shape;sides;site;symbol;type","check_target_row_and_contrast","""H-1943"" Indus | ""H2000-4482 Figure 42.10"" Harappa | H-1943 H2000-4482 Figure 42.10 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"independent_low_copy","3","independent_1943_1940_854","core","copy_family_escape","control_033","H-1940","458.1","+700-033+","H2001-5072;Figure 44.05","excavation_plus_figure_hook","458.1:+700-033+;458.2:+400-740-067-100+","Faience/prism/triangular","Period 3B/B/- -","15 x 7.5 x 0","H-1943","D_object_plus_some_context","low_repetition_pressure","all_three_differ","3","area_bin;aspect_bin;context_class;cross_section;material;order;shape;sides;site;symbol;type","check_033_control_row","""H-1940"" Indus | ""H2001-5072 Figure 44.05"" Harappa | H-1940 H2001-5072 Figure 44.05 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"independent_low_copy","3","independent_1943_1940_854","core","copy_family_escape","control_032","H-854","1740.2","+700-032+","10010647","catalog_or_archive_handle","1740.1:+400-740-335-003+;1740.2:+700-032+","Faience/prism/triangular","Period 3B/C/-/-10.0 ft","16.5 x 6.4 x 0","H-1943","D_object_plus_some_context","low_repetition_pressure","all_three_differ","3","area_bin;aspect_bin;context_class;cross_section;material;order;shape;sides;site;symbol;type","check_032_control_row","""H-854"" Indus | ""10010647"" Harappa | H-854 10010647 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"independent_low_copy","4","independent_2204_2209_2217","core","copy_family_escape_with_identity_reconcile","target_034","H-2204","659.1","+700-034+","H95-2482;Figure 27.06","excavation_plus_figure_hook","659.1:+700-034+;659.2:+400-740-032-027+","Steatite/prism/triangular","Period 3B/C/B/C/- -","19 x 7.3 x 0","H-2204","F_partial_or_weak","moderate_repetition_pressure","all_three_differ","4","aspect_bin;context_class;cross_section;excavation_prefix;h_bin;material;order;period_phase;shape;side_relation;site;type","check_target_row_and_contrast","""H-2204"" Indus | ""H95-2482 Figure 27.06"" Harappa | H-2204 H95-2482 Figure 27.06 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
