checked_date,group_field,group_key,rows,branch_values,branch_value_count,branch_shapes,branch_shape_count,sites,types,examples
2026-05-31,left_final,003,1,072,1,terminal_selector,1,Harappa:1,SEAL:S:1,H-68:220-003-002-390-072
2026-05-31,left_final,004,2,095;125,2,rank_continue_125;terminal_selector,2,Harappa:1;Surkotada:1,SEAL:S:1;TAB:B:1,H-1993:220-004-002-390-095 | Sktd-1:390-004-002-390-125-820
2026-05-31,left_final,031,1,705,1,terminal_selector,1,Mohenjo-daro:1,SEAL:S:1,M-1825:157-031-002-390-705
2026-05-31,left_final,032,2,590;692,2,formula_payload_590032;terminal_selector,2,Mohenjo-daro:1;Unknown:1,SEAL:S:2,M-70:226-032-002-390-692 | -:3335.1:205-032-002-390-590-032
2026-05-31,left_final,061,1,140,1,terminal_selector,1,Mohenjo-daro:1,SEAL:S:1,M-708:740-061-002-390-140
2026-05-31,left_final,142,1,095,1,terminal_selector,1,Mohenjo-daro:1,SEAL:S:1,M-71:279-142-002-390-095
2026-05-31,left_final,235,2,125,1,rank_continue_125,1,Mohenjo-daro:2,SEAL:S:2,M-38:240-235-002-390-125-632 032 | M-735:760-235-002-390-125-195
2026-05-31,left_final,236,1,707,1,terminal_selector,1,Mohenjo-daro:1,SEAL:S:1,M-232:<START>-236-002-390-707
2026-05-31,left_final,384,1,346,1,terminal_selector,1,Mohenjo-daro:1,SEAL:S:1,M-213:740-384-002-390-346
2026-05-31,left_final,388,1,705,1,terminal_selector,1,Dholavira:1,SEAL:S:1,-:4237.1:032-388-002-390-705
2026-05-31,left_final,484,1,125,1,rank_continue_125,1,Mohenjo-daro:1,SEAL:S:1,M-119:337-484-002-390-125-632 032 900 563
2026-05-31,left_final,803,1,530,1,one_complement_linker,1,Harappa:1,TAB:B:1,H-773:798-803-002-390-530-741
