branch_after_390,raw_rows,objects,terminal_rows,terminal_objects,tails,family_cells,strict_source_visible_rows,strict_source_visible_objects,strict_source_visible_family_cells,strict_prev_before_002_values,permissive_public_rows,permissive_public_objects,verdict
125,4,M-38 M-119 M-735 Sktd-1,0,,195 | 632 032 | 632 032 900 563 | 820,4,2,M-119 M-735,2,235 484,3,M-119 M-735 Sktd-1,top_live_branch_but_broad_register_limited; continuation-bearing in all four local rows
095,2,H-1993 M-71,2,H-1993 M-71,<END>,2,1,M-71,1,142,1,M-71,strict_visible_non125_control; terminal in current visible rows
705,2,M-1825 -:4237.1,2,M-1825 -:4237.1,<END>,2,0,,0,,0,,repeated_non125_candidate_but_source_dark
072,1,H-68,1,H-68,<END>,1,0,,0,,0,,singleton_or_source_limited
140,1,M-708,1,M-708,<END>,1,0,,0,,0,,singleton_or_source_limited
346,1,M-213,1,M-213,<END>,1,0,,0,,0,,singleton_or_source_limited
530,1,H-773,0,,741,1,0,,0,,0,,singleton_or_source_limited
590,1,-:3335.1,0,,032,1,0,,0,,0,,singleton_or_source_limited
692,1,M-70,1,M-70,<END>,1,1,M-70,1,032,1,M-70,strict_visible_non125_control; terminal in current visible rows
707,1,M-232,1,M-232,<END>,1,0,,0,,0,,singleton_or_source_limited
