"policy","cisi","flags","lipi_site","lipi_type","lipi_dir","lipi_text","mayig_graphemes","lipi_zero_groups_removed","lipi_slash_compounds","source_lipi_signs","source_mayig_grapheme_count","analyzed_token_count","sequence","class_sequence","class_pattern","collapsed_class_pattern","first_sign","first_code","last_sign","last_code","missing_profile_tokens","missing_profile_share","initial_at_start","terminal_at_end","both_initial_terminal","medial_interior_count","strong_IMT_scaffold","review_status"
"raw_lipi_numeric","M-125","lipi_unknown_zero;mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+000-000-741-031-371+","P000 P144 P108","2","0","3","3","3","L741 L031 L371","medial_core_candidate weak_or_mixed_positional_candidate sparse_unclassified","MWS","MWS","L741","M","L371","S","0","0","False","False","False","0","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-125","lipi_unknown_zero;mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+000-000-741-031-371+","P000 P144 P108","2","0","3","3","3","L741 L031 L371","medial_core_candidate weak_or_mixed_positional_candidate sparse_unclassified","MWS","MWS","L741","M","L371","S","0","0","False","False","False","0","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-125","lipi_unknown_zero;mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+000-000-741-031-371+","P000 P144 P108","2","0","3","3","3","P000 P144 P108","missing_profile weak_or_mixed_positional_candidate sparse_unclassified","UWS","UWS","P000","U","P108","S","1","0.333333","False","False","False","0","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-165","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+817-740-194/740-760-001-741-390-032+","P324 P332 P121 P325 P086 P122 P385 P324 P076","0","1","9","9","9","L817 L740 L194 L740 L760 L001 L741 L390 L032","terminal_operator_candidate initial_operator_candidate missing_profile initial_operator_candidate medial_core_candidate medial_core_candidate medial_core_candidate distributed_recurrent_candidate medial_core_candidate","TIUIMMMDM","TIUIMDM","L817","T","L032","M","1","0.111111","False","False","False","3","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-165","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+817-740-194/740-760-001-741-390-032+","P324 P332 P121 P325 P086 P122 P385 P324 P076","0","1","9","9","9","P385 L740 L194 L740 L760 L001 L741 L390 L032","terminal_operator_candidate initial_operator_candidate missing_profile initial_operator_candidate medial_core_candidate medial_core_candidate medial_core_candidate distributed_recurrent_candidate medial_core_candidate","TIUIMMMDM","TIUIMDM","P385","T","L032","M","1","0.111111","False","False","False","3","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-165","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+817-740-194/740-760-001-741-390-032+","P324 P332 P121 P325 P086 P122 P385 P324 P076","0","1","9","9","9","P324 P332 P121 P325 P086 P122 P385 P324 P076","initial_operator_candidate medial_core_candidate medial_core_candidate medial_core_candidate distributed_recurrent_candidate medial_core_candidate terminal_operator_candidate initial_operator_candidate sparse_unclassified","IMMMDMTIS","IMDMTIS","P324","I","P076","S","0","0","True","False","False","4","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-167","lipi_unknown_zero;mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+156-000-368-780+","P324 P000 P385","1","0","3","3","3","L156 L368 L780","initial_operator_candidate medial_core_candidate missing_profile","IMU","IMU","L156","I","L780","U","1","0.333333","True","False","False","1","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-167","lipi_unknown_zero;mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+156-000-368-780+","P324 P000 P385","1","0","3","3","3","L156 L368 L780","initial_operator_candidate medial_core_candidate missing_profile","IMU","IMU","L156","I","L780","U","1","0.333333","True","False","False","1","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-167","lipi_unknown_zero;mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+156-000-368-780+","P324 P000 P385","1","0","3","3","3","P324 P000 P385","initial_operator_candidate missing_profile terminal_operator_candidate","IUT","IUT","P324","I","P385","T","1","0.333333","True","True","True","0","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-169","lipi_unknown_zero;mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+740-575-017-000-000-031-032+","P324 P289 P127 P000 P145","2","0","5","5","5","L740 L575 L017 L031 L032","initial_operator_candidate sparse_unclassified sparse_unclassified weak_or_mixed_positional_candidate medial_core_candidate","ISSWM","ISWM","L740","I","L032","M","0","0","True","False","False","0","False","sensitivity_probe_only_not_semantic"
